rank_selected,id340B,type,name,city,state,zip,start,mhi,mhi_formatted,ratio,ratio_formatted,ceid,hrsa_reports_url,census_api_url
1,CAH501338-00,CAH,PUBLIC HOSPITAL DISTRICT #4 KING COUNTY WASHINGTON,SNOQUALMIE,WA,98065,2011-07-01,198216.0,"$198,216",2.4551737805633316,2.5x,22172,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US98065
2,RRC050180-00,RRC,JOHN MUIR MEDICAL CENTER - WC,WALNUT CREEK,CA,94598,2026-04-01,186225.0,"$186,225",2.306648995466594,2.3x,114315,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US94598
3,RRC330286-00,RRC,GOOD SAMARITAN HOSPITAL,WEST ISLIP,NY,11795,2025-04-01,177269.0,"$177,269",2.19571679837491,2.2x,107161,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US11795
4,DSH050360,DSH,MARIN GENERAL HOSPITAL,GREENBRAE,CA,94904,2016-07-01,169118.0,"$169,118",2.0947556172120794,2.1x,49191,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US94904
5,DSH050305,DSH,"Sutter Bay Hospitals, dba Alta Bates Summit Medical Center",BERKELEY,CA,94705,2006-07-01,167970.0,"$167,970",2.0805360814526717,2.1x,14695,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US94705
6,DSH450124,DSH,Dell Seton Medical Center at The University of Texas,AUSTIN,TX,78701,2021-03-11,162168.0,"$162,168",2.008670448633785,2.0x,16817,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US78701
7,DSH060104,DSH,St. Anthony North Hospital,Westminster,CO,80023,2013-10-01,158180.0,"$158,180",1.9592736641315927,2.0x,31047,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US80023
8,DSH330259,DSH,MERCY MEDICAL CENTER,ROCKVILLE CENTRE,NY,11570,2016-01-01,157163.0,"$157,163",1.946676740902222,1.9x,44867,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US11570
9,DSH050438,DSH,HUNTINGTON HOSPITAL,Pasadena,CA,91105,2019-07-01,156791.0,"$156,791",1.942069016771125,1.9x,18381,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US91105
10,DSH450848,DSH,Memorial Hermann Sugar Land Hospital,Sugar Land,TX,77479,2012-01-01,156735.0,"$156,735",1.9413753808804222,1.9x,23055,https://340bopais.hrsa.gov/reports,https://api.censusreporter.org/1.0/data/show/acs2024_5yr?table_ids=B19013&geo_ids=86000US77479
