uid,abstractNumber,title,sessionType,track,score,roleScore,url,tags
PRESENTATION266612,TPS1149,"HERTHENA-Breast04: A phase 3, randomized, open-label study evaluating the efficacy and safety of patritumab deruxtecan (HER3-DXd) versus treatment of physician’s choice in hormone receptor-positive (HR+)/human epidermal growth factor receptor 2-negative (HER2−) unresectable locally advanced or metastatic breast cancer.",Poster Session,Breast Cancer: Metastatic,85,5,https://www.asco.org/abstracts-presentations/266612,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Patient-reported outcomes; Safety
PRESENTATION266887,TPS4245,"Efficacy and safety of disitamab vedotin (DV) combined with trastuzumab, and tislelizumab versus chemotherapy (CAPOX) combined with trastuzumab ± pembrolizumab for patients with first-line HER2-high advanced gastric/gastroesophageal junction adenocarcinoma (G/GEJA): A randomized controlled phase 3 trial.",Poster Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",85,5,https://www.asco.org/abstracts-presentations/266887,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Patient-reported outcomes; Safety
PRESENTATION264425,e13684,Impact of a real-time updated evidence library in addressing lag in guideline updates to aide physicians.,Publication Only,Publication only,43,4,https://www.asco.org/abstracts-presentations/264425,Phase 3
PRESENTATION266728,TPS9596,Clinical trial in progress: Phase I/II study of tebentafusp in combination with liver-directed therapies for the treatment of metastatic uveal melanoma.,Poster Session,Melanoma/Skin Cancers,85,4,https://www.asco.org/abstracts-presentations/266728,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Safety
PRESENTATION266686,TPS8661,"AndroMETa-Lung-713: A phase 2/3 study of telisotuzumab adizutecan (ABBV-400, Temab-A) vs standard of care (SOC) in patients with epidermal growth factor receptor ( EGFR )-mutated non-small cell lung cancer (NSCLC).",Poster Session,Lung Cancer: Non-Small Cell Metastatic,85,4,https://www.asco.org/abstracts-presentations/266686,Trial in progress; Phase 3; Randomized; Progression-free survival; Objective response; Biomarker; Safety
PRESENTATION266685,TPS8660,SigVie-003: Phase 3 trial of frontline sigvotatug vedotin plus pembrolizumab vs pembrolizumab alone in non-small cell lung cancer (NSCLC) with PD-L1 TPS ≥50%.,Poster Session,Lung Cancer: Non-Small Cell Metastatic,85,4,https://www.asco.org/abstracts-presentations/266685,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Biomarker; Safety
PRESENTATION266710,TPS8136,"A randomized, open-label, phase 3 study of ZL-1310, a DLL3 antibody-drug conjugate (ADC), compared to investigator’s choice therapy in participants with relapsed small cell lung cancer (DLLEVATE).",Poster Session,Lung Cancer: Non-Small Cell Local-Regional/Small Cell/Other Thoracic Cancers,85,4,https://www.asco.org/abstracts-presentations/266710,Trial in progress; Phase 3; Randomized; Overall survival; Objective response; Safety
PRESENTATION266931,TPS5150,"EORTC GUCG 2238: “Deescalate,” a pragmatic trial to revisit intermittent androgen deprivation therapy in metastatic hormone-sensitive prostate cancer in the era of new androgen receptor pathway inhibitors.",Poster Session,"Genitourinary Cancer: Prostate, Testicular, and Penile",85,4,https://www.asco.org/abstracts-presentations/266931,Trial in progress; Phase 3; Randomized; Overall survival; Patient-reported outcomes; Safety
PRESENTATION266921,TPS5137,"BNT324-03: Phase 3, randomized, open-label trial of BNT324/DB-1311, a B7H3 ADC, versus docetaxel in patients with taxane-naïve metastatic castration-resistant prostate cancer (mCRPC).",Poster Session,"Genitourinary Cancer: Prostate, Testicular, and Penile",85,4,https://www.asco.org/abstracts-presentations/266921,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION266904,TPS4642,TROPION-Urothelial03: A phase 2/3 study of datopotamab deruxtecan (Dato-DXd) + platinum chemotherapy (CT) vs gemcitabine + platinum CT in participants with locally advanced or metastatic urothelial carcinoma (la/mUC) with progression on or after enfortumab vedotin (EV) + pembrolizumab.,Poster Session,Genitourinary Cancer: Kidney and Bladder,85,4,https://www.asco.org/abstracts-presentations/266904,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION266888,TPS4257,"CAREFOL: A phase 3, randomized, open-label, multicenter trial of camrelizumab and rivoceranib with or without intravenous FOLFOX chemotherapy as first-line treatment for unresectable hepatocellular carcinoma.",Poster Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",85,4,https://www.asco.org/abstracts-presentations/266888,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION268031,TPS2102,"Gliofocus: A global, open-label, randomized phase 3 study comparing niraparib with temozolomide in newly diagnosed MGMT-unmethylated glioblastoma.",Poster Session,Central Nervous System Tumors,85,4,https://www.asco.org/abstracts-presentations/268031,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Patient-reported outcomes; Safety
PRESENTATION266756,TPS11588,"StrateGIST 3: A randomized, phase 3 study of velzatinib (IDRX-42) versus sunitinib in patients with advanced gastrointestinal stromal tumors after imatinib therapy.",Poster Session,Sarcoma,85,4,https://www.asco.org/abstracts-presentations/266756,Trial in progress; Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Patient-reported outcomes; Biomarker
PRESENTATION268036,4013,Results from a phase 2a study of atebimetinib in combination with mGnP in advanced or metastatic pancreatic cancer.,Rapid Oral Abstract Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",84,4,https://www.asco.org/abstracts-presentations/268036,Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION264147,4148,"Effectiveness and safety of IBI310 combined with sintilimab versus sorafenib in the first-line treatment of advanced hepatocellular carcinoma (aHCC): A randomized, open-label, controlled, multicenter phase III clinical study.",Poster Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",82,4,https://www.asco.org/abstracts-presentations/264147,Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION260427,104,"Phase 3, multicenter, randomized, controlled open-label study: Efficacy and safety of M701 (EpCAM×CD3 bispecific antibody) intraperitoneal infusion in advanced epithelial solid tumor with malignant ascites vs paracentesis.",Clinical Science Symposium,Elevating the Patient Voice: Choosing the Right Patient-Centered Endpoints in Modern Clinical Trials,80,4,https://www.asco.org/abstracts-presentations/260427,Phase 3; Randomized; Overall survival; Patient-reported outcomes; Safety
PRESENTATION260947,4118,"Envafolimab (KN035) plus gemcitabine and oxaliplatin (GEMOX) compared with GEMOX as first-line treatment for Chinese patients with advanced biliary tract cancer: A randomized, open-label, multi-center, phase III pivotal trial.",Poster Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",77,4,https://www.asco.org/abstracts-presentations/260947,Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
PRESENTATION264052,4036,Phase I/II trial of anti-CLDN18.2/PD-L1 recombinant humanized bispecific antibody Q-1802 plus XELOX in treatment-naive CLDN18.2-positive advanced GC/GEJ.,Poster Session,"Gastrointestinal Cancer: Gastroesophageal, Pancreatic, and Hepatobiliary",77,4,https://www.asco.org/abstracts-presentations/264052,Phase 3; Randomized; Overall survival; Progression-free survival; Objective response; Safety
