category,conditions,interventions,last_update_posted,lead_sponsor,matched_dictionary_terms,nct_id,overall_status,phase,primary_completion_date,query,source_id,source_status,start_date,study_type,title,url
clinical_pipeline,Obesity,Meal times,2025-09-09,Columbia University,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT03663530,RECRUITING,NA,2026-07-31,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2019-01-01,INTERVENTIONAL,Circadian Misalignment and Energy Balance,https://clinicaltrials.gov/study/NCT03663530
clinical_pipeline,IGT - Impaired Glucose Tolerance; T2D,Oral Glucose Tolerance Test; Hyperglycemic Clamp; Isoglycemic Intravenous Glucose Test; Hyperinsulinemic Euglycemic Clamp and 2H20,2023-02-23,Yale University,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT03195400,COMPLETED,,2021-08-31,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2017-03-01,OBSERVATIONAL,Pathogenesis of Youth Onset Type 2 Diabetes and Prediabetes,https://clinicaltrials.gov/study/NCT03195400
clinical_pipeline,"Diabetes; Diabetes Mellitus, Type 2; Healthy",semaglutide,2018-05-15,Novo Nordisk A/S,Novo Nordisk; dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT02016911,COMPLETED,PHASE1,2015-01-12,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2013-12-12,INTERVENTIONAL,"Pharmacokinetics, Safety and Tolerability of Oral Semaglutide in Subjects With Hepatic Impairment",https://clinicaltrials.gov/study/NCT02016911
clinical_pipeline,"Diabetes; Diabetes Mellitus, Type 2",insulin degludec; insulin glargine,2017-03-30,Novo Nordisk A/S,Novo Nordisk; dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT01059799,COMPLETED,PHASE3,2010-12-16,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2010-02-01,INTERVENTIONAL,Comparison of NN1250 Versus Insulin Glargine in Subjects With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT01059799
clinical_pipeline,"Diabetes Mellitus, Type 2",Semaglutide,2025-09-24,Novo Nordisk A/S,Novo Nordisk; dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT05533632,COMPLETED,PHASE4,2024-01-18,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2022-04-25,INTERVENTIONAL,Safety Study of Weekly Semaglutide in Chilean Participants With Type 2 Diabetes,https://clinicaltrials.gov/study/NCT05533632
clinical_pipeline,"Diabetes Mellitus, Type 2",Modified paleolithic diet and exercise under observation; Modified paleolithic diet and general advice on exercise,2015-02-26,Umeå University,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT01513798,COMPLETED,NA,2014-08,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2012-01,INTERVENTIONAL,Diet and Exercise in Type 2 Diabetes - a Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT01513798
clinical_pipeline,Obesity,Medically tailored meals; Noom®; Usual care,2025-10-15,University of Texas Southwestern Medical Center,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT06273163,TERMINATED,NA,2025-08-05,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2024-03-05,INTERVENTIONAL,Identifying Strategies to Curtail Weight Regain After GLP-1 Receptor Agonist Treatment Cessation,https://clinicaltrials.gov/study/NCT06273163
clinical_pipeline,Weight Loss; Metabolic Health; Quality of Life,Combination Prebiotic and Postbiotic,2026-05-27,"Able Biolabs, LLC",dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT07608016,COMPLETED,NA,2026-05-05,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2025-10-20,INTERVENTIONAL,"A Study to Evaluate a Supplement Combination in Supporting Weight Loss, Metabolic Health, and Quality of Life",https://clinicaltrials.gov/study/NCT07608016
clinical_pipeline,Healthy,MyPlate; MyPlate + Exercise; Paleolithic; Paleolithic + Exercise,2016-11-17,Clemson University,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT02380833,COMPLETED,NA,2016-05,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2015-04,INTERVENTIONAL,"Effectiveness of a Paleolithic Based Diet Compared to MyPlate Guidelines, With and Without Exercise, in Women.",https://clinicaltrials.gov/study/NCT02380833
clinical_pipeline,Obesity,No treatment given,2025-11-25,Novo Nordisk A/S,Novo Nordisk; dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,NCT07154238,ENROLLING_BY_INVITATION,,2026-09-30,"""GLP-1"" OR semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide",clinicaltrials_gov,collected,2025-09-26,OBSERVATIONAL,"Characteristics and Treatment Experiences of Individuals Using Injectable Semaglutide for Weight Management, a Cross-sectional Time-series Analysis, Multi-country Study.",https://clinicaltrials.gov/study/NCT07154238
