records,source_id,status,unique_urls
312,clinicaltrials_gov,collected,312
1,cms_partd_formulary_puf,bulk_zip_range_member_unavailable,1
26,dailymed_labels,collected,26
70,fda_drug_enforcement,collected_openfda_enforcement,8
1259,fda_faers_quarterly,collected_openfda_faers_counts,13
4,patentsview_uspto,collected_bulk_fallback,4
100,public_pricing_opendata_extract,collected_from_opendata_refresh,0
270,pubmed_literature,collected,270
552,sec_edgar_submissions,collected,552
2,state_medicaid_pdl_public_registry,registry_pages_fetched,2
4,clinicaltrials_gov_requests,requests_ok,
4,cms_partd_formulary_puf_requests,requests_ok,
13,dailymed_labels_requests,requests_ok,
19,fda_drug_enforcement_requests,request_errors,
13,fda_faers_quarterly_requests,requests_ok,
10,patentsview_uspto_requests,request_errors,
1,public_pricing_opendata_extract_requests,requests_ok,
3,pubmed_esearch_requests,requests_ok,
3,pubmed_esummary_requests,requests_ok,
48,sec_edgar_filing_text_requests,requests_ok,
6,sec_edgar_submissions_requests,requests_ok,
2,state_medicaid_pdl_public_registry_requests,requests_ok,
