as_of_date,canonical_product,category,effective_date,match_field,match_term,matched_dictionary_terms,nadac_per_unit,pharmacy_type_indicator,pricing_context_note,pricing_unit,source_dataset_id,source_id,source_record_id,source_response_sha256,source_status,source_updated_at,source_url
01/01/2025,Bydureon,pricing_gross_to_net,12/18/2024,NDC Description,Bydureon,Bydureon,234.23790,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00310654004,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Bydureon,pricing_gross_to_net,12/18/2024,NDC Description,Bydureon BCise,Bydureon; Bydureon BCise,234.23790,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00310654004,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Byetta,pricing_gross_to_net,12/18/2024,NDC Description,Byetta,Byetta,340.29151,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00310652401,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Byetta,pricing_gross_to_net,12/18/2024,NDC Description,Byetta,Byetta,680.37182,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00310651201,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,ingredient:liraglutide,pricing_gross_to_net,12/18/2024,NDC Description,liraglutide,liraglutide,73.54784,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00480366720,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,ingredient:liraglutide,pricing_gross_to_net,12/18/2024,NDC Description,liraglutide,liraglutide,72.50628,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00480366722,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Mounjaro,pricing_gross_to_net,12/18/2024,NDC Description,Mounjaro,Mounjaro,515.84649,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00002147180,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Mounjaro,pricing_gross_to_net,12/18/2024,NDC Description,Mounjaro,Mounjaro,515.74770,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00002146080,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Mounjaro,pricing_gross_to_net,12/18/2024,NDC Description,Mounjaro,Mounjaro,515.57852,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00002145780,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
01/01/2025,Mounjaro,pricing_gross_to_net,12/18/2024,NDC Description,Mounjaro,Mounjaro,515.90451,C/I,"Public pricing proxy only; does not represent commercial net price, rebates, or realized gross-to-net.",ML,cms/nadac,public_pricing_opendata_extract,NDC=00002150680,d42c5c4b674233a832dbe4e2f2d00766cd3852bd4c13aa6b0d2503d892ae9060,collected_from_opendata_refresh,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
