authors,category,journal,matched_dictionary_terms,pmid,pubdate,query,source_id,source_status,title,url
Annemans L; Johansson E; Spaepen E; van Hest N; Grist J; Zimner-Rapuch S; Wilding JPH,scientific_kol,Journal of medical economics,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,42021523,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Enhancing economic modelling in obesity: integrating novel type 2 diabetes progression & obstructive sleep apnea remission - a UK case study.,https://pubmed.ncbi.nlm.nih.gov/42021523/
Johansson E; Wilding JPH; Upadhyay N; van Hest N; Kirk M; Spaepen E; Zimner-Rapuch S; Annemans L,scientific_kol,Journal of medical economics,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,42012820,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Cost-effectiveness of tirzepatide versus semaglutide for patients with obesity or overweight in the US: evidence from the SURMOUNT-5 head-to-head phase-3 trial.,https://pubmed.ncbi.nlm.nih.gov/42012820/
Chikatimalla R; Shah A; Shah T; Perry G; Banker H; Aggarwal K; Jain R,scientific_kol,Annals of medicine,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41999297,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,GLP-1 receptor agonists in stroke prevention: a narrative review on emerging therapeutic frontiers.,https://pubmed.ncbi.nlm.nih.gov/41999297/
Guldhammer A; Drivsholm T; Tomova-Olsen SA; Tranberg Jensen K,scientific_kol,Scandinavian journal of primary health care,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41838446,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,A qualitative study exploring experiences about using semaglutide for weight loss in a rural setting in Denmark - 'she is probably on the meds'.,https://pubmed.ncbi.nlm.nih.gov/41838446/
Kanumilli N; Osumili B; Evans J; Webb J; Buckingham M; Debackere N; Nowakowski P; Cattin J,scientific_kol,Journal of medical economics,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41771166,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Annual pharmacy cost per patient achieving composite treatment endpoints: a cost to target analysis of tirzepatide versus subcutaneous semaglutide 1 mg in patients with type 2 diabetes in the UK.,https://pubmed.ncbi.nlm.nih.gov/41771166/
Toliver J; Wang J; Bhavsar J; Sullivan SD,scientific_kol,Journal of medical economics,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41562647,2026 Dec,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Calculating cost per event avoided using a composite number needed to treat.,https://pubmed.ncbi.nlm.nih.gov/41562647/
Jeyakumar S; Jeyakumar R; Eckford H; Robson D; Honeysett L; Raven L; Deveza R; Jabbour A,scientific_kol,JHLT open,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,42165084,2026 Aug,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Glucagon-like peptide-1 receptor agonists for weight loss in end-stage heart failure patients considered for heart transplantation.,https://pubmed.ncbi.nlm.nih.gov/42165084/
Gong H; Liu J; Wang Y; Lin X; Wu G; Ou Y; Zhou M; Yang L,scientific_kol,Tissue & cell,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41916100,2026 Aug,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Semaglutide treatment reverses HFD induced hippocampal microglia activation and improves cognitive dysfunction.,https://pubmed.ncbi.nlm.nih.gov/41916100/
Takashima S; Terui K; Yamada F; Shimotomai T,scientific_kol,Diabetology international,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,42078492,2026 Jul,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Three-year changes in renal function after switching from injectable GLP-1 receptor agonists to oral semaglutide in Japanese patients with type 2 diabetes: a retrospective cohort study.,https://pubmed.ncbi.nlm.nih.gov/42078492/
Gunasekaran P; Inban P; Agrawal A; Thai A; Aravazhi PS; Tariq H; Prajjwal P; John J,scientific_kol,Disease-a-month : DM,dulaglutide; exenatide; liraglutide; lixisenatide; semaglutide; tirzepatide,41991422,2026 Jul,"(semaglutide OR tirzepatide OR liraglutide OR dulaglutide OR exenatide OR lixisenatide) AND (obesity OR overweight OR ""weight loss"")",pubmed_literature,collected,Approved weight loss drugs for obesity with a thorough emphasis on GLP-1 agonist medications: A systematic review.,https://pubmed.ncbi.nlm.nih.gov/41991422/
