canonical_product,dataset_id,false_positive_note,match_field,match_term,match_term_type,match_value,review_status,source_record_id,source_url
Adlyxin,cms/drug-rebate-products,,FDA Product Name,Adlyxin,brand,ADLYXIN PEN 10 AND 20 MCG/0.2 50MCG/100M ADLYXIN PEN 3ML in 1 S,pending_analyst_review,NDC=00024574000|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,Labeler Name,Sanofi,manufacturer,"SANOFI-AVENTIS, US LLC",pending_analyst_review,NDC=00024574000|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,FDA Product Name,Adlyxin,brand,ADLYXIN PEN 10 AND 20 MCG/0.2 50MCG/100M ADLYXIN PEN 3ML in 1 S,pending_analyst_review,NDC=00024574101|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,Labeler Name,Sanofi,manufacturer,"SANOFI-AVENTIS, US LLC",pending_analyst_review,NDC=00024574101|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,FDA Product Name,Adlyxin,brand,ADLYXIN 10 AND 20 MCG/0.2 ML P 50MCG/100M ADLYXIN 10 AND 20MCG,pending_analyst_review,NDC=00024574502|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,Labeler Name,Sanofi,manufacturer,"SANOFI-AVENTIS, US LLC",pending_analyst_review,NDC=00024574502|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,FDA Product Name,Adlyxin,brand,ADLYXIN 20MCG/0.2 ML PEN 3 ML 100MCG/ML ADLYXIN INJECTION 20MCG,pending_analyst_review,NDC=00024574702|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/drug-rebate-products,,Labeler Name,Sanofi,manufacturer,"SANOFI-AVENTIS, US LLC",pending_analyst_review,NDC=00024574702|Year=2023|Quarter=3,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv
Adlyxin,cms/medicaid-spending,,Brnd_Name,Adlyxin,brand,Adlyxin,pending_analyst_review,Brnd_Name=Adlyxin|Gnrc_Name=Lixisenatide|Mftr_Name=Overall,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Adlyxin,cms/medicaid-spending,,Gnrc_Name,lixisenatide,ingredient,Lixisenatide,pending_analyst_review,Brnd_Name=Adlyxin|Gnrc_Name=Lixisenatide|Mftr_Name=Overall,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Adlyxin,cms/medicaid-spending,,Brnd_Name,Adlyxin,brand,Adlyxin,pending_analyst_review,Brnd_Name=Adlyxin|Gnrc_Name=Lixisenatide|Mftr_Name=Sanofi-Aventis,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Adlyxin,cms/medicaid-spending,,Mftr_Name,Sanofi,manufacturer,Sanofi-Aventis,pending_analyst_review,Brnd_Name=Adlyxin|Gnrc_Name=Lixisenatide|Mftr_Name=Sanofi-Aventis,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Adlyxin,cms/medicaid-spending,,Gnrc_Name,lixisenatide,ingredient,Lixisenatide,pending_analyst_review,Brnd_Name=Adlyxin|Gnrc_Name=Lixisenatide|Mftr_Name=Sanofi-Aventis,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Bydureon,cms/medicaid-spending,,Brnd_Name,Bydureon,brand,Bydureon Bcise,pending_analyst_review,Brnd_Name=Bydureon Bcise|Gnrc_Name=Exenatide Microspheres|Mftr_Name=Overall,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Bydureon,cms/medicaid-spending,,Brnd_Name,Bydureon BCise,brand,Bydureon Bcise,pending_analyst_review,Brnd_Name=Bydureon Bcise|Gnrc_Name=Exenatide Microspheres|Mftr_Name=Overall,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Bydureon,cms/medicaid-spending,,Gnrc_Name,exenatide,ingredient,Exenatide Microspheres,pending_analyst_review,Brnd_Name=Bydureon Bcise|Gnrc_Name=Exenatide Microspheres|Mftr_Name=Overall,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv
Bydureon,cms/nadac,,NDC Description,Bydureon,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
Bydureon,cms/nadac,,NDC Description,Bydureon BCise,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
Bydureon,cms/nadac,,NDC Description,Bydureon,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
Bydureon,cms/nadac,,NDC Description,Bydureon BCise,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
Bydureon,cms/nadac,,NDC Description,Bydureon,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
Bydureon,cms/nadac,,NDC Description,Bydureon BCise,brand,BYDUREON BCISE 2 MG AUTOINJECT,pending_analyst_review,NDC=00310654004,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv
