canonical_product,cumulative_annual_beneficiaries,cumulative_annual_claims,cumulative_annual_dosage_units,cumulative_annual_spending,current_available_rows,current_limited_availability_rows,dataset_id,latest_prior_period_relation,latest_prior_periods_consecutive,latest_vs_prior_claims_change,latest_vs_prior_claims_pct_change,latest_vs_prior_spending_change,latest_vs_prior_spending_pct_change,latest_year,latest_year_mean_avg_spending_per_claim,latest_year_mean_avg_spending_per_dosage_unit,latest_year_total_beneficiaries,latest_year_total_claims,latest_year_total_dosage_units,latest_year_total_spending,match_records,match_terms,matched_source_rows,mean_avg_spending_per_claim,mean_avg_spending_per_dosage_unit,numeric_row_rule,numeric_rows_used,prior_year,prior_year_total_claims,prior_year_total_spending,shortage_classifications,source_url,sum_total_beneficiaries,sum_total_claims,sum_total_dosage_units,sum_total_spending,to_be_discontinued_rows,years_observed
Adlyxin,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,188,"['Adlyxin', 'Sanofi']",94,,,all_matched_rows,94,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Bydureon,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,392,"['AstraZeneca', 'Bydureon', 'Bydureon BCise']",180,,,all_matched_rows,180,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Byetta,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,226,"['AstraZeneca', 'Byetta', 'exenatide']",113,,,all_matched_rows,113,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Mounjaro,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,540,"['Eli Lilly', 'Lilly', 'Mounjaro']",180,,,all_matched_rows,180,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Ozempic,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,404,"['Novo Nordisk', 'Ozempic']",202,,,all_matched_rows,202,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Rybelsus,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,354,"['Novo Nordisk', 'Rybelsus']",177,,,all_matched_rows,177,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Saxenda,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,86,"['Novo Nordisk', 'Saxenda']",43,,,all_matched_rows,43,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Soliqua,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,154,"['Sanofi', 'Soliqua', 'Soliqua 100/33']",59,,,all_matched_rows,59,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Trulicity,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,804,"['Eli Lilly', 'Lilly', 'Trulicity']",268,,,all_matched_rows,268,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Victoza,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,184,"['Novo Nordisk', 'Victoza']",92,,,all_matched_rows,92,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Wegovy,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,380,"['Novo Nordisk', 'Wegovy']",190,,,all_matched_rows,190,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Xultophy,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,105,"['Novo Nordisk', 'Xultophy', 'Xultophy 100/3.6']",35,,,all_matched_rows,35,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Zepbound,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,420,"['Eli Lilly', 'Lilly', 'Zepbound']",140,,,all_matched_rows,140,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
ingredient:exenatide,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,3,['exenatide'],3,,,all_matched_rows,3,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
ingredient:liraglutide,0,0,0,0,,,cms/drug-rebate-products,,,,,,,,,,,,,,52,['liraglutide'],52,,,all_matched_rows,52,,,,,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,0.0,0.0,0.0,0.0,,[]
Adlyxin,0.0,4350.0,26839.0,2922209.71,,,cms/medicaid-spending,strict_yoy,True,-507.0,-95.4802,-359443.51,-94.7799,2023,824.8617,113.774,0.0,24.0,174.0,19796.68,5,"['Adlyxin', 'Sanofi', 'lixisenatide']",2,,,overall_rows_only,1,2022,531.0,379240.19,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Bydureon,0.0,779725.0,3028542.969,593504272.25,,,cms/medicaid-spending,strict_yoy,True,-20494.0,-18.8921,-14205460.46,-16.2245,2023,778.5483,208.9904,0.0,87985.0,314307.45,73350262.24,12,"['AstraZeneca', 'Bydureon', 'Bydureon BCise', 'exenatide']",4,,,overall_rows_only,2,2022,108479.0,87555722.7,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Byetta,0.0,91724.0,185062.212,77669493.91,,,cms/medicaid-spending,strict_yoy,True,-529.0,-4.2973,-437261.99,-4.2228,2023,841.818,513.9171,0.0,11781.0,22023.6,9917458.2,5,"['AstraZeneca', 'Byetta', 'exenatide']",2,,,overall_rows_only,1,2022,12310.0,10354720.19,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Mounjaro,0.0,442603.0,943821.5,460061815.22,,,cms/medicaid-spending,strict_yoy,True,374387.0,1097.6516,392249217.6,1156.8624,2023,1043.2331,488.8643,0.0,408495.0,871897.0,426155516.41,6,"['Eli Lilly', 'Lilly', 'Mounjaro', 'tirzepatide']",2,,,overall_rows_only,1,2022,34108.0,33906298.81,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2022', '2023']"
Ozempic,0.0,4072580.0,11367581.606,3932300275.14,,,cms/medicaid-spending,strict_yoy,True,1074587.0,108.6084,1128411542.77,117.9022,2023,1010.4094,334.4269,0.0,2064001.0,6545633.225,2085485949.3,5,"['Novo Nordisk', 'Ozempic', 'semaglutide']",2,,,overall_rows_only,1,2022,989414.0,957074406.53,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Rybelsus,0.0,479927.0,17445893.06,513594779.89,,,cms/medicaid-spending,strict_yoy,True,84211.0,52.835,120794613.63,74.6164,2023,1160.455,30.3673,0.0,243596.0,9308302.0,282682199.61,5,"['Novo Nordisk', 'Rybelsus', 'semaglutide']",2,,,overall_rows_only,1,2022,159385.0,161887585.98,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Saxenda,0.0,214822.0,3047660.0,259100813.74,,,cms/medicaid-spending,strict_yoy,True,39201.0,57.6045,46234465.91,55.4473,2023,1208.5348,86.2012,0.0,107253.0,1503680.0,129618988.26,5,"['Novo Nordisk', 'Saxenda', 'liraglutide']",2,,,overall_rows_only,1,2022,68052.0,83384522.35,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
Soliqua,0.0,57365.0,835614.6,42364538.07,,,cms/medicaid-spending,strict_yoy,True,-1397.0,-11.1023,-560185.08,-5.5633,2023,850.0861,55.4268,0.0,11186.0,171560.6,9509062.8,7,"['Sanofi', 'Soliqua', 'Soliqua 100/33', 'lixisenatide']",2,,,overall_rows_only,1,2022,12583.0,10069247.88,,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,0.0,0.0,0.0,0.0,,"['2019', '2020', '2021', '2022', '2023']"
