canonical_product,claims_absolute_change,claims_percent_change,confidence,dataset_id,direction,latest_claims,latest_period,latest_spending,numeric_row_rule,period_relation,periods_consecutive,prior_claims,prior_period,prior_spending,spending_absolute_change,spending_percent_change
Trulicity,613327.0,28.2487,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,2784493.0,2023,2867003543.7,overall_rows_only,strict_yoy,True,2171166.0,2022,2130924057.1,736079486.6,34.5427
Ozempic,1074587.0,108.6084,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,2064001.0,2023,2085485949.3,overall_rows_only,strict_yoy,True,989414.0,2022,957074406.53,1128411542.77,117.9022
Victoza,-58960.0,-9.156,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,584992.0,2023,596557354.41,overall_rows_only,strict_yoy,True,643952.0,2022,641640608.97,-45083254.56,-7.0262
Wegovy,378989.0,1232.8855,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,409729.0,2023,541318641.59,overall_rows_only,strict_yoy,True,30740.0,2022,41003233.1,500315408.49,1220.1853
Mounjaro,374387.0,1097.6516,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,408495.0,2023,426155516.41,overall_rows_only,strict_yoy,True,34108.0,2022,33906298.81,392249217.6,1156.8624
Rybelsus,84211.0,52.835,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,243596.0,2023,282682199.61,overall_rows_only,strict_yoy,True,159385.0,2022,161887585.98,120794613.63,74.6164
Saxenda,39201.0,57.6045,candidate_source_derived_requires_review,cms/medicaid-spending,spending_increase,107253.0,2023,129618988.26,overall_rows_only,strict_yoy,True,68052.0,2022,83384522.35,46234465.91,55.4473
Bydureon,-20494.0,-18.8921,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,87985.0,2023,73350262.24,overall_rows_only,strict_yoy,True,108479.0,2022,87555722.7,-14205460.46,-16.2245
Byetta,-529.0,-4.2973,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,11781.0,2023,9917458.2,overall_rows_only,strict_yoy,True,12310.0,2022,10354720.19,-437261.99,-4.2228
Soliqua,-1397.0,-11.1023,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,11186.0,2023,9509062.8,overall_rows_only,strict_yoy,True,12583.0,2022,10069247.88,-560185.08,-5.5633
Xultophy,-850.0,-23.3966,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,2783.0,2023,3378652.52,overall_rows_only,strict_yoy,True,3633.0,2022,4157965.98,-779313.46,-18.7427
Adlyxin,-507.0,-95.4802,candidate_source_derived_requires_review,cms/medicaid-spending,spending_decrease_or_flat,24.0,2023,19796.68,overall_rows_only,strict_yoy,True,531.0,2022,379240.19,-359443.51,-94.7799
Ozempic,3517133.0,103.1164,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,6927972.0,2023,9194048435.1,overall_rows_only,strict_yoy,True,3410839.0,2022,4628160643.4,4565887791.7,98.6545
Trulicity,705197.0,15.2944,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,5316020.0,2023,7363856224.3,overall_rows_only,strict_yoy,True,4610823.0,2022,6225291667.6,1138564556.7,18.2893
Mounjaro,1700391.0,1404.1794,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,1821486.0,2023,2361384157.1,overall_rows_only,strict_yoy,True,121095.0,2022,144035152.32,2217349004.78,1539.4499
Rybelsus,388680.0,56.6303,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,1075026.0,2023,1665906943.3,overall_rows_only,strict_yoy,True,686346.0,2022,974894470.13,691012473.17,70.8807
Victoza,-164726.0,-15.9555,candidate_source_derived_requires_review,cms/part-d-spending,spending_decrease_or_flat,867680.0,2023,1321848710.67,overall_rows_only,strict_yoy,True,1032406.0,2022,1557800381.69,-235951671.02,-15.1465
Soliqua,65756.0,33.199,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,263822.0,2023,302998642.22,overall_rows_only,strict_yoy,True,198066.0,2022,215943202.38,87055439.84,40.314
Bydureon,-64945.0,-23.3772,candidate_source_derived_requires_review,cms/part-d-spending,spending_decrease_or_flat,212868.0,2023,284117600.04,overall_rows_only,strict_yoy,True,277813.0,2022,355685658.6,-71568058.56,-20.1212
Xultophy,3757.0,7.4312,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,54314.0,2023,91415961.49,overall_rows_only,strict_yoy,True,50557.0,2022,77994458.68,13421502.81,17.2083
Byetta,-5548.0,-28.3206,candidate_source_derived_requires_review,cms/part-d-spending,spending_decrease_or_flat,14042.0,2023,20645626.17,overall_rows_only,strict_yoy,True,19590.0,2022,27500961.16,-6855334.99,-24.9276
Saxenda,-1.0,-3.7037,candidate_source_derived_requires_review,cms/part-d-spending,spending_increase,26.0,2023,33945.96,overall_rows_only,latest_vs_prior_observed,False,27.0,2021,28734.51,5211.45,18.1366
