catalog_rows,columns_status,dataset_id,large_source,lexical_match_records,metadata_status,parser,priority,refresh_default,rows_scanned,signal_families,skip_or_error,source_scan_status,source_updated_at,source_url,unique_matched_source_rows
9627,ok,ca-hcai/wac-increases,False,0,ok,csv,P1,source_scan,1750,payer_reimbursement_pressure,,scanned,2026-05-21T04:37:44.861404Z,https://data.chhs.ca.gov/dataset/prescription-drug-wholesale-acquisition-cost-wac-increases,
50000,ok,cdc/brfss,False,0,ok,json,P0,metadata_only,50000,market_opportunity_access_context,,scanned,2026-05-21T04:37:44.932194Z,https://data.cdc.gov/resource/dttw-5yxu.json?$limit=50000,
832,ok,census/health-insurance-coverage,False,0,ok,csv,P1,source_scan,832,market_opportunity_access_context,,scanned,2026-05-21T04:37:45.494774Z,https://gist.githubusercontent.com/rileyhilliard/e8081bcc7bab4de342a488a01d126d25/raw/data.csv,
1907607,ok,cms/drug-rebate-products,True,4292,ok,csv,P0,metadata_only,1907607,payer_reimbursement_pressure;regulatory_product_lifecycle,,scanned,2026-05-21T04:37:45.666482Z,https://download.medicaid.gov/data/drugproducts4q_2025Updated02122026.csv,1828
2165244,ok,cms/ful,True,0,ok,csv,P1,metadata_only,2165244,payer_reimbursement_pressure,,scanned,2026-05-21T04:37:45.687435Z,https://download.medicaid.gov/data/aca-federal-upper-limits-03302026.csv,
141,ok,cms/ira-drug-prices,False,0,ok,zip,P1,source_scan,282,payer_reimbursement_pressure,,scanned,2026-05-15T18:31:57.418787Z,https://www.cms.gov/files/zip/file-negotiated-prices-also-known-maximum-fair-prices-statute.zip,
97082,ok,cms/marketplace-plans,False,0,ok,zip,P1,metadata_only,97083,insurer_behavior_access_context,,scanned,2026-05-21T04:37:45.854225Z,https://data.healthcare.gov/datafile/py2026/individual_market_medical.zip,
10506,ok,cms/medicaid-chip-enrollment,False,0,ok,csv,P1,source_scan,10608,market_opportunity_access_context,,scanned,2026-05-21T04:37:45.883555Z,https://data.medicaid.gov/api/1/datastore/query/6165f45b-ca93-5bb5-9d06-db29c692a360/0/download?format=csv,
16938,ok,cms/medicaid-spending,False,84,ok,csv,P0,source_scan,16938,competitor_utilization_momentum;payer_reimbursement_pressure,,scanned,2026-05-21T04:37:45.930503Z,https://data.cms.gov/sites/default/files/2025-05/113322af-a725-4df3-95a6-dfeb03756160/DSD_MCD_RY25_P06_V20_D23_BGM.csv,30
1372400,ok,cms/mlr-data,True,0,ok,zip,P2,metadata_only,792404,insurer_behavior_access_context,,scanned,2026-05-21T04:37:45.979766Z,https://www.cms.gov/files/zip/mlr-public-use-file-2024.zip,
1972735,ok,cms/nadac,True,3026,ok,csv,P0,metadata_only,1972735,payer_reimbursement_pressure,,scanned,2026-05-21T04:37:46.027019Z,https://download.medicaid.gov/data/nadac-national-average-drug-acquisition-cost-03-25-2026.csv,2966
14309,ok,cms/part-d-spending,False,73,ok,csv,P0,source_scan,14309,competitor_utilization_momentum;payer_reimbursement_pressure,,scanned,2026-05-21T04:37:46.141271Z,https://data.cms.gov/sites/default/files/2025-05/56d95a8b-138c-4b60-84a5-613fbab7197f/DSD_PTD_RY25_P04_V10_DY23_BGM.csv,26
5284306,ok,cms/sdud,True,10252,ok,csv,P0,metadata_only,5284306,competitor_utilization_momentum;payer_reimbursement_pressure,,scanned,2026-05-21T04:37:46.160987Z,https://download.medicaid.gov/data/sdud-2024-updated-dec2025.csv,10252
40222,ok,cms/transparency-in-coverage,False,0,ok,zip,P1,metadata_only,402,insurer_behavior_access_context,,scanned,2026-05-21T04:37:46.230994Z,https://download.cms.gov/marketplace-puf/2017/transparency-in-coverage-puf.zip,
17661,ok,fda/drug-recalls,True,97,ok,zip,P1,metadata_only,17665,regulatory_product_lifecycle;supply_access,,scanned,2026-05-26T05:14:04.385009Z,https://download.open.fda.gov/drug/enforcement/drug-enforcement-0001-of-0001.json.zip,70
1679,ok,fda/drug-shortages,False,16,ok,zip,P1,source_scan,1675,regulatory_product_lifecycle;supply_access,,scanned,2026-05-26T05:14:04.409717Z,https://download.open.fda.gov/drug/shortages/drug-shortages-0001-of-0001.json.zip,10
51144,ok,fda/drugs-at-fda,False,199,ok,zip,P0,source_scan,950380,regulatory_product_lifecycle,,scanned,2026-05-15T19:48:14.808798Z,https://www.fda.gov/media/89850/download,109
134532,ok,fda/ndc-directory,False,641,ok,zip,P0,source_scan,135317,regulatory_product_lifecycle;payer_reimbursement_pressure,,scanned,2026-05-21T04:37:46.804314Z,https://download.open.fda.gov/drug/ndc/drug-ndc-0001-of-0001.json.zip,402
1341,ok,fda/nme-approvals,False,19,ok,xlsx,P1,source_scan,1387,regulatory_product_lifecycle,,scanned,2026-05-21T04:37:46.843760Z,https://www.fda.gov/media/177921/download?attachment,6
48083,ok,fda/orange-book,False,257,ok,zip,P0,source_scan,71437,regulatory_product_lifecycle,,scanned,2026-05-15T19:53:35.644586Z,https://www.fda.gov/media/76860/download,86
6798,ok,owid/obesity,False,0,ok,csv,P0,metadata_only,6798,market_opportunity_access_context,,scanned,2026-05-15T16:59:17.687755Z,https://ourworldindata.org/grapher/share-of-adults-who-are-overweight.csv?v=1&csvType=full,
