brand_name,generic_name,manufacturer_or_labeler,product_type,marketing_categories,application_numbers,dosage_forms,routes,fda_source_basis,fda_source_confidence,orange_book_innovator_rx_match,hcp_website_url,hcp_website_count_for_brand,patient_website_url,patient_website_count_for_brand,website_classification,audience_evidence,last_checked_or_seed_date,confidence,uncertainty_notes
Acetaminophen,Acetaminophen,"B. Braun Medical Inc.; Fresenius Kabi USA, LLC; Hikma Pharmaceuticals USA Inc.; ProPharma Distribution",prescription drug,NDA,NDA204767; NDA204957; NDA206968,INJECTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Allopurinol,Allopurinol,"Actavis Pharma, Inc.; Aphena Pharma Solutions - Tennessee, LLC; Bryant Ranch Prepack; Coupler LLC; Proficient Rx LP; Rising Pharma Holdings, Inc.",prescription drug,NDA; NDA AUTHORIZED GENERIC,NDA016084; NDA018832; NDA018877,TABLET,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Argatroban,Argatroban,Accord Healthcare Inc.; Eugia US LLC; Hikma Pharmaceuticals USA Inc.; Plano Pharmaceuticals Inc.,prescription drug,NDA,NDA022485; NDA203049; NDA209552; NDA212035,"INJECTION; INJECTION, SOLUTION; SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Artesunate,Artesunate,"Amivas, Inc",prescription drug,NDA,NDA213036,KIT,,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
atropine sulfate,atropine sulfate,"Alcon Laboratories, Inc.; Bausch & Lomb Americas Inc.; Bausch & Lomb Incorporated; Fresenius Kabi USA, LLC; HF Acquisition Co LLC, DBA HealthFirst; Henry Schein, Inc.; Hospira, Inc.; Medical Purchasing Solutions, LLC; ProPharma Distribution; REMEDYREPACK INC.",prescription drug,NDA; NDA AUTHORIZED GENERIC,NDA021146; NDA208151; NDA209260; NDA213581; NDA214652,"INJECTION, SOLUTION; SOLUTION",ENDOTRACHEAL; INTRAMEDULLARY; INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS; ENDOTRACHEAL; INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS; INTRAVENOUS; OPHTHALMIC,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
BENDAMUSTINE HYDROCHLORIDE,bendamustine hydrochloride,"Apotex Corp; Avyxa Pharma, LLC; Baxter Healthcare Corporation",prescription drug,NDA,NDA215033; NDA216078; NDA219014,"INJECTION; INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Benznidazole,benznidazole,"Exeltis USA, Inc.",prescription drug,NDA,NDA209570,TABLET,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Betamethasone Dipropionate,Betamethasone Dipropionate,"A-S Medication Solutions; E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC; Prasco Laboratories; REMEDYREPACK INC.",prescription drug,NDA; NDA AUTHORIZED GENERIC,NDA018741; NDA019137; NDA019141,CREAM; OINTMENT,TOPICAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Betamethasone Valerate,betamethasone valerate,"A-S Medication Solutions; Cosette Pharmaceuticals, Inc.; E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC; NuCare Pharmaceuticals,Inc.; Preferred Pharmaceuticals Inc.; Proficient Rx LP",prescription drug,NDA,NDA018642; NDA018861; NDA018865; NDA018866,CREAM; LOTION; OINTMENT,TOPICAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
BORTEZOMIB,BORTEZOMIB,"Hospira, Inc.; MAIA Pharmaceuticals, Inc.; Shilpa Medicare Limited",prescription drug,NDA,NDA209191; NDA212782; NDA215331,"INJECTION; INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS; INTRAVENOUS; SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Calcium Gluconate,Calcium Gluconate,"Fresenius Kabi USA, LLC; HF Acquisition Co LLC, DBA HealthFirst; Henry Schein, Inc.; Medical Purchasing Solutions, LLC; ProPharma Distribution; REMEDYREPACK INC.; WG Critical Care, LLC",prescription drug,NDA,NDA208418; NDA210906,"INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Calcium Gluconate in Sodium Chloride,Calcium Gluconate,"WG Critical Care, LLC",prescription drug,NDA,NDA210906,"INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Caspofungin Acetate,Caspofungin Acetate,"Fresenius Kabi USA, LLC",prescription drug,NDA,NDA206110,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Cefazolin Sodium,Cefazolin Sodium,B. Braun Medical Inc.,prescription drug,NDA,NDA050779,SOLUTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
CISplatin,CISplatin,"WG Critical Care, LLC",prescription drug,NDA,NDA018057,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION; INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Codeine sulfate,codeine sulfate,Hikma Pharmaceuticals USA Inc.,prescription drug,NDA,NDA022402,TABLET,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Cyclophosphamide,Cyclophosphamide,"Avyxa Pharma, LLC; Baxter Healthcare Corporation; BluePoint Laboratories; Dr. Reddy's Labratories Inc.; Eugia US LLC; Hikma Pharmaceuticals USA Inc.; Sandoz Inc",prescription drug,NDA; NDA AUTHORIZED GENERIC,NDA012141; NDA203856; NDA210735; NDA210852; NDA212501; NDA217150,"CAPSULE; INJECTION; INJECTION, SOLUTION; INJECTION, SOLUTION, CONCENTRATE; TABLET",INTRAVENOUS; ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Daptomycin,daptomycin,"Civica, Inc.; Hikma Pharmaceuticals USA Inc.; Hospira, Inc.; MAIA Pharmaceuticals, Inc.; Par Health USA, LLC; Sagent Pharmaceuticals; Xellia Pharmaceuticals USA LLC",prescription drug,NDA,NDA208385; NDA209949; NDA210282; NDA217415; NDA217630,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Daunorubicin Hydrochloride,Daunorubicin Hydrochloride,Hikma Pharmaceuticals USA Inc.,prescription drug,NDA,NDA050731,INJECTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Desonide,desonide,"Actavis Pharma, Inc.; Padagis Israel Pharmaceuticals Ltd; Proficient Rx LP",prescription drug,NDA; NDA AUTHORIZED GENERIC,NDA017426; NDA019048,CREAM; OINTMENT,TOPICAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Desvenlafaxine,Desvenlafaxine,"Alembic Pharmaceuticals Limited; Sun Pharmaceutical Industries, Inc.",prescription drug,NDA,NDA204150,"TABLET, EXTENDED RELEASE",ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Digoxin,Digoxin,Atlantic Biologicals Corps; Hikma Pharmaceuticals USA Inc.,prescription drug,NDA,NDA021648,SOLUTION,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Dopamine Hydrochloride,Dopamine Hydrochloride,"HF Acquisition Co LLC, DBA HealthFirst; Henry Schein, Inc.; Hospira, Inc.; Medical Purchasing Solutions, LLC; ProPharma Distribution",prescription drug,NDA,NDA018132; NDA018826,"INJECTION, SOLUTION; INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
