brand_name,generic_name,manufacturer_or_labeler,search_hcp_query,search_patient_query,reason
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.","""ABILIFY"" ""For Healthcare Professionals""","""ABILIFY"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc","""Abilify Asimtufii"" ""For Healthcare Professionals""","""Abilify Asimtufii"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
ABILIFY MAINTENA,aripiprazole,"Otsuka America Pharmaceutical, Inc.","""ABILIFY MAINTENA"" ""For Healthcare Professionals""","""ABILIFY MAINTENA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ABRILADA,adalimumab-afzb,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,"""ABRILADA"" ""For Healthcare Professionals""","""ABRILADA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Absorica,isotretinoin,"Sun Pharmaceutical Industries, Inc.","""Absorica"" ""For Healthcare Professionals""","""Absorica"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Absorica LD,isotretinoin,"Sun Pharmaceutical Industries, Inc.","""Absorica LD"" ""For Healthcare Professionals""","""Absorica LD"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC","""Acanya"" ""For Healthcare Professionals""","""Acanya"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACCRUFER,Ferric Maltol,Shield TX (UK) Ltd,"""ACCRUFER"" ""For Healthcare Professionals""","""ACCRUFER"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.","""ACD-A"" ""For Healthcare Professionals""","""ACD-A"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACD Blood-Pack Units (PL 146 PLASTIC),Anticoagulant Citrate Dextrose (ACD),"Fenwal, Inc.","""ACD Blood-Pack Units (PL 146 PLASTIC)"" ""For Healthcare Professionals""","""ACD Blood-Pack Units (PL 146 PLASTIC)"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACETADOTE,Acetylcysteine,Cumberland Pharmaceuticals Inc.,"""ACETADOTE"" ""For Healthcare Professionals""","""ACETADOTE"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Acetaminophen,Acetaminophen,"B. Braun Medical Inc.; Fresenius Kabi USA, LLC; Hikma Pharmaceuticals USA Inc.; ProPharma Distribution","""Acetaminophen"" ""For Healthcare Professionals""","""Acetaminophen"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Aciphex,rabeprazole sodium,Waylis Therapeutics LLC,"""Aciphex"" ""For Healthcare Professionals""","""Aciphex"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Actemra ACTPen,tocilizumab,"Genentech, Inc.","""Actemra ACTPen"" ""For Healthcare Professionals""","""Actemra ACTPen"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Acthar,Repository Corticotropin,Mallinckrodt ARD LLC,"""Acthar"" ""For Healthcare Professionals""","""Acthar"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Acticlate,doxycycline hyclate,Aqua Pharmaceuticals,"""Acticlate"" ""For Healthcare Professionals""","""Acticlate"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACTIMMUNE,Interferon gamma-1b,"Horizon Therapeutics USA, Inc.","""ACTIMMUNE"" ""For Healthcare Professionals""","""ACTIMMUNE"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Activella,Estradiol/norethindrone acetate,Amneal Pharmaceuticals LLC,"""Activella"" ""For Healthcare Professionals""","""Activella"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Actonel,Risedronate Sodium,"Allergan, Inc.","""Actonel"" ""For Healthcare Professionals""","""Actonel"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.","""Actoplus Met"" ""For Healthcare Professionals""","""Actoplus Met"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Actos,pioglitazone,"Takeda Pharmaceuticals America, Inc.","""Actos"" ""For Healthcare Professionals""","""Actos"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Acular,Ketorolac Tromethamine,"Allergan, Inc.","""Acular"" ""For Healthcare Professionals""","""Acular"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACULAR LS,Ketorolac Tromethamine,"Allergan, Inc.","""ACULAR LS"" ""For Healthcare Professionals""","""ACULAR LS"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACUVAIL,ketorolac tromethamine,"Allergan, Inc.","""ACUVAIL"" ""For Healthcare Professionals""","""ACUVAIL"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ACZONE,dapsone,"Allergan, Inc.; Almirall, LLC","""ACZONE"" ""For Healthcare Professionals""","""ACZONE"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADAKVEO,crizanlizumab,Novartis Pharmaceuticals Corporation,"""ADAKVEO"" ""For Healthcare Professionals""","""ADAKVEO"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Adasuve,loxapine,"Alexza Pharmaceuticals, Inc.","""Adasuve"" ""For Healthcare Professionals""","""Adasuve"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adbry,tralokinumab-ldrm,LEO Pharma Inc.,"""Adbry"" ""For Healthcare Professionals""","""Adbry"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
ADCETRIS,brentuximab vedotin,SEAGEN INC.,"""ADCETRIS"" ""For Healthcare Professionals""","""ADCETRIS"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADCIRCA,Tadalafil,United Therapeutics Corporation,"""ADCIRCA"" ""For Healthcare Professionals""","""ADCIRCA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adderall,"Dextroamphetamine Sulfate, Dextroamphetamine Saccharate, Amphetamine Sulfate and Amphetamine Aspartate","Takeda Pharmaceuticals America, Inc.","""Adderall"" ""For Healthcare Professionals""","""Adderall"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Additive Formula 3,"Dextrose Monohydrate, TRISODIUM CITRATE DIHYDRATE, Sodium Chloride, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, Citric Acid Monohydrate, and Adenine","Terumo BCT, Ltd","""Additive Formula 3"" ""For Healthcare Professionals""","""Additive Formula 3"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADDYI,flibanserin,"Sprout Pharmaceuticals, Inc.","""ADDYI"" ""For Healthcare Professionals""","""ADDYI"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adempas,riociguat,Bayer HealthCare Pharmaceuticals Inc.,"""Adempas"" ""For Healthcare Professionals""","""Adempas"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
ADQUEY,Difamilast,Acrotech Biopharma Inc,"""ADQUEY"" ""For Healthcare Professionals""","""ADQUEY"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adrenalin,epinephrine,"Medical Purchasing Solutions, LLC; Par Health USA, LLC; ProPharma Distribution; REMEDYREPACK INC.","""Adrenalin"" ""For Healthcare Professionals""","""Adrenalin"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adrenalin,epineprine,"Henry Schein, Inc.","""Adrenalin"" ""For Healthcare Professionals""","""Adrenalin"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Adrenalin Vials,epinephrine,Sina Health Inc,"""Adrenalin Vials"" ""For Healthcare Professionals""","""Adrenalin Vials"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AdreView,Iobenguane I-123,Medi-Physics Inc.,"""AdreView"" ""For Healthcare Professionals""","""AdreView"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADSOL RED CELL PRESERVATION,anticoagulant citrate phosphate dextrose (cpd) and adsol preservation,"Fenwal, Inc.","""ADSOL RED CELL PRESERVATION"" ""For Healthcare Professionals""","""ADSOL RED CELL PRESERVATION"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADSOL RED CELL PRESERVATION,anticoagulant citrate phosphate dextrose (cpd) and adsol preservation kit,"Fenwal, Inc.","""ADSOL RED CELL PRESERVATION"" ""For Healthcare Professionals""","""ADSOL RED CELL PRESERVATION"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Fenwal, Inc.","""ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic)"" ""For Healthcare Professionals""","""ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic)"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADSTILADRIN,nadofaragene firadenovec-vncg,Ferring Pharmaceuticals Inc.,"""ADSTILADRIN"" ""For Healthcare Professionals""","""ADSTILADRIN"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
ADVAIR,fluticasone propionate and salmeterol,A-S Medication Solutions; GlaxoSmithKline LLC,"""ADVAIR"" ""For Healthcare Professionals""","""ADVAIR"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADVAIR DISKUS,fluticasone propionate and salmeterol,A-S Medication Solutions,"""ADVAIR DISKUS"" ""For Healthcare Professionals""","""ADVAIR DISKUS"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADVAIR HFA,fluticasone propionate and salmeterol xinafoate,A-S Medication Solutions; GlaxoSmithKline LLC,"""ADVAIR HFA"" ""For Healthcare Professionals""","""ADVAIR HFA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ADZYNMA,Apadamtase Alfa,"TAKEDA PHARMACEUTICALS AMERICA, INC.","""ADZYNMA"" ""For Healthcare Professionals""","""ADZYNMA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AFREZZA,INSULIN HUMAN,Mannkind Corporation,"""AFREZZA"" ""For Healthcare Professionals""","""AFREZZA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AGAMREE,VAMOROLONE,"Catalyst Pharmaceuticals, Inc.","""AGAMREE"" ""For Healthcare Professionals""","""AGAMREE"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AGGRASTAT,TIROFIBAN,Medicure International Inc,"""AGGRASTAT"" ""For Healthcare Professionals""","""AGGRASTAT"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Agrylin,anagrelide hydrochloride,"Takeda Pharmaceuticals America, Inc.","""Agrylin"" ""For Healthcare Professionals""","""Agrylin"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AHZANTIVE,aflibercept-mrbb,"Valorum Biologics, LLC","""AHZANTIVE"" ""For Healthcare Professionals""","""AHZANTIVE"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AIMOVIG,erenumab-aooe,Amgen Inc,"""AIMOVIG"" ""For Healthcare Professionals""","""AIMOVIG"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
"Air, Compressed","Nitrogen, Oxygen",Messer Gas Puerto Rico Inc,"""Air, Compressed"" ""For Healthcare Professionals""","""Air, Compressed"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AirDuo RespiClick,Fluticasone Propionate and Salmeterol,"Teva Respiratory, LLC","""AirDuo RespiClick"" ""For Healthcare Professionals""","""AirDuo RespiClick"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
AIRSUPRA,Albuterol sulfate and budesonide,AstraZeneca Pharmaceuticals LP,"""AIRSUPRA"" ""For Healthcare Professionals""","""AIRSUPRA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AJOVY,fremanezumab-vfrm,"Teva Pharmaceuticals USA, Inc.","""AJOVY"" ""For Healthcare Professionals""","""AJOVY"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.","""AKEEGA"" ""For Healthcare Professionals""","""AKEEGA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AKLIEF,trifarotene,"Galderma Laboratories, L.P.","""AKLIEF"" ""For Healthcare Professionals""","""AKLIEF"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Akovaz,ephedrine sulfate,"Exela Pharma Sciences, LLC","""Akovaz"" ""For Healthcare Professionals""","""Akovaz"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AKTEN,LIDOCAINE HYDROCHLORIDE ANHYDROUS,Thea Pharma Inc.,"""AKTEN"" ""For Healthcare Professionals""","""AKTEN"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AKYNZEO,Fosnetupitant and Palonosetron,"Helsinn Therapeutics (U.S.), Inc.","""AKYNZEO"" ""For Healthcare Professionals""","""AKYNZEO"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
AKYNZEO,Netupitant and Palonosetron,"Helsinn Therapeutics (U.S.), Inc.","""AKYNZEO"" ""For Healthcare Professionals""","""AKYNZEO"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ALBENZA,albendazole,Amneal Pharmaceuticals LLC,"""ALBENZA"" ""For Healthcare Professionals""","""ALBENZA"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ALBUMINEX,Albumin Human,BPL,"""ALBUMINEX"" ""For Healthcare Professionals""","""ALBUMINEX"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Albuterol Sulate,albuterol sulfate,"NuCare Pharmaceuticals,Inc.; REMEDYREPACK INC.","""Albuterol Sulate"" ""For Healthcare Professionals""","""Albuterol Sulate"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Aldactone,spironolactone,Pfizer Laboratories Div Pfizer Inc,"""Aldactone"" ""For Healthcare Professionals""","""Aldactone"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
ALECENSA,ALECTINIB HYDROCHLORIDE,"Genentech, Inc.","""ALECENSA"" ""For Healthcare Professionals""","""ALECENSA"" ""For Patients""",hcp_found_patient_not_found_by_seed_or_probe
Alimta,Pemetrexed disodium,Eli Lilly and Company,"""Alimta"" ""For Healthcare Professionals""","""Alimta"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Alkindi,Hydrocortisone,"Eton Pharmaceuticals, Inc.","""Alkindi"" ""For Healthcare Professionals""","""Alkindi"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Allopurinol,Allopurinol,"Actavis Pharma, Inc.; Aphena Pharma Solutions - Tennessee, LLC; Bryant Ranch Prepack; Coupler LLC; Proficient Rx LP; Rising Pharma Holdings, Inc.","""Allopurinol"" ""For Healthcare Professionals""","""Allopurinol"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
Aloprim,Allopurinol,Mylan Institutional LLC,"""Aloprim"" ""For Healthcare Professionals""","""Aloprim"" ""For Patients""",no_branded_site_found_in_seed_or_deterministic_probe
