brand_name,generic_name,manufacturer_or_labeler,product_type,marketing_categories,application_numbers,dosage_forms,routes,fda_source_basis,fda_source_confidence,orange_book_innovator_rx_match,hcp_website_url,hcp_website_count_for_brand,patient_website_url,patient_website_count_for_brand,website_classification,audience_evidence,last_checked_or_seed_date,confidence,uncertainty_notes
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",prescription drug,NDA,NDA021436,TABLET,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",prescription drug,NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,FDA NDC Directory active human prescription listing,high,yes,https://www.abilifyasimtufiihcp.com/,2,,0,hcp_found_patient_not_found_by_seed_or_probe,"Aim for up to 2 months of long-lasting stability 1,2 * †",2026-05-14T21:28:15+00:00,high,
ABILIFY MAINTENA,aripiprazole,"Otsuka America Pharmaceutical, Inc.",prescription drug,NDA,NDA202971,KIT,,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ABRAXANE,Paclitaxel,"Abraxis BioScience, LLC",prescription drug,NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,https://www.abraxanepro.com/,1,https://www.abraxane.com/,1,both_hcp_and_patient_found,TALK TO YOUR DOCTOR; ASK YOUR DOCTOR,2026-05-14T21:28:15+00:00,high,
ABRILADA,adalimumab-afzb,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,prescription drug,BLA,BLA761118,KIT,,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
Absorica,isotretinoin,"Sun Pharmaceutical Industries, Inc.",prescription drug,NDA,NDA021951,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
Absorica LD,isotretinoin,"Sun Pharmaceutical Industries, Inc.",prescription drug,NDA,NDA211913,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,https://www.absoricald-hcp.com/,1,,0,hcp_found_patient_not_found_by_seed_or_probe,Severe Nodular Acne Treatment | ABSORICA LD® (isotretinoin),2026-05-14T21:28:15+00:00,high,
Acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC",prescription drug,NDA,NDA050819,GEL,TOPICAL,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ACCRUFER,Ferric Maltol,Shield TX (UK) Ltd,prescription drug,NDA,NDA212320,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",prescription drug,NDA,BN160918,SOLUTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ACD Blood-Pack Units (PL 146 PLASTIC),Anticoagulant Citrate Dextrose (ACD),"Fenwal, Inc.",prescription drug,NDA,BN160918,SOLUTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ACETADOTE,Acetylcysteine,Cumberland Pharmaceuticals Inc.,prescription drug,NDA,NDA021539,"INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,https://www.acetadote.com/,1,,0,hcp_found_patient_not_found_by_seed_or_probe,This website is intended for healthcare professionals only.,2026-05-14T21:28:15+00:00,high,
Acetaminophen,Acetaminophen,"B. Braun Medical Inc.; Fresenius Kabi USA, LLC; Hikma Pharmaceuticals USA Inc.; ProPharma Distribution",prescription drug,NDA,NDA204767; NDA204957; NDA206968,INJECTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
Aciphex,rabeprazole sodium,Waylis Therapeutics LLC,prescription drug,NDA,NDA020973,"TABLET, DELAYED RELEASE",ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
ACTEMRA,tocilizumab,"Genentech, Inc.",prescription drug,BLA,BLA125276; BLA125472,"INJECTION, SOLUTION; INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS; SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,https://www.actemrahcp.com/ra.html,1,https://www.actemra.com/,1,both_hcp_and_patient_found,ASK YOUR DOCTOR,2026-05-14T21:28:15+00:00,high,
Actemra ACTPen,tocilizumab,"Genentech, Inc.",prescription drug,BLA,BLA125472,"INJECTION, SOLUTION",SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_in_seed_or_deterministic_probe,,2026-07-08,needs_manual_review,"No site found in existing broad HCP seed, patient retained-row seed, or deterministic patient-domain probe; requires search-engine/manual verification."
Acthar,Repository Corticotropin,Mallinckrodt ARD LLC,prescription drug,NDA,NDA008372,INJECTION,INTRAMUSCULAR; SUBCUTANEOUS; SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,https://www.actharhcp.com/,1,,0,hcp_found_patient_not_found_by_seed_or_probe,,2026-05-14T21:28:15+00:00,high,
