brand_name,generic_name,manufacturer_or_labeler,product_type,marketing_categories,application_numbers,dosage_forms,routes,fda_source_basis,fda_source_confidence,orange_book_innovator_rx_match,hcp_website_url,hcp_website_count_for_brand,patient_website_url,patient_website_count_for_brand,website_classification,audience_evidence,last_checked_or_seed_date,confidence,uncertainty_notes
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",prescription drug,NDA,NDA021436,TABLET,ORAL,FDA NDC Directory active human prescription listing,high,yes,https://www.abilify.com/,1,https://www.abilify.com/,1,both_hcp_and_patient_found,PRESCRIBING INFORMATION,2026-07-08,high,
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",prescription drug,NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,FDA NDC Directory active human prescription listing,high,yes,https://www.abilifyasimtufiihcp.com/,2,,0,hcp_found_patient_not_found,"Aim for up to 2 months of long-lasting stability 1,2 * †",2026-07-08,partial_manual_review,HCP URL found; patient URL not found by reviewed nonblocked follow-up.
ABILIFY MAINTENA,aripiprazole,"Otsuka America Pharmaceutical, Inc.",prescription drug,NDA,NDA202971,KIT,,FDA NDC Directory active human prescription listing,high,no,https://www.abilifyasimtufiihcp.com/,1,,0,hcp_found_patient_not_found,FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION,2026-07-08,partial_manual_review,HCP URL found; patient URL not found by reviewed nonblocked follow-up.
ABRAXANE,Paclitaxel,"Abraxis BioScience, LLC",prescription drug,NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,https://www.abraxanepro.com/,1,https://www.abraxane.com/,1,both_hcp_and_patient_found,TALK TO YOUR DOCTOR; ASK YOUR DOCTOR,2026-05-14T21:28:15+00:00,high,
ABRILADA,adalimumab-afzb,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,prescription drug,BLA,BLA761118,KIT,,FDA NDC Directory active human prescription listing,high,no,https://abrilada.pfizerpro.com/,1,https://www.abrilada.com/,1,both_hcp_and_patient_found,FOR HEALTHCARE PROFESSIONALS; FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION,2026-07-08,high,
Absorica,isotretinoin,"Sun Pharmaceutical Industries, Inc.",prescription drug,NDA,NDA021951,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,https://absorica.com/,1,patient_found_hcp_not_found,FOR PATIENTS; COPAY; TALK TO YOUR DOCTOR,2026-07-08,partial_manual_review,Patient URL found; HCP URL not found by reviewed nonblocked follow-up.
Absorica LD,isotretinoin,"Sun Pharmaceutical Industries, Inc.",prescription drug,NDA,NDA211913,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,https://www.absoricald-hcp.com/,1,https://absorica.com/,1,both_hcp_and_patient_found,Severe Nodular Acne Treatment | ABSORICA LD® (isotretinoin),2026-07-08,high,
Acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC",prescription drug,NDA,NDA050819,GEL,TOPICAL,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
ACCRUFER,Ferric Maltol,Shield TX (UK) Ltd,prescription drug,NDA,NDA212320,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,https://www.accruferhcp.com/,1,https://www.accrufer.com/,1,both_hcp_and_patient_found,FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP,2026-07-08,high,
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",prescription drug,NDA,BN160918,SOLUTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
ACD Blood-Pack Units (PL 146 PLASTIC),Anticoagulant Citrate Dextrose (ACD),"Fenwal, Inc.",prescription drug,NDA,BN160918,SOLUTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
ACETADOTE,Acetylcysteine,Cumberland Pharmaceuticals Inc.,prescription drug,NDA,NDA021539,"INJECTION, SOLUTION",INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,https://www.acetadote.com/,1,https://www.acetadote.com/,1,both_hcp_and_patient_found,This website is intended for healthcare professionals only.,2026-07-08,high,
Acetaminophen,Acetaminophen,"B. Braun Medical Inc.; Fresenius Kabi USA, LLC; Hikma Pharmaceuticals USA Inc.; ProPharma Distribution",prescription drug,NDA,NDA204767; NDA204957; NDA206968,INJECTION,INTRAVENOUS,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Aciphex,rabeprazole sodium,Waylis Therapeutics LLC,prescription drug,NDA,NDA020973,"TABLET, DELAYED RELEASE",ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,https://aciphex.com/,1,patient_found_hcp_not_found,COPAY; ASK YOUR DOCTOR,2026-07-08,partial_manual_review,Patient URL found; HCP URL not found by reviewed nonblocked follow-up.
ACTEMRA,tocilizumab,"Genentech, Inc.",prescription drug,BLA,BLA125276; BLA125472,"INJECTION, SOLUTION; INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS; SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,https://www.actemrahcp.com/ra.html,1,https://www.actemra.com/,1,both_hcp_and_patient_found,ASK YOUR DOCTOR,2026-05-14T21:28:15+00:00,high,
Actemra ACTPen,tocilizumab,"Genentech, Inc.",prescription drug,BLA,BLA125472,"INJECTION, SOLUTION",SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
Acthar,Repository Corticotropin,Mallinckrodt ARD LLC,prescription drug,NDA,NDA008372,INJECTION,INTRAMUSCULAR; SUBCUTANEOUS; SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,https://www.actharhcp.com/,1,https://www.acthar.com/,1,both_hcp_and_patient_found,TALK TO YOUR DOCTOR,2026-07-08,high,
Acticlate,doxycycline hyclate,Aqua Pharmaceuticals,prescription drug,NDA,NDA208253,CAPSULE,ORAL,FDA NDC Directory active human prescription listing,high,yes,https://www.acticlate.com/healthcare-professionals,1,,0,hcp_found_patient_not_found,hcp/pro/professional URL signal plus visible brand text,2026-07-08,partial_manual_review,HCP URL found; patient URL not found by reviewed nonblocked follow-up.
ACTIMMUNE,Interferon gamma-1b,"Horizon Therapeutics USA, Inc.",prescription drug,BLA,BLA103836,"INJECTION, SOLUTION",SUBCUTANEOUS,FDA NDC Directory active human prescription listing,high,no,https://www.actimmunehcp.com/,1,https://www.actimmune.com/,1,both_hcp_and_patient_found,"Provide protection with ACTIMMUNE, the only FDA-approved therapy indicated for reducing the frequency and severity of serious infections* associated with chronic granulomatous disease (CGD).",2026-07-08,high,
Activase,Alteplase,"Genentech, Inc.",prescription drug,BLA,BLA103172,KIT,,FDA NDC Directory active human prescription listing,high,no,https://www.activase.com/,1,https://www.activase.com/,1,both_hcp_and_patient_found,FOR PATIENTS,2026-05-14T21:28:15+00:00,high,
Activella,Estradiol/norethindrone acetate,Amneal Pharmaceuticals LLC,prescription drug,NDA,NDA020907,"TABLET, FILM COATED",ORAL,FDA NDC Directory active human prescription listing,high,yes,,0,,0,no_branded_site_found_after_manual_review_pass,,2026-07-08,manual_review_no_url_found,No official branded HCP or patient URL found by direct URL probes plus Bing query review.
