brand_name,generic_name,manufacturer_or_labeler,review_bucket,notes
Acetaminophen,Acetaminophen,"B. Braun Medical Inc.; Fresenius Kabi USA, LLC; Hikma Pharmaceuticals USA Inc.; ProPharma Distribution",generic_like_or_nonbranded_scope_review,Proprietary and generic/proper names overlap; not searched as a likely branded product website miss.
Acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC",no_candidate_found,
Actonel,Risedronate Sodium,"Allergan, Inc.",no_candidate_found,
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",no_candidate_found,
ACD Blood-Pack Units (PL 146 PLASTIC),Anticoagulant Citrate Dextrose (ACD),"Fenwal, Inc.",no_candidate_found,
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",possible_missed_site,7 candidate(s) found.
Actemra ACTPen,tocilizumab,"Genentech, Inc.",no_candidate_found,
Activella,Estradiol/norethindrone acetate,Amneal Pharmaceuticals LLC,no_candidate_found,
Actos,pioglitazone,"Takeda Pharmaceuticals America, Inc.",no_candidate_found,
ACULAR LS,Ketorolac Tromethamine,"Allergan, Inc.",no_candidate_found,
Acular,Ketorolac Tromethamine,"Allergan, Inc.",no_candidate_found,
ADSOL RED CELL PRESERVATION,anticoagulant citrate phosphate dextrose (cpd) and adsol preservation,"Fenwal, Inc.",no_candidate_found,
Additive Formula 3,"Dextrose Monohydrate, TRISODIUM CITRATE DIHYDRATE, Sodium Chloride, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, Citric Acid Monohydrate, and Adenine","Terumo BCT, Ltd",no_candidate_found,
Adrenalin Vials,epinephrine,Sina Health Inc,no_candidate_found,
ACUVAIL,ketorolac tromethamine,"Allergan, Inc.",no_candidate_found,
AdreView,Iobenguane I-123,Medi-Physics Inc.,no_candidate_found,
ADSOL RED CELL PRESERVATION,anticoagulant citrate phosphate dextrose (cpd) and adsol preservation kit,"Fenwal, Inc.",no_candidate_found,
AGGRASTAT,TIROFIBAN,Medicure International Inc,no_candidate_found,
ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Fenwal, Inc.",no_candidate_found,
AHZANTIVE,aflibercept-mrbb,"Valorum Biologics, LLC",no_candidate_found,
ADVAIR HFA,fluticasone propionate and salmeterol xinafoate,A-S Medication Solutions; GlaxoSmithKline LLC,no_candidate_found,
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.",no_candidate_found,
"Air, Compressed","Nitrogen, Oxygen",Messer Gas Puerto Rico Inc,no_candidate_found,
Agrylin,anagrelide hydrochloride,"Takeda Pharmaceuticals America, Inc.",no_candidate_found,
Akovaz,ephedrine sulfate,"Exela Pharma Sciences, LLC",no_candidate_found,
Allopurinol,Allopurinol,"Actavis Pharma, Inc.; Aphena Pharma Solutions - Tennessee, LLC; Bryant Ranch Prepack; Coupler LLC; Proficient Rx LP; Rising Pharma Holdings, Inc.",generic_like_or_nonbranded_scope_review,Proprietary and generic/proper names overlap; not searched as a likely branded product website miss.
AKTEN,LIDOCAINE HYDROCHLORIDE ANHYDROUS,Thea Pharma Inc.,no_candidate_found,
ALBENZA,albendazole,Amneal Pharmaceuticals LLC,no_candidate_found,
ALBUMINEX,Albumin Human,BPL,no_candidate_found,
