brand_name,generic_name,manufacturer_or_labeler,candidate_audience,candidate_url,status,content_type,evidence,review_action
ALPHAGAN P,brimonidine tartrate,"Allergan, Inc.",hcp,https://www.alphaganp.com/hcp,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
ALPHAGAN P,brimonidine tartrate,"Allergan, Inc.",patient,https://www.alphaganp.com/,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
ALYFTREK,"vanzacaftor, tezacaftor, and deutivacaftor",Vertex Pharmaceuticals Incorporated,hcp,https://alyftrekhcp.com/,403,text/html,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
ALYFTREK,"vanzacaftor, tezacaftor, and deutivacaftor",Vertex Pharmaceuticals Incorporated,patient,https://alyftrek.com/,403,text/html,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
APADAZ,Benzhydrocodone and Acetaminophen,"Zevra Therapeutics, Inc.",patient,https://apadaz.com/,403,text/html; charset=iso-8859-1,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
BASAGLAR,Insulin glargine,Eli Lilly and Company,hcp,https://insulins.lilly.com/basaglar,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
BASAGLAR,Insulin glargine,Eli Lilly and Company,patient,https://insulins.lilly.com/basaglar,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Cetrotide,cetrorelix acetate,"EMD Serono, Inc.",hcp,https://hcp.cetrotide.com/,403,application/xml,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Cialis,Tadalafil,Eli Lilly and Company,hcp,https://cialispro.com/,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Cialis,Tadalafil,Eli Lilly and Company,patient,https://www.lilly.com/products/historic-products,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Climara,Estradiol,Bayer HealthCare Pharmaceuticals Inc.,hcp,https://www.climarapro.com/,403,text/html,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Climara Pro,Estradiol and Levonorgestrel,Bayer HealthCare Pharmaceuticals Inc.,hcp,https://hcp.climarapro.com/,403,text/html,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Climara Pro,Estradiol and Levonorgestrel,Bayer HealthCare Pharmaceuticals Inc.,patient,https://www.climarapro.com/,403,text/html,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
COMBIGAN,"brimonidine tartrate, timolol maleate","Allergan, Inc.",hcp,https://www.combigan.com/hcp,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
COMBIGAN,"brimonidine tartrate, timolol maleate","Allergan, Inc.",patient,https://www.combigan.com/,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Crinone,progesterone,"Allergan, Inc.",hcp,https://hcp.crinone.com/,403,application/xml,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
CYRAMZA,ramucirumab,Eli Lilly and Company,hcp,https://cyramza.lilly.com/,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
