brand_name,generic_name,manufacturer_or_labeler,candidate_audience,candidate_url,result_title,query,confidence,evidence_basis
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://www.acdd.com/,ACD Distribution | Leading Toy & Game Distributor,ACD-A healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://www.acdd.com/login/,Login - ACD Distribution | Leading Toy & Game Distributor,ACD-A healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://acdsee.com/,"ACDSee Photo Studio Software | Photo Editing, Photo Management, …",ACD-A healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://creatineinfo.org/,ACD Home | Association of Creatine Deficiencies - Association for ...,ACD-A healthcare professionals,medium,title has brand; ; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://www.acdsee.com/en/products/acdsee-free/,ACDSee Free | A Better Way to Browse,ACD-A healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://www.acdc.com/tour/,Tour Dates Archive - AC/DC Official Site,ACD-A healthcare professionals,medium,url has brand; ; audience signal: hcp
ACD-A,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",hcp,https://www.linkedin.com/company/acd-distribution,"ACD Distribution, LLC - LinkedIn",ACD-A healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
Marcaine,bupivacine hydrochloride,"Henry Schein, Inc.",patient,https://www.septodontusa.com/product/pain-management-marcaine/,Marcaine 0.5% – Long-lasting Local Anesthetic for Adults - Septodont,Marcaine official website,high,title has brand; url has brand; ; audience signal: patient
Mestinon,pyridostigmine bromide,"Bausch Health US, LLC",patient,https://my.clevelandclinic.org/health/drugs/18042-pyridostigmine-tablets-regular-release,Pyridostigmine ( Mestinon ): Uses & Side Effects - Cleveland Clinic,Mestinon official website,medium,title has brand; ; ; audience signal: patient
Mestinon,pyridostigmine bromide,"Bausch Health US, LLC",patient,https://myasthenia-gravis.com/living/starting-mestinon-expectations,Starting Mestinon for MG: What to Expect - Myasthenia-Gravis.com,Mestinon official website,high,title has brand; url has brand; ; audience signal: patient
Mestinon,pyridostigmine bromide,"Bausch Health US, LLC",patient,https://pi.bauschhealth.com/globalassets/BHC/PI/Mestinon-PI.pdf,MESTINON - pyridostigmine bromide solution MESTINON,Mestinon official website,high,title has brand; url has brand; known manufacturer/brand-owner host; audience signal: patient
Vasostrict,Vasopressin,"Medical Purchasin Solutions, LLC; Medical Purchasing Solutions, LLC; Par Health USA, LLC",hcp,https://www.endodocuments.com/documents/Vasostrict/Vasostrict_PI.pdf,Vasostrict - endodocuments.com,Vasostrict healthcare professionals,high,title has brand; url has brand; known manufacturer/brand-owner host; audience signal: hcp
Vasostrict,Vasopressin,"Medical Purchasin Solutions, LLC; Medical Purchasing Solutions, LLC; Par Health USA, LLC",hcp,https://www.medicine.com/drug/vasostrict,"Vasostrict : Uses, Taking, Side Effects, Warnings - Medicine.com",Vasostrict healthcare professionals,high,title has brand; url has brand; ; audience signal: hcp
