brand_name,generic_name,manufacturer_or_labeler,candidate_audience,candidate_url,status,content_type,evidence,review_action
Antara,fenofibrate,"Lupin Pharmaceuticals, Inc.",patient,https://antara.com/,200,text/html;charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
Antara,fenofibrate,"Lupin Pharmaceuticals, Inc.",patient,https://antara.com/,200,text/html;charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",hcp,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",hcp,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Actoplus Met,pioglitazone and metformin hydrochloride,"Takeda Pharmaceuticals America, Inc.",patient,https://www.takeda.com/en-us/about/products/,200,text/html; charset=utf-8,patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AmBisome,amphotericin B,"Astellas Pharma US, Inc.",patient,https://www.ambisome.com/,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AmBisome,amphotericin B,"Astellas Pharma US, Inc.",patient,https://ambisome.com/,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
ALBUMINEX,Albumin Human,BPL,patient,https://www.albuminex.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
ALBUMINEX,Albumin Human,BPL,patient,https://www.albuminex.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Alimta,Pemetrexed disodium,Eli Lilly and Company,patient,https://www.lilly.com/medicines/current,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
Alimta,Pemetrexed disodium,Eli Lilly and Company,hcp,https://www.lilly.com/medicines/current,403,text/html; charset=UTF-8,direct branded domain blocks simple HTTP,verify in browser before merging; candidate identified from direct brand-domain probe
