unresolved_brand_name,unresolved_generic_name,unresolved_manufacturer_or_labeler,matched_brand_name,matched_generic_name,matched_manufacturer_or_labeler,suggested_hcp_url,suggested_patient_url,basis,review_action
Actemra ACTPen,tocilizumab,"Genentech, Inc.",ACTEMRA,tocilizumab,"Genentech, Inc.",https://www.actemrahcp.com/ra.html,https://www.actemra.com/,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
Adrenalin Vials,epinephrine,Sina Health Inc,Adrenalin,epinephrine,"Medical Purchasing Solutions, LLC; Par Health USA, LLC; ProPharma Distribution; REMEDYREPACK INC.",https://www.adrenalinpro.com/,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
ADVAIR HFA,fluticasone propionate and salmeterol xinafoate,A-S Medication Solutions; GlaxoSmithKline LLC,ADVAIR DISKUS,fluticasone propionate and salmeterol,A-S Medication Solutions,https://gskpro.com/content/dam/global/hcpportal/en_US/Prescribing_Information/Advair_Diskus/pdf/ADVAIR-DISKUS-PI-PIL-IFU.PDF,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
BICILLIN C-R 900/300,penicillin G benzathine and penicillin G procaine,Pfizer Laboratories Div Pfizer Inc,BICILLIN L-A,penicillin G benzathine,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,https://bicillinla.pfizerpro.com/,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
BICILLIN CR,penicillin G benzathine and penicillin G procaine,Pfizer Laboratories Div Pfizer Inc,BICILLIN L-A,penicillin G benzathine,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,https://bicillinla.pfizerpro.com/,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
Carnitor SF,levocarnitine,"Leadiant Biosciences, Inc.",CARNITOR,levocarnitine,"Leadiant Biosciences, Inc.",https://leadiant.com/products/carnitor/,https://leadiant.com/products/carnitor/,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
Cathflo Activase,Alteplase,"Genentech, Inc.",Activase,Alteplase,"Genentech, Inc.",https://www.activase.com/,https://www.activase.com/,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
COMBOGESIC IV,acetaminophen and ibuprofen injection,Hikma Pharmaceuticals USA Inc.,Combogesic,ACETAMINOPHEN and IBUPROFEN,"AFT Pharmaceuticals US, Inc.; Hikma Pharmaceuticals USA Inc; Preferred Pharmaceuticals Inc.",https://www.hugedomains.com/domain_profile.cfm?d=combogesichcp.com,https://combogesic.com/,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
Darzalex IV,Daratumumab,"Janssen Biotech, Inc.",Darzalex Faspro,daratumumab and hyaluronidase-fihj (human recombinant),"Janssen Biotech, Inc.",https://www.darzalexhcp.com/,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
DEFINITY RT,perflutren,"Lantheus Medical Imaging, Inc.",Definity,perflutren,"Lantheus Medical Imaging, Inc.",https://definityimaging.com/,,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
Detrol,tolterodine tartrate,Viatris Specialty LLC,Detrol LA,tolterodine tartrate,Viatris Specialty LLC,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=d7274947-4f88-47ee-a39f-bd5ac46fcf8d&type=display,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=d7274947-4f88-47ee-a39f-bd5ac46fcf8d&type=display,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
EGRIFTA SV,tesamorelin,Theratechnologies Inc.,EGRIFTA WR,tesamorelin,Theratechnologies Inc.,https://hcp.egriftawr.com/,https://www.egriftawr.com/,base-brand or same-generic/manufacturer sibling already has branded URL,verify whether unresolved row should inherit canonical brand URL or remain a formulation-specific no-site row
