"brand_name","audience","url","generic_name","company","source_method","evidence"
"AKEEGA","hcp","https://www.akeegahcp.com/","NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE","Janssen Biotech, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"ALBUMINEX","patient","https://www.albuminex.com/","Albumin Human","BPL","nonblocked_followup_verified","PI/ISI present"
"AmBisome","hcp","https://ambisome.com/","amphotericin B","Astellas Pharma US, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"AMONDYS 45","patient","https://www.amondys45.com/","casimersen","Sarepta Therapeutics, Inc.","nonblocked_followup_verified","FOR PATIENTS; PATIENT SUPPORT; PATIENT RESOURCES; TALK TO YOUR DOCTOR; PI/ISI present"
"Annovera","hcp","https://www.annovera.com/hcp/","segesterone acetate and ethinyl estradiol","Mayne Pharma","nonblocked_followup_verified","nonblocked_followup_verified"
"Annovera","patient","https://www.annovera.com/","segesterone acetate and ethinyl estradiol","Mayne Pharma","nonblocked_followup_verified","PI/ISI present"
"Asclera","patient","https://asclera.com/","POLIDOCANOL","Methapharm, Inc","nonblocked_followup_verified","PI/ISI present"
"AURLUMYN","patient","https://aurlumyn.com/","ILOPROST","BTG International Inc","nonblocked_followup_verified","PI/ISI present"
"AVTOZMA","hcp","https://www.avtozma.com/hcp/","tocilizumab","CELLTRION USA, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"AVTOZMA","patient","https://www.avtozma.com/","tocilizumab","CELLTRION USA, Inc.","nonblocked_followup_verified","PI/ISI present"
"AZASITE","patient","https://azasite.com/","azithromycin monohydrate","Thea Pharma Inc.","nonblocked_followup_verified","PI/ISI present"
"Balcoltra","patient","https://balcoltra.com/","levonorgestrel and ethinyl estradiol","Avion Pharmaceuticals","nonblocked_followup_verified","TALK TO YOUR DOCTOR; PI/ISI present"
"BESREMi","hcp","https://www.besremihcp.com/","ROPEGINTERFERON ALFA-2B","PharmaEssentia USA","nonblocked_followup_verified","nonblocked_followup_verified"
"BONJESTA","hcp","https://hcp.bonjesta.com/","doxylamine succinate and pyridoxine hydrochloride","Duchesnay USA, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"BONJESTA","patient","https://bonjesta.com/","doxylamine succinate and pyridoxine hydrochloride","Duchesnay USA, Inc.","nonblocked_followup_verified","FOR PATIENTS; SAVINGS CARD; COPAY; TALK TO YOUR DOCTOR; PI/ISI present"
"BRENZAVVY","patient","https://brenzavvy.com/","Bexagliflozin","TheracosBio, LLC","nonblocked_followup_verified","FOR PATIENTS; PI/ISI present"
"Cleviprex","hcp","https://cleviprex.com/","clevipidine","Chiesi USA, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"Cyanokit","patient","https://cyanokit.com/","Hydroxocobalamin","BTG INTERNATIONAL INC.","nonblocked_followup_verified","PI/ISI present"
"CYCLOSET","hcp","https://cycloset.com/","bromocriptine mesylate","Avvisto Therapeutics LLC","nonblocked_followup_verified","nonblocked_followup_verified"
"DEFENCATH","hcp","https://www.defencath.com/","taurolidine and heparin","CorMedix Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"DEXTENZA","hcp","https://www.dextenza.com/","dexamethasone","Ocular Therapeutix, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"DRIZALMA SPRINKLE","hcp","https://drizalmasprinkle.com/","Duloxetine","SUN PHARMACEUTICAL INDUSTRIES, INC.","nonblocked_followup_verified","nonblocked_followup_verified"
"Ebanga","patient","https://www.ebanga.com/","Ansuvimab","Emergent Manufacturing Operations Baltimore, LLC; Ridgeback Biotherapeutics, LP","nonblocked_followup_verified","PI/ISI present"
"Emerphed","hcp","https://www.emerphed.com/","Ephedrine Sulfate","Nexus Pharamaceuticals Inc.; Nexus Pharmaceuticals, LLC","nonblocked_followup_verified","nonblocked_followup_verified"
"EMRELIS","hcp","https://www.emrelishcp.com/","Telisotuzumab Vedotin","AbbVie Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"EMRELIS","patient","https://www.emrelis.com/","Telisotuzumab Vedotin","AbbVie Inc.","nonblocked_followup_verified","PATIENT SUPPORT; SAVINGS CARD; CO-PAY; TALK TO YOUR DOCTOR; PI/ISI present"
"Enbumyst","hcp","https://enbumyst.com/","bumetanide","Corstasis USA LLC","nonblocked_followup_verified","nonblocked_followup_verified"
"ENSACOVE","hcp","https://www.ensacove.com/","ensartinib","Xcovery Holdings, Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"EYLEA HD","patient","https://www.eyleahd.com/","aflibercept","Regeneron Pharmaceuticals, Inc","nonblocked_followup_verified","standalone branded domain"
"FEMLYV","patient","https://femlyv.com/","Norethindrone Acetate/Ethinyl Estradiol","Millicent US, Inc.","nonblocked_followup_verified","PI/ISI present"
"Femring","patient","https://femring.com/","estradiol acetate","Millicent US, Inc.","nonblocked_followup_verified","PI/ISI present"
"FLOVENT","patient","https://www.flovent.com/","fluticasone propionate","A-S Medication Solutions; Proficient Rx LP","nonblocked_followup_verified","standalone branded domain"
"FORZINITY","patient","https://forzinity.com/","Elamipretide Hydrochloride","Stealth Biotherapeutics Inc.","nonblocked_followup_verified","PI/ISI present"
"HEMICLOR","hcp","https://hemiclor.com/","chlorthalidone","Ingenus Pharmaceuticals, LLC","nonblocked_followup_verified","nonblocked_followup_verified"
"HERCESSI","hcp","https://www.hercessihcp.com/","Trastuzumab-strf","Accord BioPharma Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"Idhifa","hcp","https://www.idhifapro.com/","enasidenib mesylate","Celgene Corporation","nonblocked_followup_verified","nonblocked_followup_verified"
"Idhifa","patient","https://www.idhifa.com/","enasidenib mesylate","Celgene Corporation","nonblocked_followup_verified","PI/ISI present"
"iDose TR","hcp","https://www.idosetrhcp.com/","Travoprost Intracameral","Glaukos Corporation","nonblocked_followup_verified","nonblocked_followup_verified"
"iDose TR","patient","https://www.idosetr.com/","Travoprost Intracameral","Glaukos Corporation","nonblocked_followup_verified","ASK YOUR DOCTOR; PI/ISI present"
"IDVYNSO","patient","https://www.idvynso.com/","Doravirine, Islatravir","Merck Sharp & Dohme LLC","nonblocked_followup_verified","PI/ISI present"
"INFASURF","hcp","https://infasurf.com/","calfactant","ONY Biotech Inc.","nonblocked_followup_verified","nonblocked_followup_verified"
"INFeD","patient","https://www.infed.com/","Iron Dextran","Allergan, Inc.; Henry Schein, Inc.","nonblocked_followup_verified","FOR PATIENTS; PI/ISI present"
"INOMAX","patient","https://www.inomax.com/","nitric oxide","INO Therapeutics LLC","nonblocked_followup_verified","PI/ISI present"
"INVEGA","patient","https://www.injectionsforschizophrenia.com/","paliperidone","Janssen Pharmaceuticals, Inc.","nonblocked_followup_verified","standalone branded domain"
