brand_name,generic_name,manufacturer_or_labeler,candidate_audience,candidate_url,status,content_type,evidence,review_action,accepted,accepted_audience,accepted_url,verification_status,verification_evidence,page_title,reject_reason
AGGRASTAT,TIROFIBAN,Medicure International Inc,patient,https://www.aggrastathdb.com/?utm_source=Redirect&utm_medium=Domain&utm_campaign=Aggrastat.com,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,no,,,fetched,,Rapid Platelet Inhibition | Aggrastat® (tirofiban hydrochloride) Injection,patient/mixed candidate lacks patient or product-site evidence
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.",hcp,https://www.akeegahcp.com/,200,text/html,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,hcp,https://www.akeegahcp.com/,fetched,FOR HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION,AKEEGA® (niraparib/abiraterone acetate) Healthcare Professional Website,
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.",patient,https://www.akeega.com/,200,text/html,visible brand text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,no,,,fetched,,,patient/mixed candidate lacks patient or product-site evidence
AKTEN,LIDOCAINE HYDROCHLORIDE ANHYDROUS,Thea Pharma Inc.,patient,https://akten.com/,200,text/html; charset=UTF-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe,no,,,fetched,,akten.com - This website is for sale! - akten Resources and Information.,patient/mixed candidate lacks patient or product-site evidence
ALBUMINEX,Albumin Human,BPL,patient,https://www.albuminex.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,patient,https://www.albuminex.com/,fetched,PI/ISI present,Albuminex Home,
AmBisome,amphotericin B,"Astellas Pharma US, Inc.",patient,https://ambisome.com/,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,hcp,https://ambisome.com/,fetched,FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION,AmBisome&#174; | AmBisome (amphotericin B) liposome for injection,
AMONDYS 45,casimersen,"Sarepta Therapeutics, Inc.",patient,https://www.amondys45.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,patient,https://www.amondys45.com/,fetched,FOR PATIENTS; PATIENT SUPPORT; PATIENT RESOURCES; TALK TO YOUR DOCTOR; PI/ISI present,AMONDYS 45 (casimersen),
ANAFRANIL,clomipramine hydrochloride,SpecGx LLC,patient,https://anafranil.com/,200,text/html; charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe,no,,,fetched,,anafranil.com - For Sale,patient/mixed candidate lacks patient or product-site evidence
Annovera,segesterone acetate and ethinyl estradiol,Mayne Pharma,hcp,https://www.annovera.com/hcp/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,hcp,https://www.annovera.com/hcp/,fetched,PRESCRIBING INFORMATION,ANNOVERA® Long-Lasting Contraceptive Ring Your Patients,
Annovera,segesterone acetate and ethinyl estradiol,Mayne Pharma,patient,https://www.annovera.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe,yes,patient,https://www.annovera.com/,fetched,PI/ISI present,"ANNOVERA® Vaginal Birth Control Ring | One Ring, One Year, No Daily Routine",
Antara,fenofibrate,"Lupin Pharmaceuticals, Inc.",patient,https://antara.com/,200,text/html;charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe,no,,,fetched,,antara.com,patient/mixed candidate lacks patient or product-site evidence
