"brand_name","accepted_audience","accepted_url","page_title","verification_evidence"
"AKEEGA","hcp","https://www.akeegahcp.com/","AKEEGA? (niraparib/abiraterone acetate) Healthcare Professional Website","FOR HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"ALBUMINEX","patient","https://www.albuminex.com/","Albuminex Home","PI/ISI present"
"AmBisome","hcp","https://ambisome.com/","AmBisome&#174; | AmBisome (amphotericin B) liposome for injection","FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"AMONDYS 45","patient","https://www.amondys45.com/","AMONDYS 45 (casimersen)","FOR PATIENTS; PATIENT SUPPORT; PATIENT RESOURCES; TALK TO YOUR DOCTOR; PI/ISI present"
"Annovera","hcp","https://www.annovera.com/hcp/","ANNOVERA? Long-Lasting Contraceptive Ring Your Patients","PRESCRIBING INFORMATION"
"Annovera","patient","https://www.annovera.com/","ANNOVERA? Vaginal Birth Control Ring | One Ring, One Year, No Daily Routine","PI/ISI present"
"Asclera","patient","https://asclera.com/","Asclera","PI/ISI present"
"AURLUMYN","patient","https://aurlumyn.com/","AURLUMYN? (iloprost) Injection | Severe frostbite in adults","PI/ISI present"
"AVTOZMA","hcp","https://www.avtozma.com/hcp/","AVTOZMA? (tocilizumab) | Official HCP Website","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP"
"AVTOZMA","patient","https://www.avtozma.com/","AVTOZMA? (tocilizumab) | Official Patient Website","PI/ISI present"
"AZASITE","patient","https://azasite.com/","AzaSite (azithromycin ophthalmic solution) 1%","PI/ISI present"
"Balcoltra","patient","https://balcoltra.com/","Low Dose Birth Control Pills | Balcoltra?","TALK TO YOUR DOCTOR; PI/ISI present"
"BESREMi","hcp","https://www.besremihcp.com/","BESREMi? (ropeginterferon alfa?2b?njft) ? Official HCP Site","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP"
"BESREMi","hcp","https://www.besremi.com/","Polycythemia Vera Treatment | BESREMi? (ropeginterferon alfa-2b-njft)","FOR HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"BONJESTA","hcp","https://hcp.bonjesta.com/","Home | Bonjesta - Healthcare Professional","FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; HEALTHCARE PROVIDERS; PRESCRIBING INFORMATION"
"BONJESTA","patient","https://bonjesta.com/","Home | Bonjesta","FOR PATIENTS; SAVINGS CARD; COPAY; TALK TO YOUR DOCTOR; PI/ISI present"
"BRENZAVVY","patient","https://brenzavvy.com/","For Patients - Brenzavvy","FOR PATIENTS; PI/ISI present"
"Cardiolite","patient","https://www.cardiolite.com/","CardioLite? Tc-99m Sestamibi | Cardiac SPECT Imaging Tracer | SHINE","PI/ISI present"
"Cleviprex","patient","https://cleviprex.com/","Titratable Control of Blood Pressure Reduction | CLEVIPREX? (clevidipine) HCP","FOR PATIENTS; PI/ISI present"
"Cyanokit","patient","https://cyanokit.com/","CYANOKIT&#xAE; (hydroxocobalamin) | Cyanide Poisoning Treatment","PI/ISI present"
"CYCLOSET","hcp","https://cycloset.com/","CYCLOSET? - Bromocriptine Mesylate Tablets for Type 2 Diabetes","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"DEFENCATH","hcp","https://www.defencath.com/","DefenCath Taurolidine and Heparin CLS | Official Website for HCPs","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP"
"DEXTENZA","hcp","https://www.dextenza.com/","Home - DEXTENZA","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"DRIZALMA SPRINKLE","hcp","https://drizalmasprinkle.com/","Drizalma Sprinkle? (duloxetine delayed-release capsules) | HCP Site","HCP"
"Ebanga","patient","https://www.ebanga.com/","ebanga&trade;","PI/ISI present"
"Emerphed","hcp","https://www.emerphed.com/","Home - EMERPHED?","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"EMRELIS","hcp","https://www.emrelishcp.com/","EMRELIS? (telisotuzumab-vedotin) - Official HCP Site","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP"
"EMRELIS","patient","https://www.emrelis.com/","EMRELIS? (telisotuzumab-vedotin) ? Official Patient Site","PATIENT SUPPORT; SAVINGS CARD; CO-PAY; TALK TO YOUR DOCTOR; PI/ISI present"
"Enbumyst","hcp","https://enbumyst.com/","ENBUMYST (bumetanide nasal spray) |","FOR US HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION"
"ENSACOVE","hcp","https://www.ensacove.com/","Ensacove? (ensartinib) HCP Website | Treatment & Safety Info","FOR U.S. HEALTHCARE PROFESSIONALS; HEALTHCARE PROFESSIONALS; PRESCRIBING INFORMATION; HCP"
"EYLEA HD","patient","https://www.eyleahd.com/","EYLEA? HD (aflibercept) Injection 8 mg","standalone branded domain"
"FEMLYV","patient","https://femlyv.com/","FEMLYV? | First Orally Disintegrating Tablet -Birth Control","PI/ISI present"
