brand_name,brand_key,brand_slug,generic_name,labeler,product_type,marketing_category,application_number,dosage_form,route,start_marketing_date,end_marketing_date,listing_expiration_date,pharm_classes,source_basis,source_confidence,uncertainty_notes,labelers_all,marketing_categories_all,application_numbers_all,dosage_forms_all,routes_all,orange_book_innovator_rx_match
0.9% SODIUM CHLORIDE,0 9 SODIUM CHLORIDE,09sodiumchloride,0.9% SODIUM CHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst",HUMAN PRESCRIPTION DRUG,NDA,NDA018803,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,20190718,,20261231,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"HF Acquisition Co LLC, DBA HealthFirst",NDA,NDA016366; NDA018803,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS; INTRAVENOUS,no
1ST MEDXPATCH,1ST MEDXPATCH,1stmedxpatch,"LIDOCAINE, CAPSAICIN, MENTHOL, METHYL SALICYLATE",1ST MEDX LLC,HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,,PATCH,TOPICAL,20180315,,20271231,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,1ST MEDX LLC,UNAPPROVED DRUG OTHER,,PATCH,TOPICAL,no
25% Dextrose Infant,25 DEXTROSE INFANT,25dextroseinfant,25% Dextrose Infant,"HF Acquisition Co. LLC, DBA Health First",HUMAN PRESCRIPTION DRUG,NDA,NDA019445,"INJECTION, SOLUTION",INTRAVENOUS,20180819,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"HF Acquisition Co. LLC, DBA Health First",NDA,NDA019445,"INJECTION, SOLUTION",INTRAVENOUS,no
40% Oxygen/Nitrogen Mix,40 OXYGEN NITROGEN MIX,40oxygennitrogenmix,40% Oxygen/Nitrogen Mix,NexAir LLC,HUMAN PRESCRIPTION DRUG,NDA,NDA205865,GAS,RESPIRATORY (INHALATION),20200409,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,NexAir LLC,NDA,NDA205865,GAS,RESPIRATORY (INHALATION),no
50% DEXTROSE,50 DEXTROSE,50dextrose,50% DEXTROSE,"HF Acquisition Co LLC, DBA HealthFirst",HUMAN PRESCRIPTION DRUG,NDA,NDA019445,"INJECTION, SOLUTION",INTRAVENOUS,20180919,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"HF Acquisition Co LLC, DBA HealthFirst",NDA,NDA019445,"INJECTION, SOLUTION",INTRAVENOUS,no
60 Second Fluoride Gel,60 SECOND FLUORIDE GEL,60secondfluoridegel,Sodium Fluoride,"Darby Dental Supply, LLC",HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,,GEL,DENTAL,20190801,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"Darby Dental Supply, LLC",UNAPPROVED DRUG OTHER,,GEL,DENTAL,no
60 Second Taste Strawberry,60 SECOND TASTE STRAWBERRY,60secondtastestrawberry,Topical APF Fluoride Gel,"Pascal Company, Inc.",HUMAN PRESCRIPTION DRUG,UNAPPROVED DRUG OTHER,,GEL,BUCCAL; DENTAL; TOPICAL,19880401,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"Pascal Company, Inc.",UNAPPROVED DRUG OTHER,,GEL,BUCCAL; DENTAL; TOPICAL,no
AAGYLUR,AAGYLUR,aagylur,Penicillamine,Cycle Pharmaceuticals Ltd.,HUMAN PRESCRIPTION DRUG,ANDA,ANDA213293,CAPSULE,ORAL,20250925,,20261231,Antirheumatic Agent [EPC],FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,Cycle Pharmaceuticals Ltd.,ANDA,ANDA213293,CAPSULE,ORAL,no
ABIGALE,ABIGALE,abigale,estradiol and norethindrone acetate,Xiromed LLC,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207261,TABLET,ORAL,20250129,,20261231,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,Xiromed LLC,ANDA,ANDA207261,TABLET,ORAL,no
ABIGALE LO,ABIGALE LO,abigalelo,estradiol and norethindrone acetate,Xiromed LLC,HUMAN PRESCRIPTION DRUG,ANDA,ANDA207261,TABLET,ORAL,20250129,,20261231,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,Xiromed LLC,ANDA,ANDA207261,TABLET,ORAL,no
ABILIFY,ABILIFY,abilify,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA021436,TABLET,ORAL,20021115,,20261231,Atypical Antipsychotic [EPC],FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc.",NDA,NDA021436,TABLET,ORAL,yes
Abilify Asimtufii,ABILIFY ASIMTUFII,abilifyasimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",HUMAN PRESCRIPTION DRUG,NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,20230427,,20261231,Atypical Antipsychotic [EPC],FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc",NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,yes
ABILIFY MAINTENA,ABILIFY MAINTENA,abilifymaintena,aripiprazole,"Otsuka America Pharmaceutical, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA202971,KIT,,20141008,,20271231,,FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc.",NDA,NDA202971,KIT,,no
ABIRATERONE ACETATE,ABIRATERONE ACETATE,abirateroneacetate,abiraterone acetate,"Golden State Medical Supply, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA210308,TABLET,ORAL,20180522,,20271231,"Cytochrome P450 17A1 Inhibitor [EPC], Cytochrome P450 17A1 Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"Golden State Medical Supply, Inc.",NDA,NDA210308,TABLET,ORAL,no
Abirtega,ABIRTEGA,abirtega,Abiraterone acetate,"CivicaScript, LLC",HUMAN PRESCRIPTION DRUG,ANDA,ANDA208339,TABLET,ORAL; ORAL,20181123,,20261231,"Cytochrome P450 17A1 Inhibitor [EPC], Cytochrome P450 17A1 Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA]",FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,"CivicaScript, LLC",ANDA,ANDA208339,TABLET,ORAL; ORAL,no
ABRAXANE,ABRAXANE,abraxane,Paclitaxel,"Abraxis BioScience, LLC",HUMAN PRESCRIPTION DRUG,NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,20050210,,20271231,"Microtubule Inhibition [PE], Microtubule Inhibitor [EPC]",FDA NDC Directory active human prescription listing,high,,"Abraxis BioScience, LLC",NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,yes
ABRILADA,ABRILADA,abrilada,adalimumab-afzb,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,BLA,BLA761118,KIT,,20231214,,20271231,,FDA NDC Directory active human prescription listing,high,,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,BLA,BLA761118,KIT,,no
Absinthium,ABSINTHIUM,absinthium,WORMWOOD,Boiron,HUMAN PRESCRIPTION DRUG,UNAPPROVED HOMEOPATHIC,,PELLET,ORAL,19830303,,20261231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.,Boiron,UNAPPROVED HOMEOPATHIC,,PELLET,ORAL,no
Absorica,ABSORICA,absorica,isotretinoin,"Sun Pharmaceutical Industries, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA021951,CAPSULE,ORAL,20120608,,20271231,"Retinoid [EPC], Retinoids [CS]",FDA NDC Directory active human prescription listing,high,,"Sun Pharmaceutical Industries, Inc.",NDA,NDA021951,CAPSULE,ORAL,yes
Absorica LD,ABSORICA LD,absoricald,isotretinoin,"Sun Pharmaceutical Industries, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA211913,CAPSULE,ORAL,20191120,,20271231,"Retinoid [EPC], Retinoids [CS]",FDA NDC Directory active human prescription listing,high,,"Sun Pharmaceutical Industries, Inc.",NDA,NDA211913,CAPSULE,ORAL,yes
Acanya,ACANYA,acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC",HUMAN PRESCRIPTION DRUG,NDA,NDA050819,GEL,TOPICAL,20100726,,20261231,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS]",FDA NDC Directory active human prescription listing,high,,"Bausch Health US, LLC",NDA,NDA050819,GEL,TOPICAL,no
