brand_name,brand_key,brand_slug,generic_name,labeler,product_type,marketing_category,application_number,dosage_form,route,start_marketing_date,end_marketing_date,listing_expiration_date,pharm_classes,source_basis,source_confidence,uncertainty_notes,labelers_all,marketing_categories_all,application_numbers_all,dosage_forms_all,routes_all,orange_book_innovator_rx_match
ABILIFY,ABILIFY,abilify,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA021436,TABLET,ORAL,20021115,,20261231,Atypical Antipsychotic [EPC],FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc.",NDA,NDA021436,TABLET,ORAL,yes
Abilify Asimtufii,ABILIFY ASIMTUFII,abilifyasimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",HUMAN PRESCRIPTION DRUG,NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,20230427,,20261231,Atypical Antipsychotic [EPC],FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc",NDA,NDA217006,"INJECTION, SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,yes
ABILIFY MAINTENA,ABILIFY MAINTENA,abilifymaintena,aripiprazole,"Otsuka America Pharmaceutical, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA202971,KIT,,20141008,,20271231,,FDA NDC Directory active human prescription listing,high,,"Otsuka America Pharmaceutical, Inc.",NDA,NDA202971,KIT,,no
ABRAXANE,ABRAXANE,abraxane,Paclitaxel,"Abraxis BioScience, LLC",HUMAN PRESCRIPTION DRUG,NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,20050210,,20271231,"Microtubule Inhibition [PE], Microtubule Inhibitor [EPC]",FDA NDC Directory active human prescription listing,high,,"Abraxis BioScience, LLC",NDA,NDA021660,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,yes
ABRILADA,ABRILADA,abrilada,adalimumab-afzb,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,BLA,BLA761118,KIT,,20231214,,20271231,,FDA NDC Directory active human prescription listing,high,,A-S Medication Solutions; Pfizer Laboratories Div Pfizer Inc,BLA,BLA761118,KIT,,no
Absorica,ABSORICA,absorica,isotretinoin,"Sun Pharmaceutical Industries, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA021951,CAPSULE,ORAL,20120608,,20271231,"Retinoid [EPC], Retinoids [CS]",FDA NDC Directory active human prescription listing,high,,"Sun Pharmaceutical Industries, Inc.",NDA,NDA021951,CAPSULE,ORAL,yes
Absorica LD,ABSORICA LD,absoricald,isotretinoin,"Sun Pharmaceutical Industries, Inc.",HUMAN PRESCRIPTION DRUG,NDA,NDA211913,CAPSULE,ORAL,20191120,,20271231,"Retinoid [EPC], Retinoids [CS]",FDA NDC Directory active human prescription listing,high,,"Sun Pharmaceutical Industries, Inc.",NDA,NDA211913,CAPSULE,ORAL,yes
Acanya,ACANYA,acanya,Clindamycin Phosphate and Benzoyl Peroxide,"Bausch Health US, LLC",HUMAN PRESCRIPTION DRUG,NDA,NDA050819,GEL,TOPICAL,20100726,,20261231,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS]",FDA NDC Directory active human prescription listing,high,,"Bausch Health US, LLC",NDA,NDA050819,GEL,TOPICAL,no
ACCRUFER,ACCRUFER,accrufer,Ferric Maltol,Shield TX (UK) Ltd,HUMAN PRESCRIPTION DRUG,NDA,NDA212320,CAPSULE,ORAL,20210701,,20271231,"Iron [CS], Parenteral Iron Replacement [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",FDA NDC Directory active human prescription listing,high,,Shield TX (UK) Ltd,NDA,NDA212320,CAPSULE,ORAL,yes
ACD-A,ACD A,acda,Anticoagulant Citrate Dextrose Solution Formula A,"Fenwal, Inc.",HUMAN PRESCRIPTION DRUG,NDA,BN160918,SOLUTION,INTRAVENOUS,20070301,,20261231,"Acidifying Activity [MoA], Acidifying Activity [MoA], Anti-coagulant [EPC], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE], Decreased Coagulation Factor Activity [PE]",FDA NDC Directory active human prescription listing,high,,"Fenwal, Inc.",NDA,BN160918,SOLUTION,INTRAVENOUS,no
