brand_name,generic_name,labeler,source_url_checked,final_url,audience_signal,evidence,snippet,discovery_method
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",https://www.abilify.com/,https://www.abilify.com/,hcp+patient,brand name visible; prescribing information; talk to your doctor; important safety information,"ABILIFY® (aripiprazole) | Official Site Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION , including BOXED WARNING , and MEDICATION GUIDE . Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION. Including BOXED WARNING, and MEDICATION GUIDE. ABILIFY is prescribed for Treatment of Schizo",candidate domain/url probe
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",https://abilify.com/,https://www.abilify.com/,hcp+patient,brand name visible; prescribing information; talk to your doctor; important safety information,"ABILIFY® (aripiprazole) | Official Site Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION , including BOXED WARNING , and MEDICATION GUIDE . Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION. Including BOXED WARNING, and MEDICATION GUIDE. ABILIFY is prescribed for Treatment of Schizo",candidate domain/url probe
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",https://www.abilifyhcp.com/,https://www.abilify.com/,hcp+patient,brand name visible; prescribing information; talk to your doctor; important safety information,"ABILIFY® (aripiprazole) | Official Site Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION , including BOXED WARNING , and MEDICATION GUIDE . Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION. Including BOXED WARNING, and MEDICATION GUIDE. ABILIFY is prescribed for Treatment of Schizo",candidate domain/url probe
ABILIFY,ARIPIPRAZOLE,"Otsuka America Pharmaceutical, Inc.",https://abilifyhcp.com/,https://www.abilify.com/,hcp+patient,brand name visible; prescribing information; talk to your doctor; important safety information,"ABILIFY® (aripiprazole) | Official Site Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION , including BOXED WARNING , and MEDICATION GUIDE . Abilify logo Please see U.S. FULL PRESCRIBING INFORMATION. Including BOXED WARNING, and MEDICATION GUIDE. ABILIFY is prescribed for Treatment of Schizo",candidate domain/url probe
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",https://www.abilifyasimtufii.com/,https://www.abilifyasimtufii.com/,hcp,brand name visible; prescribing information; important safety information,"ABILIFY ASIMTUFII® (aripiprazole) and ABILIFY MAINTENA® (aripiprazole) Skip to main content Bipolar I Disorder Bipolar I Disorder Schizophrenia U.S. Prescribing Information, including BOXED WARNING ABILIFY ASIMTUFII ® (aripiprazole) ABILIFY MAINTENA ® (aripiprazole) ABILIFY ® (aripiprazole) Medicati",candidate domain/url probe
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",https://abilifyasimtufii.com/,https://www.abilifyasimtufii.com/,hcp,brand name visible; prescribing information; important safety information,"ABILIFY ASIMTUFII® (aripiprazole) and ABILIFY MAINTENA® (aripiprazole) Skip to main content Bipolar I Disorder Bipolar I Disorder Schizophrenia U.S. Prescribing Information, including BOXED WARNING ABILIFY ASIMTUFII ® (aripiprazole) ABILIFY MAINTENA ® (aripiprazole) ABILIFY ® (aripiprazole) Medicati",candidate domain/url probe
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",https://www.abilifyasimtufiihcp.com/,https://www.abilifyasimtufiihcp.com/,hcp+patient,brand name visible; for u.s. healthcare professionals; for patients; important safety information,"ABILIFY ASIMTUFII® (aripiprazole) for Bipolar I & Schizophrenia Skip to main content THIS SITE IS INTENDED FOR U.S. HEALTHCARE PROFESSIONALS U.S. Full Prescribing Information, including BOXED WARNING ABILIFY MAINTENA ® (aripiprazole) ABILIFY ASIMTUFII ® (aripiprazole) Find Speaker Programs Request a",candidate domain/url probe
Abilify Asimtufii,Aripiprazole,"Otsuka America Pharmaceutical, Inc",https://abilifyasimtufiihcp.com/,https://www.abilifyasimtufiihcp.com/,hcp+patient,brand name visible; for u.s. healthcare professionals; for patients; important safety information,"ABILIFY ASIMTUFII® (aripiprazole) for Bipolar I & Schizophrenia Skip to main content THIS SITE IS INTENDED FOR U.S. HEALTHCARE PROFESSIONALS U.S. Full Prescribing Information, including BOXED WARNING ABILIFY MAINTENA ® (aripiprazole) ABILIFY ASIMTUFII ® (aripiprazole) Find Speaker Programs Request a",candidate domain/url probe
ABILIFY MAINTENA,aripiprazole,"Otsuka America Pharmaceutical, Inc.",https://www.abilifymaintena.com/,https://www.abilifyasimtufii.com/bipolar-I,hcp,brand name visible; prescribing information; important safety information,"Bipolar I | ABILIFY ASIMTUFII® (aripiprazole) & ABILIFY MAINTENA® (aripiprazole) Skip to main content Bipolar I Disorder Bipolar I Disorder Schizophrenia U.S. Prescribing Information, including BOXED WARNING ABILIFY ASIMTUFII ® (aripiprazole) ABILIFY MAINTENA ® (aripiprazole) ABILIFY ® (aripiprazole",candidate domain/url probe
ABILIFY MAINTENA,aripiprazole,"Otsuka America Pharmaceutical, Inc.",https://abilifymaintena.com/,https://www.abilifyasimtufii.com/bipolar-I,hcp,brand name visible; prescribing information; important safety information,"Bipolar I | ABILIFY ASIMTUFII® (aripiprazole) & ABILIFY MAINTENA® (aripiprazole) Skip to main content Bipolar I Disorder Bipolar I Disorder Schizophrenia U.S. Prescribing Information, including BOXED WARNING ABILIFY ASIMTUFII ® (aripiprazole) ABILIFY MAINTENA ® (aripiprazole) ABILIFY ® (aripiprazole",candidate domain/url probe
