brand_name,brand_key,brand_slug,generic_name,labeler,product_type,marketing_category,application_number,dosage_form,route,start_marketing_date,end_marketing_date,listing_expiration_date,pharm_classes,source_basis,source_confidence,uncertainty_notes
Zepbound,ZEPBOUND,zepbound,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA217806,"INJECTION, SOLUTION",SUBCUTANEOUS,20240328,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Zepbound,ZEPBOUND,zepbound,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA217806,"INJECTION, SOLUTION",SUBCUTANEOUS,20240328,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Sterile Diluent,STERILE DILUENT,sterilediluent,diluent,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA020563,"INJECTION, SOLUTION",SUBCUTANEOUS,19870710,,20271231,,FDA NDC Directory active human prescription listing,medium,Brand status inferred from active NDC listing; review if this is a generic-style private-label product.
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Zepbound,ZEPBOUND,zepbound,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA217806,"INJECTION, SOLUTION",SUBCUTANEOUS,20240328,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
TAUVID,TAUVID,tauvid,Flortaucipir F-18,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA212123,"INJECTION, SOLUTION",INTRAVENOUS,20220701,,20271231,,FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20230728,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Zepbound,ZEPBOUND,zepbound,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA217806,"INJECTION, SOLUTION",SUBCUTANEOUS,20240328,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Zepbound,ZEPBOUND,zepbound,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA217806,"INJECTION, SOLUTION",SUBCUTANEOUS,20240328,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Trulicity,TRULICITY,trulicity,Dulaglutide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA125469,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,20271231,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",FDA NDC Directory active human prescription listing,high,
Trulicity,TRULICITY,trulicity,Dulaglutide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA125469,"INJECTION, SOLUTION",SUBCUTANEOUS,20140918,,20271231,"GLP-1 Receptor Agonist [EPC], Glucagon-Like Peptide 1 [CS], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",FDA NDC Directory active human prescription listing,high,
EMGALITY,EMGALITY,emgality,galcanezumab-gnlm,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA761063,"INJECTION, SOLUTION",SUBCUTANEOUS,20180927,,20271231,,FDA NDC Directory active human prescription listing,high,
Omvoh,OMVOH,omvoh,mirikizumab-mrkz,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA761279,"INJECTION, SOLUTION",SUBCUTANEOUS,20251023,,20261231,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",FDA NDC Directory active human prescription listing,high,
TALTZ,TALTZ,taltz,ixekizumab,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,BLA,BLA125521,"INJECTION, SOLUTION",SUBCUTANEOUS,20160322,,20271231,"Interleukin-17A Antagonist [EPC], Interleukin-17A Antagonists [MoA]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Mounjaro,MOUNJARO,mounjaro,tirzepatide,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA215866,"INJECTION, SOLUTION",SUBCUTANEOUS,20220513,,20271231,"G-Protein-linked Receptor Interactions [MoA], GLP-1 Receptor Agonist [EPC], Glucagon-like Peptide-1 (GLP-1) Agonists [MoA], Glucose-dependent Insulinotropic Polypeptide Receptor Agonist [EPC]",FDA NDC Directory active human prescription listing,high,
Inluriyo,INLURIYO,inluriyo,imlunestrant,Eli Lilly and Company,HUMAN PRESCRIPTION DRUG,NDA,NDA218881,"TABLET, FILM COATED",ORAL,20250925,,20271231,"Breast Cancer Resistance Protein Inhibitors [MoA], Estrogen Receptor Antagonist [EPC], Estrogen Receptor Antagonists [MoA], P-Glycoprotein Inhibitors [MoA]",FDA NDC Directory active human prescription listing,high,
