term,country,source,sheet,row_index,row_text,columns,row_json
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,2977,"0801693 | HUMIRA SOL.INJ. 40 MG  1*2 SER.PRÉR. 0,4 ML + 1*2 TAMPONS ALCOOL | L04AB04 | 440,04 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0801693"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ. 40 mg  1*2 ser.prér. 0,4 mL + 1*2 tampons alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""440,04"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,2978,"0801709 | HUMIRA SOL.INJ. 40 MG  1*2 STYLOS PRÉR. 0,4 ML + 1*2 TAMPONS ALCOOL | L04AB04 | 440,04 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0801709"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ. 40 mg  1*2 stylos prér. 0,4 mL + 1*2 tampons alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""440,04"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3212,"0838676 | HUMIRA SOL.INJ. 40 MG  1*6 SER.PRÉR. 0,4 ML + 1*6 TAMPONS ALCOOL | L04AB04 | 1319,15 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0838676"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ. 40 mg  1*6 ser.prér. 0,4 mL + 1*6 tampons alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""1319,15"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3213,"0838712 | HUMIRA SOL.INJ. 40 MG  1*6 STYLOS PRÉR. 0,4 ML + 1*6 TAMPONS ALCOOL | L04AB04 | 1319,15 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0838712"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ. 40 mg  1*6 stylos prér. 0,4 mL + 1*6 tampons alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""1319,15"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3214,"0838726 | HUMIRA SOL.INJ. 80 MG  1*1 SER.PRÉR. 0,8 ML + 1*1 TAMPON ALCOOL | L04AB04 | 440,04 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0838726"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ. 80 mg  1*1 ser.prér. 0,8 mL + 1*1 tampon alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""440,04"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3238,"0843662 | HUMIRA SOL.INJ.PEN 80 MG  1*1 STYLO PRÉR. 0,8 ML + 1*2 TAMPONS D'ALCOOL | L04AB04 | 440,04 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0843662"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ.PEN 80 mg  1*1 stylo prér. 0,8 mL + 1*2 tampons d'alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""440,04"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
HUMIRA,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3319,"0853641 | HUMIRA SOL.INJ.SRG. 20 MG  1*2 SER.PRÉREMPLIES + 1*2 TAMPONS D'ALCOOL | L04AB04 | 225,34 | 100 | 0 | 0 | RR | C | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0853641"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Humira SOL.INJ.SRG. 20 mg  1*2 ser.préremplies + 1*2 tampons d'alcool"", ""G03CA04"": ""L04AB04"", ""9,49"": ""225,34"", ""80"": ""100"", ""0"": ""0"", ""0.1"": ""0"", ""RR"": ""RR"", ""Unnamed: 8"": ""C"", ""Unnamed: 9"": ""nan""}"
OZEMPIC,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3412,"0865561 | OZEMPIC SOL.INJ.PEN 0,25 MG  1*1 STYLO PRÉR. 1,5 ML + 1*4 AIGUILLES | A10BJ06 | 101,3 | 100 | 16 | AH | RR | NAN | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0865561"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Ozempic SOL.INJ.PEN 0,25 mg  1*1 stylo prér. 1,5 mL + 1*4 aiguilles"", ""G03CA04"": ""A10BJ06"", ""9,49"": ""101,3"", ""80"": ""100"", ""0"": ""16"", ""0.1"": ""AH"", ""RR"": ""RR"", ""Unnamed: 8"": ""nan"", ""Unnamed: 9"": ""nan""}"
OZEMPIC,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3413,"0865575 | OZEMPIC SOL.INJ.PEN 0,5 MG  1*1 STYLO PRÉR. 1,5 ML + 1*4 AIGUILLES | A10BJ06 | 101,3 | 100 | 16 | AH | RR | NAN | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0865575"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Ozempic SOL.INJ.PEN 0,5 mg  1*1 stylo prér. 1,5 mL + 1*4 aiguilles"", ""G03CA04"": ""A10BJ06"", ""9,49"": ""101,3"", ""80"": ""100"", ""0"": ""16"", ""0.1"": ""AH"", ""RR"": ""RR"", ""Unnamed: 8"": ""nan"", ""Unnamed: 9"": ""nan""}"
OZEMPIC,Luxembourg,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,csv,3414,"0865592 | OZEMPIC SOL.INJ.PEN 1 MG  1*1 STYLO PRÉR. 3 ML + 1*4 AIGUILLES | A10BJ06 | 101,3 | 100 | 16 | AH | RR | NAN | NAN","[""0000076"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."", ""G03CA04"", ""9,49"", ""80"", ""0"", ""0.1"", ""RR"", ""Unnamed: 8"", ""Unnamed: 9""]","{""0000076"": ""0865592"", ""AACIFEMINE CPR. 2 mg  1*30 cpr.ss blist."": ""Ozempic SOL.INJ.PEN 1 mg  1*1 stylo prér. 3 mL + 1*4 aiguilles"", ""G03CA04"": ""A10BJ06"", ""9,49"": ""101,3"", ""80"": ""100"", ""0"": ""16"", ""0.1"": ""AH"", ""RR"": ""RR"", ""Unnamed: 8"": ""nan"", ""Unnamed: 9"": ""nan""}"
