country,label,kind,source_url,direct_file_url,navigation_url,host_url,host,note,status,started_at_utc,completed_at_utc,http_status,content_type,content_disposition,final_url,download_path,filename,bytes,sha256,error
Austria,Austria source 1,direct,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802603&version=1776774123,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802603&version=1776774123,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802603&version=1776774123,https://www.sozialversicherung.at,www.sozialversicherung.at,,downloaded,2026-05-17T01:16:51.750653+00:00,2026-05-17T01:17:00.238540+00:00,200,application/zip,"inline; filename=""ehmv05_26_teil1.zip""",https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802603&version=1776774123,downloads/austria__austria_source_1.zip,austria__austria_source_1.zip,2393836,20626931e90903355a79ec0bc62fbf15e2adc8b3517dc7d4ad7b5b7006dfd493,
Austria,Austria source 2,direct,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802601&version=1776774148,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802601&version=1776774148,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802601&version=1776774148,https://www.sozialversicherung.at,www.sozialversicherung.at,,downloaded,2026-05-17T01:17:00.240501+00:00,2026-05-17T01:17:03.372566+00:00,200,application/zip,"inline; filename=""ehmv05_26_teil2.zip""",https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802601&version=1776774148,downloads/austria__austria_source_2.zip,austria__austria_source_2.zip,509406,cfaf3768277879501e8ab5867aec0a174ae9773ee22fd33c3a7ef787babeb194,
Belgium,SAM v2 full download,direct,https://www.vas.ehealth.fgov.be/websamcivics/samcivics/download/samv2-download?type=FULL&xsd=5&version=11964,https://www.vas.ehealth.fgov.be/websamcivics/samcivics/download/samv2-download?type=FULL&xsd=5&version=11964,https://www.vas.ehealth.fgov.be/websamcivics/samcivics/download/samv2-download?type=FULL&xsd=5&version=11964,https://www.vas.ehealth.fgov.be,www.vas.ehealth.fgov.be,,failed,,2026-05-17T01:17:05.788126+00:00,404,,,,,,,,<HTTPError 404: 'Not Found'>
Bulgaria,NCPR register,interactive,https://portal.ncpr.bg/registers/pages/register/list-medicament.xhtml,,https://portal.ncpr.bg/registers/pages/register/list-medicament.xhtml,https://portal.ncpr.bg,portal.ncpr.bg,Interactive register; no direct public bulk file in supplied link list.,metadata_only,,2026-05-17T01:17:05.788658+00:00,,,,,,,,,
Croatia,HALMED published medicine prices,direct,https://www.halmed.hr/fdsak3jnFsk1Kfa/ostale_stranice/Zbirni-popis-objavljenih-cijena-lijekova-7356-svi.xlsx,https://www.halmed.hr/fdsak3jnFsk1Kfa/ostale_stranice/Zbirni-popis-objavljenih-cijena-lijekova-7356-svi.xlsx,https://www.halmed.hr/fdsak3jnFsk1Kfa/ostale_stranice/Zbirni-popis-objavljenih-cijena-lijekova-7356-svi.xlsx,https://www.halmed.hr,www.halmed.hr,,downloaded,2026-05-17T01:17:05.788727+00:00,2026-05-17T01:17:07.645271+00:00,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,https://www.halmed.hr/fdsak3jnFsk1Kfa/ostale_stranice/Zbirni-popis-objavljenih-cijena-lijekova-7356-svi.xlsx,downloads/croatia__halmed_published_medicine_prices.zip,croatia__halmed_published_medicine_prices.zip,31613,427411edf7a177a0418319d5d5c98c644b0cd9033178cfa227ff2693c8861f62,
Cyprus,MOH drug price list,direct,https://www.moh.gov.cy/moh/phs/phs.nsf/All/ED7050D4BFEA2CF8C2258B6D00316E8C/$file/%CE%A4%CE%B9%CE%BC%CE%BF%CE%BA%CE%B1%CF%84%CE%AC%CE%BB%CE%BF%CE%B3%CE%BF%CF%82_%CE%942024_02.08.2024_(25.07.2024)_WEB_EL.xlsx,https://www.moh.gov.cy/moh/phs/phs.nsf/All/ED7050D4BFEA2CF8C2258B6D00316E8C/$file/%CE%A4%CE%B9%CE%BC%CE%BF%CE%BA%CE%B1%CF%84%CE%AC%CE%BB%CE%BF%CE%B3%CE%BF%CF%82_%CE%942024_02.08.2024_(25.07.2024)_WEB_EL.xlsx,https://www.moh.gov.cy/moh/phs/phs.nsf/All/ED7050D4BFEA2CF8C2258B6D00316E8C/$file/%CE%A4%CE%B9%CE%BC%CE%BF%CE%BA%CE%B1%CF%84%CE%AC%CE%BB%CE%BF%CE%B3%CE%BF%CF%82_%CE%942024_02.08.2024_(25.07.2024)_WEB_EL.xlsx,https://www.moh.gov.cy,www.moh.gov.cy,,failed,,2026-05-17T01:17:08.920675+00:00,,,,,,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)'))"
Czech,SUKL SCAU zip,direct,https://sukl.gov.cz/wp-content/uploads/2026/04/SCAU260501v21.zip,https://sukl.gov.cz/wp-content/uploads/2026/04/SCAU260501v21.zip,https://sukl.gov.cz/wp-content/uploads/2026/04/SCAU260501v21.zip,https://sukl.gov.cz,sukl.gov.cz,,downloaded,2026-05-17T01:17:08.920763+00:00,2026-05-17T01:17:12.794444+00:00,200,application/zip,,https://sukl.gov.cz/wp-content/uploads/2026/04/SCAU260501v21.zip,downloads/czech__sukl_scau_zip.zip,czech__sukl_scau_zip.zip,746169,a91644396510caa030dde10b5c0a2cacd2274693a39ced97e70a1548a8dfb1a4,
Denmark,Medicinpriser,interactive,https://www.medicinpriser.dk/Default.aspx?lng=2,,https://www.medicinpriser.dk/Default.aspx?lng=2,https://www.medicinpriser.dk,www.medicinpriser.dk,Interactive price-search page; no direct public bulk file in supplied link list.,metadata_only,,2026-05-17T01:17:12.794742+00:00,,,,,,,,,
Estonia,Ravimiregister,interactive,https://www.ravimiregister.ee/en/default.aspx?pv=HumRavimid.Otsing,,https://www.ravimiregister.ee/en/default.aspx?pv=HumRavimid.Otsing,https://www.ravimiregister.ee,www.ravimiregister.ee,Interactive register; no direct public bulk file in supplied link list.,metadata_only,,2026-05-17T01:17:12.794763+00:00,,,,,,,,,
Finland,Kanta medicine database latest,direct,https://www.kanta.fi/kantafi-rest/kantafi-laaketietokanta/download/latest,https://www.kanta.fi/kantafi-rest/kantafi-laaketietokanta/download/latest,https://www.kanta.fi/kantafi-rest/kantafi-laaketietokanta/download/latest,https://www.kanta.fi,www.kanta.fi,,downloaded,2026-05-17T01:17:12.794854+00:00,2026-05-17T01:17:18.616628+00:00,200,application/zip,"attachment; filename=""laaketietokanta2022-export-2026.010.zip""",https://www.kanta.fi/kantafi-rest/kantafi-laaketietokanta/download/latest,downloads/finland__kanta_medicine_database_latest.zip,finland__kanta_medicine_database_latest.zip,1769663,c0d7bcfc9c8d1dc6f121e825b5d6ea3c8e0380d3fa88834ff8bd3f384a7c4b18,
France,BDPM CIS/CIP text,direct,https://base-donnees-publique.medicaments.gouv.fr/download/file/CIS_CIP_bdpm.txt,https://base-donnees-publique.medicaments.gouv.fr/download/file/CIS_CIP_bdpm.txt,https://base-donnees-publique.medicaments.gouv.fr/download/file/CIS_CIP_bdpm.txt,https://base-donnees-publique.medicaments.gouv.fr,base-donnees-publique.medicaments.gouv.fr,,downloaded,2026-05-17T01:17:18.617031+00:00,2026-05-17T01:17:22.169138+00:00,200,application/octet-stream,"attachment; filename=""CIS_CIP_bdpm.txt""",https://base-donnees-publique.medicaments.gouv.fr/download/file/CIS_CIP_bdpm.txt,downloads/france__bdpm_cis_cip_text.bin,france__bdpm_cis_cip_text.bin,4152095,83f18aea103d4ecda253e5bf6ff0546009ee2ad0e412e60afb6ffeb0a5937990,
Germany,BfArM Festbeträge PDF,direct_pdf,https://www.bfarm.de/SharedDocs/Downloads/DE/Arzneimittel/Zulassung/amInformationen/Festbetraege/2026/festbetraege-20260501.pdf?__blob=publicationFile,https://www.bfarm.de/SharedDocs/Downloads/DE/Arzneimittel/Zulassung/amInformationen/Festbetraege/2026/festbetraege-20260501.pdf?__blob=publicationFile,https://www.bfarm.de/SharedDocs/Downloads/DE/Arzneimittel/Zulassung/amInformationen/Festbetraege/2026/festbetraege-20260501.pdf?__blob=publicationFile,https://www.bfarm.de,www.bfarm.de,Downloaded only if no same-dataset spreadsheet alternative is found.,deferred_pdf,,2026-05-17T01:17:22.170332+00:00,,,,,,,,,Germany PDF deferred pending spreadsheet-alternative check.
Greece,MOH revised price bulletin,direct,https://www.moh.gov.gr/articles/times-farmakwn/deltia-timwn/13924-deltio-anathewrhmenwn-timwn-farmakwn-anthrwpinhs-xrhshs-dekembrioy-2025?fdl=30389,https://www.moh.gov.gr/articles/times-farmakwn/deltia-timwn/13924-deltio-anathewrhmenwn-timwn-farmakwn-anthrwpinhs-xrhshs-dekembrioy-2025?fdl=30389,https://www.moh.gov.gr/articles/times-farmakwn/deltia-timwn/13924-deltio-anathewrhmenwn-timwn-farmakwn-anthrwpinhs-xrhshs-dekembrioy-2025?fdl=30389,https://www.moh.gov.gr,www.moh.gov.gr,,downloaded,2026-05-17T01:17:22.170471+00:00,2026-05-17T01:17:24.653673+00:00,200,application/force-download,"attachment; filename=""Î Î¯Î½Î±ÎºÎ±Ï ÎÎ½Î±Î¸ÎµÏÏÎ·ÏÎ·Ï ÎÎµÎº 2025.xlsx""",https://www.moh.gov.gr/articles/times-farmakwn/deltia-timwn/13924-deltio-anathewrhmenwn-timwn-farmakwn-anthrwpinhs-xrhshs-dekembrioy-2025?fdl=30389,downloads/greece__moh_revised_price_bulletin.zip,greece__moh_revised_price_bulletin.zip,989843,e317fec4c9d795d2c51d033fd0a94af877259cf108c053c8bec99b835099c9b6,
Hungary,NEAK PUPHA,direct,https://www.neak.gov.hu/pfile/file?inline=true&path=%2Fletoltheto%2FATFO_dok%2Fgyogyszer%2FPUPHA%2FPUPHA_20260501_v4_javitott.zip1,https://www.neak.gov.hu/pfile/file?inline=true&path=%2Fletoltheto%2FATFO_dok%2Fgyogyszer%2FPUPHA%2FPUPHA_20260501_v4_javitott.zip1,https://www.neak.gov.hu/pfile/file?inline=true&path=%2Fletoltheto%2FATFO_dok%2Fgyogyszer%2FPUPHA%2FPUPHA_20260501_v4_javitott.zip1,https://www.neak.gov.hu,www.neak.gov.hu,,downloaded,2026-05-17T01:17:24.654041+00:00,2026-05-17T01:17:35.049504+00:00,200,application/zip;charset=UTF-8,"inline; filename=""PUPHA_20260501_v4_jav_tott.zip""; filename*=UTF-8''PUPHA_20260501_v4_jav%C3%ADtott.zip",https://www.neak.gov.hu/pfile/file?inline=true&path=%2Fletoltheto%2FATFO_dok%2Fgyogyszer%2FPUPHA%2FPUPHA_20260501_v4_javitott.zip1,downloads/hungary__neak_pupha.zip,hungary__neak_pupha.zip,4906888,80a7ff694ea01a8ae941b9ad80728a5ea44c67c6eb3f1b8756d15e27374372a9,
Ireland,SSPCRS drug list,interactive,https://www.sspcrs.ie/druglist/pub,,https://www.sspcrs.ie/druglist/pub,https://www.sspcrs.ie,www.sspcrs.ie,Interactive/export page; no direct public bulk file in supplied link list.,metadata_only,,2026-05-17T01:17:35.051932+00:00,,,,,,,,,
Italy,AIFA equivalent medicines,direct,https://www.aifa.gov.it/documents/20142/3688205/Lista_farmaci_equivalenti_15.05.2026.xls,https://www.aifa.gov.it/documents/20142/3688205/Lista_farmaci_equivalenti_15.05.2026.xls,https://www.aifa.gov.it/documents/20142/3688205/Lista_farmaci_equivalenti_15.05.2026.xls,https://www.aifa.gov.it,www.aifa.gov.it,,failed,,2026-05-17T01:17:36.049764+00:00,,,,,,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)'))"
Latvia,NVD media download,direct,https://www.vmnvd.gov.lv/lv/media/42932/download?attachment=,https://www.vmnvd.gov.lv/lv/media/42932/download?attachment=,https://www.vmnvd.gov.lv/lv/media/42932/download?attachment=,https://www.vmnvd.gov.lv,www.vmnvd.gov.lv,,downloaded,2026-05-17T01:17:36.050048+00:00,2026-05-17T01:17:38.168283+00:00,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,"inline;filename=""KZS A_B 01.05.2026._int..xlsx""",https://www.vmnvd.gov.lv/lv/media/42932/download?attachment=,downloads/latvia__nvd_media_download.zip,latvia__nvd_media_download.zip,212798,1582eaca958c396b5fb2a7a9bf51347b6612de427f6131441b603584634a2124,
Lithuania,E-TAR legal act,interactive,https://www.e-tar.lt/portal/lt/legalAct/a38a8e74c96211f08918e1adc7c5b1ec,,https://www.e-tar.lt/portal/lt/legalAct/a38a8e74c96211f08918e1adc7c5b1ec,https://www.e-tar.lt,www.e-tar.lt,Legal/interactive page; no direct public bulk pricing file in supplied link list.,metadata_only,,2026-05-17T01:17:38.168976+00:00,,,,,,,,,
Luxembourg,CNS positive list CSV,direct,https://cns.public.lu/dam-assets/legislations/texte-coordonne/liste-positive/2605/2605-liste-pos.csv,https://cns.public.lu/dam-assets/legislations/texte-coordonne/liste-positive/2605/2605-liste-pos.csv,https://cns.public.lu/dam-assets/legislations/texte-coordonne/liste-positive/2605/2605-liste-pos.csv,https://cns.public.lu,cns.public.lu,,downloaded,2026-05-17T01:17:38.169015+00:00,2026-05-17T01:17:40.932245+00:00,200,text/csv,,https://cns.public.lu/dam-assets/legislations/texte-coordonne/liste-positive/2605/2605-liste-pos.csv,downloads/luxembourg__cns_positive_list_csv.csv,luxembourg__cns_positive_list_csv.csv,461832,81dee373febd7e26eb01724d69e4aa1f2315a1cc7cd666e1c0771456dbd0767b,
