country,kind,url,file,status,bytes,content_type,content_disposition,error
Austria,zip,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802603&version=1776774123,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/01_Austria.zip,downloaded,2393836,application/zip,"inline; filename=""ehmv05_26_teil1.zip""",
Austria,zip,https://www.sozialversicherung.at/cdscontent/load?contentid=10008.802601&version=1776774148,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/02_Austria.zip,downloaded,509406,application/zip,"inline; filename=""ehmv05_26_teil2.zip""",
Belgium,zip,https://www.vas.ehealth.fgov.be/websamcivics/samcivics/download/samv2-download?type=FULL&xsd=5&version=11964,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/03_Belgium.zip,failed,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1010)'))"
Croatia,xlsx,https://www.halmed.hr/fdsak3jnFsk1Kfa/ostale_stranice/Zbirni-popis-objavljenih-cijena-lijekova-7356-svi.xlsx,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/04_Croatia.xlsx,downloaded,31613,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
Cyprus,xlsx,https://www.moh.gov.cy/moh/phs/phs.nsf/All/ED7050D4BFEA2CF8C2258B6D00316E8C/$file/%CE%A4%CE%B9%CE%BC%CE%BE%CE%BA%CE%B1%CF%84%CE%AC%CE%BB%CE%BF%CE%B3%CE%BF%CF%82_%CE%942024_02.08.2024_(25.07.2024)_WEB_EL.xlsx,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/05_Cyprus.xlsx,failed,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
Czech_Republic,zip,https://sukl.gov.cz/wp-content/uploads/2026/04/SCAU260501v21.zip,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/06_Czech_Republic.zip,downloaded,746169,application/zip,,
Finland,zip,https://www.kanta.fi/kantafi-rest/kantafi-laaketietokanta/download/latest,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/07_Finland.zip,downloaded,1769663,application/zip,"attachment; filename=""laaketietokanta2022-export-2026.010.zip""",
France,txt,https://base-donnees-publique.medicaments.gouv.fr/download/file/CIS_CIP_bdpm.txt,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/08_France.txt,downloaded,4152095,application/octet-stream,"attachment; filename=""CIS_CIP_bdpm.txt""",
Greece,xlsx,https://www.moh.gov.gr/articles/times-farmakwn/deltia-timwn/13924-deltio-anathewrhmenwn-timwn-farmakwn-anthrwpinhs-xrhshs-dekembrioy-2025?fdl=30389,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/09_Greece.xlsx,downloaded,989843,application/force-download,"attachment; filename=""Î Î¯Î½Î±ÎºÎ±Ï ÎÎ½Î±Î¸ÎµÏÏÎ·ÏÎ·Ï ÎÎµÎº 2025.xlsx""",
Hungary,zip,https://www.neak.gov.hu/pfile/file?inline=true&path=%2Fletoltheto%2FATFO_dok%2Fgyogyszer%2FPUPHA%2FPUPHA_20260501_v4_javitott.zip1,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/10_Hungary.zip,downloaded,4906888,application/zip;charset=UTF-8,"inline; filename=""PUPHA_20260501_v4_jav_tott.zip""; filename*=UTF-8''PUPHA_20260501_v4_jav%C3%ADtott.zip",
Italy,xls,https://www.aifa.gov.it/documents/20142/3688205/Lista_farmaci_equivalenti_15.05.2026.xls,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/11_Italy.xls,failed,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
Latvia,xlsx,https://www.vmnvd.gov.lv/lv/media/42932/download?attachment=,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/12_Latvia.xlsx,downloaded,212798,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,"inline;filename=""KZS A_B 01.05.2026._int..xlsx""",
Luxembourg,csv,https://cns.public.lu/dam-assets/legislations/texte-coordonne/liste-positive/2605/2605-liste-pos.csv,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/13_Luxembourg.csv,downloaded,461832,text/csv,,
Malta,xls,https://medicinesauthority.gov.mt/Exports/Local/AdvancedSearchResultsLocal.xls,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/14_Malta.xls,failed,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)'))"
Poland,xlsx,https://www.gov.pl/attachment/e8aafc4d-a517-48e9-8147-deabe255cfbc,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/15_Poland.xlsx,failed,,,,"URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1010)'))"
Romania,xlsx,https://ms.ro/media/documents/05.11.2025_Catalogul_public_national_al_preturilor_maximale_ale_medicamentelor.xlsx,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/16_Romania.xlsx,downloaded,887493,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
Slovakia,xlsx,https://www.health.gov.sk/Zdroje?/Sources/kategorizacia/zkl/202605/cast_A_zoznam_liekov_N_k_01_05_2026.xlsx,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/17_Slovakia.xlsx,failed,,,,"IncompleteRead(340640 bytes read, 730121 more expected)"
Slovenia,xlsx,https://www.jazmp.si/fileadmin/datoteke/seznami/SFE/Cene/cene_20260501.xlsx,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/18_Slovenia.xlsx,downloaded,451147,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,,
Spain,xls,https://www.sanidad.gob.es/profesionales/nomenclator.do?metodo=nomenclatorExcel,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/19_Spain.xls,downloaded,7271424,text/html,attachment; filename=20260517_Nomenclator_de_Facturacion.xls,
Sweden,xlsx,https://www.tlv.se/file/medprice,/Users/justinyu/Desktop/linkedin-posts/eu_drug_pricing/raw/20_Sweden.xlsx,downloaded,1248251,application/vnd.ms-excel,"filename=""MEDPrice.xlsx""",
