cycle,prefix,component,url,doc_url,downloaded_file
2021-2023,DEMO_L,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.htm,data/raw/DEMO_L.xpt
2021-2023,DIQ_L,Diabetes questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DIQ_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DIQ_L.htm,data/raw/DIQ_L.xpt
2021-2023,FNQ_L,Functioning questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/FNQ_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/FNQ_L.htm,data/raw/FNQ_L.xpt
2021-2023,BAQ_L,Balance questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BAQ_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BAQ_L.htm,data/raw/BAQ_L.xpt
2021-2023,DPQ_L,Depression screener questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DPQ_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DPQ_L.htm,data/raw/DPQ_L.xpt
2021-2023,HUQ_L,Health care access questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/HUQ_L.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/HUQ_L.htm,data/raw/HUQ_L.xpt
2005-2006,DEMO_D,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.htm,data/raw/DEMO_D.xpt
2005-2006,VIQ_D,Vision questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VIQ_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VIQ_D.htm,data/raw/VIQ_D.xpt
2005-2006,DIQ_D,Diabetes questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DIQ_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DIQ_D.htm,data/raw/DIQ_D.xpt
2005-2006,VIX_D,Vision examination,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VIX_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VIX_D.htm,data/raw/VIX_D.xpt
2005-2006,OPXRET_D,Ophthalmology retinal imaging,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPXRET_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPXRET_D.htm,data/raw/OPXRET_D.xpt
2005-2006,OPXFDT_D,Ophthalmology FDT visual field,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPXFDT_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/OPXFDT_D.htm,data/raw/OPXFDT_D.xpt
2007-2008,DEMO_E,Demographics,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.htm,data/raw/DEMO_E.xpt
2007-2008,VIQ_E,Vision questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/VIQ_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/VIQ_E.htm,data/raw/VIQ_E.xpt
2007-2008,DIQ_E,Diabetes questionnaire,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DIQ_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DIQ_E.htm,data/raw/DIQ_E.xpt
2007-2008,VIX_E,Vision examination,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/VIX_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/VIX_E.htm,data/raw/VIX_E.xpt
2007-2008,OPXRET_E,Ophthalmology retinal imaging,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPXRET_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPXRET_E.htm,data/raw/OPXRET_E.xpt
2007-2008,OPXFDT_E,Ophthalmology FDT visual field,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPXFDT_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPXFDT_E.htm,data/raw/OPXFDT_E.xpt
