dataset,outcome,label,stratifier,level,denominator,weight,n_unweighted,weighted_pct,se_pct,ci_low_pct,ci_high_pct,design_dof
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Sex,Male,Adults aged 18 years or older,WTINT2YR,3649,35.25851315258315,1.142662059807607,33.01889551536024,37.498130789806055,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Sex,Female,Adults aged 18 years or older,WTINT2YR,4487,38.81405230206487,1.7327823721327513,35.417798852684676,42.21030575144506,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Age,40-64,Adults aged 18 years or older,WTINT2YR,3133,43.552479445757456,1.16831973900244,41.262572757312675,45.84238613420224,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Age,65-79,Adults aged 18 years or older,WTINT2YR,2060,43.765947021433995,1.792763666955836,40.25213023420056,47.27976380866743,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Age,18-39,Adults aged 18 years or older,WTINT2YR,2420,26.199214893285532,1.3478390920223187,23.557450272921788,28.84097951364928,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Age,80+,Adults aged 18 years or older,WTINT2YR,523,43.51003541575641,3.036961196892482,37.55759146984715,49.46247936166567,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Non-Hispanic Asian,Adults aged 18 years or older,WTINT2YR,442,23.10843468962817,2.014754530831251,19.15951580919892,27.05735357005742,14
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Non-Hispanic White,Adults aged 18 years or older,WTINT2YR,4696,36.71213641227048,1.440608097720848,33.88854454073762,39.53572828380334,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Other Hispanic,Adults aged 18 years or older,WTINT2YR,816,39.94704503938099,2.286061634336766,35.46636423608092,44.42772584268105,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Other / multiracial,Adults aged 18 years or older,WTINT2YR,543,42.06160221701044,3.031726337720844,36.119418595077576,48.003785838943294,15
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Mexican American,Adults aged 18 years or older,WTINT2YR,597,33.89614960974682,3.156547544315301,27.70931642288883,40.08298279660482,14
NHANES 2021-August 2023,seeing_difficulty_adults_some,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Race/ethnicity,Non-Hispanic Black,Adults aged 18 years or older,WTINT2YR,1042,43.751657079405774,1.9683289704831237,39.89373229725886,47.6095818615527,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Sex,Male,Adults aged 18 years or older,WTINT2YR,3649,2.8078168743527048,0.33194768496103355,2.157199411829079,3.458434336876331,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Sex,Female,Adults aged 18 years or older,WTINT2YR,4487,4.57411425289476,0.4134339643939398,3.763783682682638,5.384444823106882,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Age,40-64,Adults aged 18 years or older,WTINT2YR,3133,4.376587280281576,0.4152436424718552,3.5627097410367403,5.1904648195264125,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Age,65-79,Adults aged 18 years or older,WTINT2YR,2060,4.434137510712939,0.5857915877381028,3.2859859987462574,5.582289022679621,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Age,18-39,Adults aged 18 years or older,WTINT2YR,2420,2.1272871359853545,0.4311244875839942,1.282283140320726,2.972291131649983,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Age,80+,Adults aged 18 years or older,WTINT2YR,523,8.230893497241244,1.0527064615436748,6.167588832615641,10.294198161866845,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Non-Hispanic Asian,Adults aged 18 years or older,WTINT2YR,442,1.6156711302781634,0.623234958194987,0.394130612215989,2.837211648340338,14
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Non-Hispanic White,Adults aged 18 years or older,WTINT2YR,4696,3.421941868364743,0.3007857399887016,2.832401817986888,4.011481918742598,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Other Hispanic,Adults aged 18 years or older,WTINT2YR,816,5.20328957668166,0.9859542053280844,3.2708193342386136,7.135759819124704,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Other / multiracial,Adults aged 18 years or older,WTINT2YR,543,5.773961236040006,0.9772821207077574,3.8584882794528013,7.6894341926272105,15
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Mexican American,Adults aged 18 years or older,WTINT2YR,597,3.7543831518181676,0.6988677533276114,2.3846023552960496,5.1241639483402865,14
NHANES 2021-August 2023,seeing_difficulty_adults_lot,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Race/ethnicity,Non-Hispanic Black,Adults aged 18 years or older,WTINT2YR,1042,4.018060568270642,0.6835894003202786,2.678225343642896,5.357895792898388,15
NHANES 2021-August 2023,wg_disability_adults,Washington Group Short Set disability indicator,Sex,Male,Adults aged 18 years or older,WTINT2YR,3652,13.90630698172856,1.1099535842139523,11.730797956669214,16.081816006787907,15
NHANES 2021-August 2023,wg_disability_adults,Washington Group Short Set disability indicator,Sex,Female,Adults aged 18 years or older,WTINT2YR,4491,18.99997708120173,1.1425792664317849,16.760521718995435,21.23943244340803,15
NHANES 2021-August 2023,wg_disability_adults,Washington Group Short Set disability indicator,Age,40-64,Adults aged 18 years or older,WTINT2YR,3136,16.754233020279543,1.2873826653367941,14.230962996219427,19.27750304433966,15
NHANES 2021-August 2023,wg_disability_adults,Washington Group Short Set disability indicator,Age,65-79,Adults aged 18 years or older,WTINT2YR,2061,21.53428503034814,1.5007540227695046,18.59280714571991,24.47576291497637,15
