analysis,variable,label,level,denominator,weight,outcome_family,unweighted_n,weighted_denominator,weighted_n,estimate,se,ci_low,ci_high
overall,seeing_some_or_more,Difficulty seeing even with glasses or contact lenses: some difficulty or worse,Overall,Adults aged 18 years or older,WTINT2YR,seeing function,8136,252643266,93706999,37.09,1.25,34.63,39.55
overall,seeing_severe,Difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Overall,Adults aged 18 years or older,WTINT2YR,seeing function,8136,252643266,9393195,3.72,0.32,3.08,4.35
overall,youth_seeing_severe,Youth difficulty seeing even with glasses or contact lenses: a lot of difficulty or cannot do at all,Overall,Children and adolescents aged 5-17 years,WTINT2YR,seeing function,2782,55602909,598967,1.08,0.16,0.76,1.39
overall,blurred_vision_head_movement,Blurred vision with head movement in the past 12 months,Overall,Participants aged 20-69 years,WTINT2YR,symptom,6053,207985561,21083876,10.14,0.53,9.09,11.18
overall,diagnosed_diabetes,Doctor ever told participant had diabetes,Overall,Adults aged 18 years or older,WTINT2YR,risk context,7876,245913805,27416508,11.15,0.65,9.87,12.43
overall,wg_disability,Washington Group Short Set disability indicator,Overall,Adults aged 18 years or older,WTINT2YR,functioning,8143,252945681,41813056,16.53,1.02,14.53,18.53
overall,wg_enhanced_disability,Washington Group Short Set Enhanced disability indicator,Overall,Adults aged 18 years or older,WTINT2YR,functioning,8143,252945681,52967928,20.94,1.06,18.86,23.02
overall,phq9_moderate,PHQ-9 score of 10 or greater,Overall,Adults aged 18 years or older with DPQ data,WTMEC2YR,patient-reported outcome,5455,219264729,27708406,12.64,0.78,11.1,14.17
overall,daily_depressed_lot,Daily depressed feelings with intensity reported as a lot,Overall,Adults aged 18 years or older,WTINT2YR,patient-reported outcome,5001,154749938,6740406,4.36,0.47,3.43,5.28
overall,daily_anxious_lot,"Daily worried, nervous, or anxious feelings with intensity reported as a lot",Overall,Adults aged 18 years or older,WTINT2YR,patient-reported outcome,6605,208843605,15051849,7.21,0.48,6.26,8.15
by age,seeing_some_or_more,Adult seeing difficulty: some difficulty or worse,40-64,Adults aged 18 years or older,WTINT2YR,seeing function,3133,103005461,44861432,43.55,1.17,41.26,45.84
