organization,attendees
University of Washington,25
University of Illinois Chicago,20
University of Utah,20
"University of Maryland, Baltimore",19
Johns Hopkins University,18
Rutgers University,16
Thomas Jefferson University,16
University of Southern California,15
Tufts Medical Center,12
University of Arkansas for Medical Sciences,12
University of Texas at Austin,11
University of Houston,11
University of Florida,10
Nova Southeastern University,9
University of Louisville,8
Penn State University,7
University of Michigan,7
University of Colorado Anschutz Medical Campus,7
University of Mississippi,7
University of South Carolina,7
Auburn University,7
Duke Clinical Research Institute,6
The University of North Carolina at Chapel Hill,6
Northwestern University,5
Taipei Medical University,5
West Virginia University,5
University of Pennsylvania,4
University of Rhode Island,4
Temple University,4
University of Arizona,4
