company,attendees
Analysis Group,52
Thermo Fisher Scientific,48
Flatiron Health,39
RTI Health Solutions,35
IQVIA,30
Lumanity,29
Datavant,27
OPEN Health,24
Inovalon,23
Medicus Economics,23
Panalgo,23
Precision,22
Optum,21
Carelon Research,20
Cardinal Health,19
Oracle Health & Life Sciences,19
Cytel,17
Merative MarketScan,16
Genesis Research Group,16
AESARA,16
Premier Inc.,16
"EntityRisk, Inc.",15
TriNetX,15
Stratevi,14
Truveta,14
Ontada,14
"Integra PrecisionQ, LLC",13
EVERSANA,13
Costello Medical,13
Curta,11
