current_type,short_name,attendee_count,full_affiliation_examples,title_examples
Academia,Thomas Jefferson University/Janssen Pharmaceuticals,1,Thomas Jefferson University/Janssen Pharmaceuticals,"Associate Director, HEOR Value Demonstration"
Academia,Thomas jefferson university,1,Thomas jefferson university,Student
Academia,Thong Nhat Hospital,1,Thong Nhat Hospital,Head of Pharmacy Department
Academia,Touro College of Pharmacy,1,Touro College of Pharmacy,Assistant Professor
Academia,Touro University College of Pharmacy,1,Touro University College of Pharmacy,
Academia,Towson University,1,Towson University,Assistant Professor
Academia,Tulane University School of Public Health and Tropical Medicine,1,Tulane University School of Public Health and Tropical Medicine,Neal A. and Mary Vanselow Endowed Chair in the Department of ...
Academia,UMIT TIROL - University for Health Sciences and Technology; Harv...,1,UMIT TIROL - University for Health Sciences and Technology; Harv...,Professor & Head of Institute
Academia,UPMC Centers for High-Value Health Care and Value-Based Phar...,1,UPMC Centers for High-Value Health Care and Value-Based Phar...,HEOR Fellow
Academia,UT Austin College of Pharmacy,1,UT Austin College of Pharmacy,Dean
Academia,UTHealth School of Public Health in Houston,1,UTHealth School of Public Health in Houston,
Academia,Uniformed Services University,1,Uniformed Services University,Full Professor
Academia,Universidad El Bosque,1,Universidad El Bosque,Researcher
Academia,Universidade Estadual do Oeste do Parana,1,Universidade Estadual do Oeste do Parana,Student
Academia,Universidade Federal do Rio Grande do Sul,1,Universidade Federal do Rio Grande do Sul,Consultant | MSc Student
Academia,University Campus Oldham (UCO),1,University Campus Oldham (UCO),Lecturer in Health and Social Care
Academia,University Medical Center Utrecht,1,University Medical Center Utrecht,Assistant Professor
Academia,University at Buffalo,1,University at Buffalo,Post-doc Fellow
Academia,University at Buffalo School of Pharmacy,1,University at Buffalo School of Pharmacy,Clinical Associate Professor
Academia,University of Arizona,1,University of Arizona,Technical Advisor
Academia,University of Arkansas for Medical Sciences,1,University of Arkansas for Medical Sciences,Student
Academia,University of British Columbia,1,University of British Columbia,MD
Academia,University of Calgary,1,University of Calgary,"Professor, Scientific Director Value and Impact, Alberta Children’s ..."
Academia,University of California San Francisco,1,University of California San Francisco,Student
Academia,"University of California, Davis",1,"University of California, Davis",Fulbright Visiting Scholar
Academia,University of Cambridge,1,University of Cambridge,Clinical Assistant Professor in RWD Analytics
Academia,University of Chile,1,University of Chile,
Academia,University of Cincinnati College of Pharmacy,1,University of Cincinnati College of Pharmacy,Professor
Academia,University of Colorado,1,University of Colorado,Assistant Professor
Academia,"University of Florida College of Pharmacy, Department of Pharma...",1,"University of Florida College of Pharmacy, Department of Pharma...",
Academia,"University of Florida, Department of Health Outcomes and Biomed...",1,"University of Florida, Department of Health Outcomes and Biomed...",Assistant Scientist
Academia,University of Georgia College of Pharmacy,1,University of Georgia College of Pharmacy,
Academia,University of Houston - College of Pharmacy,1,University of Houston - College of Pharmacy,PhD Student
Academia,University of Houston College of Pharmacy,1,University of Houston College of Pharmacy,Postdoctoral Fellow
Academia,"University of Houston, Texas",1,"University of Houston, Texas",
Academia,University of Jordan,1,University of Jordan,Associate professor
Academia,University of Kentucky,1,University of Kentucky,
Academia,"University of Kentucky, College of Pharmacy",1,"University of Kentucky, College of Pharmacy",
Academia,"University of Louisville - Louisville,",1,"University of Louisville - Louisville,",PhD Candidate
Academia,University of Massachusetts Chan Medical School,1,University of Massachusetts Chan Medical School,"PhD Student, HEOR Fellow"
Academia,University of Melbourne,1,University of Melbourne,Professor of Health Economics
Academia,"University of Minnesota, College of Pharmacy",1,"University of Minnesota, College of Pharmacy",PhD candidate
Academia,"University of Minnesota, Medtronic",1,"University of Minnesota, Medtronic","Student, Research Assistant"
Academia,"University of Mississippi, School of Pharmacy, Pharmacy administ...",1,"University of Mississippi, School of Pharmacy, Pharmacy administ...",Graduate student
Academia,University of Nevada at Las Vegas,1,University of Nevada at Las Vegas,
Academia,"University of Newcastle, Australia",1,"University of Newcastle, Australia",
Academia,University of Nigeria,1,University of Nigeria,Pharmacist
Academia,University of North Carolina at Chapel Hill - Gillings School of Glob...,1,University of North Carolina at Chapel Hill - Gillings School of Glob...,"Business Development & Partnerships Associate, Evinexus"
Academia,University of North Texas Health Science Center,1,University of North Texas Health Science Center,
Academia,"University of Pecs, Faculty of Business and Economics",1,"University of Pecs, Faculty of Business and Economics",PhD Fellow
Academia,University of Pennsylvania Perelman School of Medicine,1,University of Pennsylvania Perelman School of Medicine,Assistant Professor of Medicine
Academia,University of Pittsburgh,1,University of Pittsburgh,PhD student
