rank,name,count,source
1,Merck,125,original
2,Johnson & Johnson,71,audit_addition+original
3,AstraZeneca,53,audit_addition+original
4,Pfizer Inc,42,original
5,Sanofi,40,audit_addition+original
6,Bristol Myers Squibb,31,original
7,Bayer,25,original
8,GSK,25,original
9,AbbVie,18,original
10,BeOne Medicines,18,original
11,Eli Lilly,18,original
12,Novo Nordisk,17,original
13,Amgen,15,original
14,Takeda,15,original
15,Boehringer Ingelheim,14,original
16,Genentech,14,audit_addition+original
17,Gilead Sciences,14,original
18,W. L. Gore,14,original
19,CSL Behring,13,original
20,Regeneron,13,original
21,Daiichi Sankyo,12,original
22,Organon,12,original
23,Vertex,11,original
24,Argenx,10,original
25,Madrigal,10,original
26,Medtronic,10,original
27,ABBOTT,9,original
28,Boston Scientific,9,original
29,Kyowa Kirin,9,original
30,Roche,9,original
31,Shionogi,9,original
32,GeneDx,8,original
33,Novartis,8,original
34,Otsuka,8,original
35,UCB,8,original
36,Becton Dickinson,7,original
37,Chiesi,7,original
38,Dexcom,7,original
39,Novocure,7,original
40,Revolution Medicines,7,original
41,Teva,7,original
42,Alexion,6,original
43,Alexion AstraZeneca Rare Disease,6,original
44,Astellas,6,original
45,Bausch Health,6,original
46,BioNTech,6,original
47,Intuitive Surgical,6,original
48,Ipsen,6,original
49,Jazz Pharmaceuticals,6,original
50,Moderna,6,original
51,Sarepta Therapeutics,6,original
52,Alcon,5,original
53,Axsome Therapeutics,5,original
54,Biocryst Pharmaceuticals,5,original
55,BridgeBio,5,original
56,Incyte,5,original
57,Sun Pharma,5,original
58,Viatris,5,original
59,Atropos Health,4,original
60,"Chugai Pharmaceutical Co., Ltd.",4,original
61,Edwards Lifesciences,4,original
62,Eisai,4,original
63,Genmab,4,original
64,lonis Pharmaceuticals,4,original
65,PTC Therapeutics,4,original
66,ALKERMES,3,original
67,Alnylam,3,original
68,Apellis,3,original
69,Ascendis Pharma,3,original
70,Bausch & Lomb,3,original
71,Cytokinetics,3,original
72,Ferring Pharmaceuticals,3,original
73,Guardant Health,3,audit_addition
74,Lundbeck,3,original
75,"Neurocrine Biosciences, Inc.",3,original
76,Tempus,3,original
77,ViiV Healthcare,3,original
78,Agios Pharmaceuticals,2,original
79,Ardelyx,2,audit_addition
80,Avidity Biosciences,2,original
81,Baxter Healthcare,2,original
82,Biogen,2,original
83,BioMarin Pharmaceutical Inc,2,original
84,Denali Therapeutics,2,original
85,EMD Serono,2,original
86,Ethicon,2,original
87,Exact Sciences,2,original
88,GE HealthCare,2,original
89,Grail,2,original
90,"Hologic, Inc.",2,original
91,Insmed,2,original
92,Kailera Therapeutics,2,original
93,Kate Farms,2,original
94,Kura Oncology,2,original
95,Myriad Genetics,2,original
96,Natera,2,original
97,NeoGenomics,2,original
98,Ono Pharmaceutical,2,original
99,Pharming Group,2,original
100,Pierre Fabre,2,original
101,Pomelo Care,2,original
102,Prime Therapeutics,2,original
103,Sobi,2,original
104,Sumitomo Pharma America,2,audit_addition+original
105,Syndax,2,original
106,Tandem Diabetes Care,2,original
107,Ultragenyx,2,original
108,Vantive Health,2,original
109,Vera Therapeutics,2,original
110,Zimmer Biomet,2,original
111,ACADIA Pharm,1,original
112,Almatica Pharma LLC,1,original
113,Ambu,1,original
114,AMCP,1,original
115,Annexon Biosciences,1,original
116,Apnimed Inc,1,original
117,Axogen,1,original
118,"Azurity Pharmaceuticals, Inc.",1,original
119,Basilea Pharmaceutica International Ltd.,1,original
120,Biomerieux,1,original
121,Bioventus,1,original
