rank,normalized_title,count,share_of_populated_manufacturer_titles
1,"Director",187,0.273392
2,"Senior Director",85,0.124269
3,"Associate Director",84,0.122807
4,"Manager",43,0.062865
5,"Senior Manager",38,0.055556
6,"Head",35,0.051170
7,"Lead",31,0.045322
8,"Vice President",29,0.042398
9,"Executive Director",28,0.040936
10,"Scientist",19,0.027778
11,"Senior Scientist",7,0.010234
12,"Doctor",6,0.008772
13,"Researcher",6,0.008772
14,"Analyst",6,0.008772
15,"Health Economist",6,0.008772
16,"Principal Scientist",6,0.008772
17,"Associate Vice President",5,0.007310
18,"Consultant",4,0.005848
19,"Fellow",4,0.005848
20,"Specialist",4,0.005848
21,"Medical Science Liaison",4,0.005848
22,"Liaison",4,0.005848
23,"Senior Specialist",4,0.005848
24,"Associate Principal Scientist",4,0.005848
25,"Epidemiologist",3,0.004386
26,"Postdoctoral Fellow",3,0.004386
27,"Senior Vice President",3,0.004386
28,"Associate",3,0.004386
29,"Senior Principal Scientist",3,0.004386
30,"Principal Health Economist",2,0.002924
31,"Pharmacist",2,0.002924
32,"Statistician",2,0.002924
33,"Recruiter",2,0.002924
34,"Biostatistician",2,0.002924
35,"Medical Affairs Specialist",2,0.002924
36,"Director II",1,0.001462
37,"Expert",1,0.001462
38,"Intern",1,0.001462
39,"Economist",1,0.001462
40,"Senior Scientific Advisor",1,0.001462
41,"Chief Officer",1,0.001462
42,"Advisor",1,0.001462
43,"Senior Health Economist",1,0.001462
