name,google_maps_url,address,coordinate_distance_mi,rating,reviews,price,category,google_maps_description,google_maps_current_status,sunday_regular_hours,monday_regular_hours,tuesday_regular_hours,wednesday_regular_hours,popular_times_peak,source_scope
Nakama Japanese Cuisines & Omakase (BYOB),https://www.google.com/maps/place/Nakama+Japanese+Cuisines+%26+Omakase+%28BYOB%29/data=!4m7!3m6!1s0x89c6c74b8d58b709:0xb65810157a23584!8m2!3d39.9535978!4d-75.1609848!16s%2Fg%2F11xfkw1jv9!19sChIJCbdYjUvHxokRhDWiVwGBZQs?authuser=0&hl=en&rclk=1,45 N 13th St,0.02,4.8,Not visible in Google Maps result card,Not visible in Google Maps result card,Japanese restaurant,Not visible in Google Maps result card,Closed - Opens 11:30 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
Pho Street,https://www.google.com/maps/place/Pho+Street/data=!4m7!3m6!1s0x89c6c7ef79964cbd:0x4a54453098428e87!8m2!3d39.9539202!4d-75.1609734!16s%2Fg%2F11gy911npw!19sChIJvUyWee_HxokRh45CmDBFVEo?authuser=0&hl=en&rclk=1,1230 Arch St,0.03,4.2,Not visible in Google Maps result card,Not visible in Google Maps result card,Vietnamese restaurant,Not visible in Google Maps result card,Closed - Opens 11 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
Dutch Eating Place,https://www.google.com/maps/place/Dutch+Eating+Place/data=!4m7!3m6!1s0x89c6c62958fb0109:0xe207a535b5a9a5!8m2!3d39.9531593!4d-75.1590984!16s%2Fg%2F1tgwnn63!19sChIJCQH7WCnGxokRpam1NaUH4gA?authuser=0&hl=en&rclk=1,1136 Arch St,0.04,4.7,"1,056",$10-20,Pennsylvania Dutch restaurant,Pennsylvania Dutch breakfasts & lunches,Closed - Opens 8 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card; enriched by prior Google Maps search-card extraction
Reading Terminal Market,https://www.google.com/maps/place/Reading+Terminal+Market/data=!4m7!3m6!1s0x89c6c62958fb0109:0xcd8fd007dc1d6b01!8m2!3d39.9531593!4d-75.1590984!16zL20vMDZsYnE5!19sChIJCQH7WCnGxokRAWsd3AfQj80?authuser=0&hl=en&rclk=1,1136 Arch St,0.04,4.7,"45,706",$$,Market,Historic hub for eclectic foods & goods,Closed - Opens 8 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card; enriched by prior Google Maps search-card extraction
Down Home Diner,https://www.google.com/maps/place/Down+Home+Diner/data=!4m7!3m6!1s0x89c6c62958fb0109:0xab4eba20c95a41bf!8m2!3d39.9528687!4d-75.1590265!16s%2Fg%2F1tk8d1yd!19sChIJCQH7WCnGxokRv0FaySC6Tqs?authuser=0&hl=en&rclk=1,"Reading Terminal Market, 51 N 12th St",0.06,4.7,"6,457",$10-20,Breakfast restaurant,Southern-inspired homestyle cooking,Closed - Opens 7 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card; enriched by prior Google Maps search-card extraction
Uncle Gus' Steaks,https://www.google.com/maps/place/Uncle+Gus%27+Steaks/data=!4m7!3m6!1s0x89c6c7470b174999:0x43ba46d5db5c7e0!8m2!3d39.9533601!4d-75.15947!16s%2Fg%2F11wqw9bnf4!19sChIJmUkXC0fHxokR4Me1XW2kOwQ?authuser=0&hl=en&rclk=1,1136 Arch St,0.06,4.4,Not visible in Google Maps result card,Not visible in Google Maps result card,Cheesesteak restaurant,Not visible in Google Maps result card,Closed - Opens 10 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
Glick's Rib Shack - The Original Rib Stand,https://www.google.com/maps/place/Glick%27s+Rib+Shack+-+The+Original+Rib+Stand/data=!4m7!3m6!1s0x89c6c629455a9425:0xf6e835fcbb8f27af!8m2!3d39.953738!4d-75.1593234!16s%2Fg%2F1td9rgxm!19sChIJJZRaRSnGxokRryePu_w16PY?authuser=0&hl=en&rclk=1,51 N 12th St,0.07,4.6,Not visible in Google Maps result card,Not visible in Google Maps result card,Sandwich shop,Not visible in Google Maps result card,Closed - Opens 8 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
Hatville Deli,https://www.google.com/maps/place/Hatville+Deli/data=!4m7!3m6!1s0x89c6c62bd9697967:0x98e9cde27b09e8f7!8m2!3d39.9536565!4d-75.159249!16s%2Fg%2F1tglzyq1!19sChIJZ3lp2SvGxokR9-gJe-LN6Zg?authuser=0&hl=en&rclk=1,1136 Arch St,0.07,4.7,Not visible in Google Maps result card,Not visible in Google Maps result card,Deli,Not visible in Google Maps result card,Closed - Opens 8 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
13 Restaurant,https://www.google.com/maps/place/13+Restaurant/data=!4m7!3m6!1s0x89c6c62eb505e32f:0xff9f46a79ea15031!8m2!3d39.9523766!4d-75.160297!16s%2Fg%2F11h1hm1zh!19sChIJL-MFtS7GxokRMVChnqdGn_8?authuser=0&hl=en&rclk=1,1201 Market St,0.08,3.8,Not visible in Google Maps result card,Not visible in Google Maps result card,American restaurant,Hotel dining room serving American favorites,Closed - Opens 5:30 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
Beiler's Doughnuts,https://www.google.com/maps/place/Beiler%27s+Doughnuts/data=!4m7!3m6!1s0x89c6c71546eb41fb:0xc2ac782da83d0fc3!8m2!3d39.9535521!4d-75.1590894!16s%2Fg%2F11f8jxrw61!19sChIJ-0HrRhXHxokRww89qC14rMI?authuser=0&hl=en&rclk=1,51 N 12th St,0.08,4.6,Not visible in Google Maps result card,Not visible in Google Maps result card,Restaurant,Not visible in Google Maps result card,Closed - Opens 8 AM,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Not visible in Google Maps result card/detail panel,Google Maps result-feed card
