FORMULARY_ID,ndc_count,rxcui_count,ql_ndc_pct,pa_ndc_pct,st_ndc_pct,any_um_ndc_pct,selected_ndc_count,selected_rxcui_count,median_tier
00026000,3574,3574,40.1,24.7,0.9,48.5,43,43,3.0
00026001,3113,3113,39.9,27.2,0.9,49.0,43,43,4.0
00026002,3589,3589,39.9,25.0,0.9,48.7,43,43,3.0
00026003,3575,3575,40.1,24.7,0.9,48.5,43,43,3.0
00026007,3357,3357,42.7,30.8,0.1,54.0,43,43,4.0
00026008,3696,3696,43.4,29.8,0.1,54.4,43,43,4.0
00026010,3696,3696,43.4,29.7,0.1,54.4,43,43,4.0
00026011,3687,3687,43.5,29.7,0.1,54.5,43,43,4.0
00026013,3696,3696,43.4,29.7,0.1,54.4,43,43,4.0
00026017,3863,3863,36.9,31.6,1.0,47.9,46,46,3.0
00026018,3300,3300,37.8,32.1,0.7,47.5,46,46,3.0
00026020,3298,3298,37.8,32.2,0.7,47.5,46,46,3.0
00026026,3357,3357,39.4,27.8,0.0,46.5,43,43,1.0
00026029,3845,3845,43.1,24.2,4.8,50.3,43,43,3.0
00026034,3400,3400,43.2,28.5,0.1,53.0,43,43,4.0
00026036,3520,3520,44.2,29.9,0.2,54.4,43,43,4.0
00026037,3503,3503,44.2,29.8,0.1,54.4,43,43,3.0
00026038,3246,3246,45.2,30.2,0.2,54.8,43,43,3.0
00026039,3589,3589,39.9,25.0,0.9,48.7,43,43,3.0
00026042,3349,3349,44.0,31.6,0.3,54.8,43,43,2.0
00026043,3349,3349,44.0,31.6,0.3,54.8,43,43,2.0
00026044,3349,3349,44.0,31.6,0.3,54.8,43,43,2.0
00026045,3601,3601,45.1,30.3,0.1,55.5,43,43,2.0
00026046,2991,2991,43.5,29.6,0.0,52.7,43,43,4.0
00026048,3406,3406,41.6,33.5,0.8,52.9,42,42,1.0
00026056,3498,3498,36.3,29.2,0.7,47.7,38,38,1.0
00026059,4048,4048,27.5,22.3,0.6,37.8,43,43,3.0
00026060,3498,3498,36.3,29.2,0.7,47.7,38,38,3.0
00026061,3498,3498,36.3,29.2,0.7,47.7,38,38,1.0
00026062,3486,3486,29.3,24.4,0.1,39.5,46,46,2.0
00026063,4015,4015,27.4,22.2,0.6,37.8,43,43,3.0
00026064,3498,3498,36.3,29.2,0.7,47.7,38,38,1.0
00026065,3498,3498,36.3,29.2,0.7,47.7,38,38,3.0
00026066,3498,3498,36.3,29.2,0.7,47.7,38,38,1.0
00026067,3292,3292,34.8,28.9,0.7,46.9,38,38,4.0
00026069,3534,3534,29.7,20.5,1.7,34.7,37,37,3.0
00026070,3498,3498,36.3,29.2,0.7,47.7,38,38,3.0
