RXCUI,rxnorm_name,DISEASE,plans
1745114,1 ML ixekizumab 80 MG/ML Prefilled Syringe [Taltz],"SPONDYLITIS, ANKYLOSING",31
1745108,1 ML ixekizumab 80 MG/ML Auto-Injector [Taltz],"SPONDYLITIS, ANKYLOSING",31
1745108,1 ML ixekizumab 80 MG/ML Auto-Injector [Taltz],"ARTHRITIS, PSORIATIC",16
1745108,1 ML ixekizumab 80 MG/ML Auto-Injector [Taltz],SPONDYLARTHRITIS,16
727714,0.67 ML anakinra 149 MG/ML Prefilled Syringe [Kineret],CRYOPYRIN-ASSOCIATED PERIODIC SYNDROMES,16
1745114,1 ML ixekizumab 80 MG/ML Prefilled Syringe [Taltz],SPONDYLARTHRITIS,16
1745114,1 ML ixekizumab 80 MG/ML Prefilled Syringe [Taltz],"ARTHRITIS, PSORIATIC",16
2197894,pitolisant 17.8 MG Oral Tablet [Wakix],NARCOLEPSY,15
2375329,2 ML dupilumab 150 MG/ML Auto-Injector [Dupixent],URTICARIA,15
2375329,2 ML dupilumab 150 MG/ML Auto-Injector [Dupixent],"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE",15
2375329,2 ML dupilumab 150 MG/ML Auto-Injector [Dupixent],PRURIGO NODULARIS,15
2375329,2 ML dupilumab 150 MG/ML Auto-Injector [Dupixent],"PEMPHIGOID, BULLOUS",15
2375329,2 ML dupilumab 150 MG/ML Auto-Injector [Dupixent],ASTHMA,15
2282320,rimegepant 75 MG Disintegrating Oral Tablet [Nurtec],MIGRAINE DISORDERS,15
2197894,pitolisant 17.8 MG Oral Tablet [Wakix],CATAPLEXY,15
1876406,2 ML dupilumab 150 MG/ML Prefilled Syringe [Dupixent],ASTHMA,15
2197890,pitolisant 4.45 MG Oral Tablet [Wakix],NARCOLEPSY,15
1876406,2 ML dupilumab 150 MG/ML Prefilled Syringe [Dupixent],URTICARIA,15
1876406,2 ML dupilumab 150 MG/ML Prefilled Syringe [Dupixent],"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE",15
1876406,2 ML dupilumab 150 MG/ML Prefilled Syringe [Dupixent],PRURIGO NODULARIS,15
1876406,2 ML dupilumab 150 MG/ML Prefilled Syringe [Dupixent],"PEMPHIGOID, BULLOUS",15
2197890,pitolisant 4.45 MG Oral Tablet [Wakix],CATAPLEXY,15
