STATE,COUNTY_CODE,local_ma_pd_plans,COUNTY,STATENAME
AL,01000,55,Autauga,Alabama
AL,01010,56,Baldwin,Alabama
AL,01020,44,Barbour,Alabama
AL,01030,55,Bibb,Alabama
AL,01040,55,Blount,Alabama
AL,01050,49,Bullock,Alabama
AL,01060,46,Butler,Alabama
AL,01070,39,Calhoun,Alabama
AL,01080,49,Chambers,Alabama
AL,01090,48,Cherokee,Alabama
AL,01100,55,Chilton,Alabama
AL,01110,36,Choctaw,Alabama
AL,01120,36,Clarke,Alabama
AL,01130,44,Clay,Alabama
AL,01140,44,Cleburne,Alabama
AL,01150,36,Coffee,Alabama
AL,01160,53,Colbert,Alabama
AL,01170,31,Conecuh,Alabama
AL,01180,51,Coosa,Alabama
AL,01190,36,Covington,Alabama
AL,01200,49,Crenshaw,Alabama
AL,01210,56,Cullman,Alabama
AL,01220,38,Dale,Alabama
AL,01230,54,Dallas,Alabama
AL,01240,46,DeKalb,Alabama
AL,01250,55,Elmore,Alabama
AL,01260,45,Escambia,Alabama
AL,01270,56,Etowah,Alabama
AL,01280,39,Fayette,Alabama
AL,01290,40,Franklin,Alabama
AL,01300,37,Geneva,Alabama
AL,01310,36,Greene,Alabama
AL,01320,36,Hale,Alabama
AL,01330,37,Henry,Alabama
AL,01340,37,Houston,Alabama
AL,01350,49,Jackson,Alabama
AL,01360,56,Jefferson,Alabama
AL,01370,35,Lamar,Alabama
AL,01380,54,Lauderdale,Alabama
AL,01390,51,Lawrence,Alabama
AL,01400,39,Lee,Alabama
AL,01410,54,Limestone,Alabama
AL,01420,53,Lowndes,Alabama
AL,01430,48,Macon,Alabama
AL,01440,57,Madison,Alabama
AL,01450,36,Marengo,Alabama
AL,01460,45,Marion,Alabama
AL,01470,54,Marshall,Alabama
AL,01480,58,Mobile,Alabama
AL,01490,31,Monroe,Alabama
AL,01500,54,Montgomery,Alabama
AL,01510,54,Morgan,Alabama
AL,01520,41,Perry,Alabama
AL,01530,36,Pickens,Alabama
AL,01540,49,Pike,Alabama
AL,01550,42,Randolph,Alabama
AL,01560,48,Russell,Alabama
AL,01570,57,St. Clair,Alabama
AL,01580,54,Shelby,Alabama
AL,01590,31,Sumter,Alabama
AL,01600,56,Talladega,Alabama
AL,01610,48,Tallapoosa,Alabama
AL,01620,36,Tuscaloosa,Alabama
AL,01630,56,Walker,Alabama
AL,01640,36,Washington,Alabama
AL,01650,36,Wilcox,Alabama
AL,01660,46,Winston,Alabama
AR,04000,42,Arkansas,Arkansas
AR,04010,34,Ashley,Arkansas
AR,04020,34,Baxter,Arkansas
AR,04030,57,Benton,Arkansas
AR,04040,40,Boone,Arkansas
AR,04050,36,Bradley,Arkansas
AR,04060,52,Calhoun,Arkansas
AR,04070,54,Carroll,Arkansas
AR,04080,34,Chicot,Arkansas
AR,04090,49,Clark,Arkansas
AR,04100,28,Clay,Arkansas
AR,04110,51,Cleburne,Arkansas
AR,04120,34,Cleveland,Arkansas
AR,04130,36,Columbia,Arkansas
AR,04140,57,Conway,Arkansas
AR,04150,36,Craighead,Arkansas
AR,04160,41,Crawford,Arkansas
AR,04170,54,Crittenden,Arkansas
AR,04180,41,Cross,Arkansas
AR,04190,50,Dallas,Arkansas
AR,04200,32,Desha,Arkansas
AR,04210,24,Drew,Arkansas
AR,04220,46,Faulkner,Arkansas
AR,04230,51,Franklin,Arkansas
AR,04240,32,Fulton,Arkansas
AR,04250,48,Garland,Arkansas
AR,04260,56,Grant,Arkansas
AR,04270,45,Greene,Arkansas
AR,04280,37,Hempstead,Arkansas
AR,04290,57,Hot Spring,Arkansas
AR,04300,22,Howard,Arkansas
AR,04310,33,Independence,Arkansas
AR,04320,36,Izard,Arkansas
AR,04330,33,Jackson,Arkansas
AR,04340,41,Jefferson,Arkansas
AR,04350,43,Johnson,Arkansas
AR,04360,23,Lafayette,Arkansas
AR,04370,45,Lawrence,Arkansas
AR,04380,51,Lee,Arkansas
AR,04390,36,Lincoln,Arkansas
AR,04400,35,Little River,Arkansas
AR,04410,45,Logan,Arkansas
AR,04420,58,Lonoke,Arkansas
AR,04430,54,Madison,Arkansas
AR,04440,44,Marion,Arkansas
AR,04450,36,Miller,Arkansas
AR,04460,48,Mississippi,Arkansas
AR,04470,28,Monroe,Arkansas
AR,04480,49,Montgomery,Arkansas
AR,04490,43,Nevada,Arkansas
AR,04500,51,Newton,Arkansas
AR,04510,39,Ouachita,Arkansas
AR,04520,55,Perry,Arkansas
AR,04530,41,Phillips,Arkansas
AR,04540,42,Pike,Arkansas
AR,04550,54,Poinsett,Arkansas
AR,04560,24,Polk,Arkansas
AR,04570,40,Pope,Arkansas
AR,04580,47,Prairie,Arkansas
AR,04590,63,Pulaski,Arkansas
AR,04600,40,Randolph,Arkansas
AR,04610,51,St. Francis,Arkansas
AR,04620,62,Saline,Arkansas
AR,04630,44,Scott,Arkansas
AR,04640,39,Searcy,Arkansas
AR,04650,47,Sebastian,Arkansas
AR,04660,35,Sevier,Arkansas
AR,04670,26,Sharp,Arkansas
AR,04680,45,Stone,Arkansas
AR,04690,43,Union,Arkansas
