PDP_REGION_CODE,plans,median_premium,min_premium,max_premium,median_deductible
39,1,114.8,114.8,114.8,615.0
03,10,110.9,35.7,173.6,615.0
32,12,107.0,0.0,227.8,615.0
11,10,98.44999999999999,0.0,217.0,615.0
09,11,98.4,4.8,152.5,615.0
22,12,92.0,0.0,167.4,615.0
10,10,84.6,0.0,149.3,615.0
08,12,80.95,3.6,163.2,615.0
17,12,78.15,0.0,119.7,615.0
12,12,76.85,0.0,129.5,615.0
04,12,74.85,4.4,139.1,615.0
18,10,71.30000000000001,9.6,126.4,615.0
14,10,69.7,0.0,123.4,615.0
26,11,69.6,0.0,145.4,615.0
20,10,68.4,0.0,140.6,615.0
27,10,66.2,0.0,151.9,615.0
38,3,65.7,50.0,145.1,615.0
23,11,65.4,0.0,167.3,615.0
29,10,64.65,0.0,148.7,615.0
01,9,54.4,0.0,150.2,615.0
15,10,53.95,0.0,127.1,615.0
19,12,53.5,0.0,181.2,615.0
06,12,53.05,6.6,193.2,615.0
31,10,42.0,0.0,132.6,615.0
21,10,40.85,0.0,139.5,615.0
07,9,39.6,0.0,133.8,615.0
02,11,38.7,8.4,238.6,615.0
24,12,35.55,0.0,147.0,615.0
05,10,35.2,0.0,108.6,615.0
13,12,32.25,0.0,106.7,615.0
37,1,32.1,32.1,32.1,615.0
30,10,30.25,0.0,110.0,615.0
25,11,29.7,4.7,140.2,615.0
33,8,21.65,0.0,139.2,615.0
28,10,20.6,0.0,119.2,615.0
34,9,19.7,0.0,112.4,615.0
36,1,0.0,0.0,0.0,615.0
35,1,0.0,0.0,0.0,615.0
16,10,0.0,0.0,113.9,615.0
