RXCUI,rxnorm_name,formularies,ndcs,median_tier,ql_pct,pa_pct,st_pct
2392142,0.5 ML etanercept 50 MG/ML Injection [Enbrel],329,1,5.0,81.2,98.5,0.0
809159,0.5 ML etanercept 50 MG/ML Prefilled Syringe [Enbrel],329,1,5.0,81.2,98.5,0.0
1653225,1 ML etanercept 50 MG/ML Auto-Injector [Enbrel],329,1,5.0,80.9,98.5,0.0
2182340,1 ML etanercept 50 MG/ML Cartridge [Enbrel],329,1,5.0,80.9,98.5,0.0
802652,1 ML etanercept 50 MG/ML Prefilled Syringe [Enbrel],329,1,5.0,80.9,98.5,0.0
1653198,"3 ML insulin aspart, human 100 UNT/ML Cartridge [NovoLog]",329,1,3.0,33.7,0.0,0.6
1653204,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",329,1,3.0,33.7,0.0,0.6
2205454,"Niacinamide 3 ML insulin aspart, human 100 UNT/ML Cartridge [Fiasp]",329,1,3.0,33.7,0.0,0.6
1986356,"Niacinamide 3 ML insulin aspart, human 100 UNT/ML Pen Injector [Fiasp]",329,1,3.0,33.7,0.0,0.6
1986354,"Niacinamide insulin aspart, human 100 UNT/ML Injectable Solution [Fiasp]",329,1,3.0,33.7,27.7,0.6
1364441,apixaban 2.5 MG Oral Tablet [Eliquis],329,1,3.0,90.6,0.0,1.8
1364447,apixaban 5 MG Oral Tablet [Eliquis],329,1,3.0,92.4,0.0,1.8
1488569,dapagliflozin 10 MG Oral Tablet,329,1,3.0,94.8,0.0,0.9
1486977,dapagliflozin 10 MG Oral Tablet [Farxiga],329,1,3.0,95.1,0.0,1.2
1488574,dapagliflozin 5 MG Oral Tablet,329,1,3.0,95.7,0.0,0.9
1486981,dapagliflozin 5 MG Oral Tablet [Farxiga],329,1,3.0,97.0,0.0,1.2
1545664,empagliflozin 10 MG Oral Tablet [Jardiance],329,1,3.0,98.2,0.0,3.3
1545668,empagliflozin 25 MG Oral Tablet [Jardiance],329,1,3.0,96.0,0.0,3.3
1442992,ibrutinib 140 MG Oral Capsule [Imbruvica],329,1,5.0,94.8,99.1,0.0
2000019,ibrutinib 140 MG Oral Tablet [Imbruvica],329,1,5.0,92.4,99.1,0.0
2000023,ibrutinib 280 MG Oral Tablet [Imbruvica],329,1,5.0,92.4,99.1,0.0
2000027,ibrutinib 420 MG Oral Tablet [Imbruvica],329,1,5.0,88.4,99.1,0.0
1994362,ibrutinib 70 MG Oral Capsule [Imbruvica],329,1,5.0,94.8,99.1,0.0
2611540,ibrutinib 70 MG/ML Oral Suspension [Imbruvica],329,1,5.0,85.4,99.1,0.0
351926,"insulin aspart, human 100 UNT/ML Injectable Solution [NovoLog]",329,1,3.0,33.7,28.0,0.6
1114202,rivaroxaban 10 MG Oral Tablet [Xarelto],329,1,3.0,91.2,0.0,0.0
1232084,rivaroxaban 15 MG Oral Tablet [Xarelto],329,1,3.0,90.9,0.0,0.0
1232088,rivaroxaban 20 MG Oral Tablet [Xarelto],329,1,3.0,90.9,0.0,0.0
2679797,sacubitril 15 MG / valsartan 16 MG Oral Pellet [Entresto],329,1,3.0,90.6,0.9,0.0
2679802,sacubitril 6 MG / valsartan 6 MG Oral Pellet [Entresto],329,1,3.0,90.6,0.9,0.0
665036,sitagliptin phosphate 100 MG Oral Tablet [Januvia],329,1,3.0,96.4,0.3,0.0
665040,sitagliptin phosphate 25 MG Oral Tablet [Januvia],329,1,3.0,98.2,0.3,0.0
665044,sitagliptin phosphate 50 MG Oral Tablet [Januvia],329,1,3.0,98.2,0.3,0.0
1549683,{42 (rivaroxaban 15 MG Oral Tablet [Xarelto]) / 9 (rivaroxaban 20 MG Oral Tablet [Xarelto]) } Pack [Xarelto Kit],329,1,3.0,74.2,0.0,0.0
1992428,{74 (apixaban 5 MG Oral Tablet [Eliquis]) } Pack [Eliquis 30-Day Starter Pack],329,1,3.0,76.3,0.0,1.8
2059017,rivaroxaban 2.5 MG Oral Tablet [Xarelto],327,1,3.0,92.0,0.0,14.7
1654077,0.5 ML ustekinumab 90 MG/ML Injection,200,1,5.0,92.5,98.5,0.5
1654079,0.5 ML ustekinumab 90 MG/ML Injection [Stelara],199,1,5.0,93.0,99.0,0.5
2588066,rivaroxaban 1 MG/ML Oral Suspension [Xarelto],182,1,3.0,94.0,0.0,3.8
853350,0.5 ML ustekinumab 90 MG/ML Prefilled Syringe,169,1,5.0,91.1,98.2,0.6
853354,0.5 ML ustekinumab 90 MG/ML Prefilled Syringe [Stelara],168,1,5.0,92.3,98.8,0.6
853355,1 ML ustekinumab 90 MG/ML Prefilled Syringe,168,1,5.0,91.7,98.2,0.6
853356,1 ML ustekinumab 90 MG/ML Prefilled Syringe [Stelara],167,1,5.0,92.8,98.8,0.6
1656346,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto],74,1,3.0,97.3,0.0,4.1
1656351,sacubitril 49 MG / valsartan 51 MG Oral Tablet [Entresto],74,1,3.0,97.3,0.0,4.1
1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet [Entresto],74,1,3.0,97.3,0.0,4.1
