CONTRACT_ID|PLAN_ID|RXCUI|DISEASE
H1994|001|1745108|SPONDYLITIS, ANKYLOSING
H1994|001|1745114|SPONDYLITIS, ANKYLOSING
H1994|001|1876406|ASTHMA
H1994|001|1876406|PEMPHIGOID, BULLOUS
H1994|001|1876406|PRURIGO NODULARIS
H1994|001|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|001|1876406|URTICARIA
H1994|001|2197890|CATAPLEXY
H1994|001|2197890|NARCOLEPSY
H1994|001|2197894|CATAPLEXY
H1994|001|2197894|NARCOLEPSY
H1994|001|2282320|MIGRAINE DISORDERS
H1994|001|2375329|ASTHMA
H1994|001|2375329|PEMPHIGOID, BULLOUS
H1994|001|2375329|PRURIGO NODULARIS
H1994|001|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|001|2375329|URTICARIA
H1994|012|1745108|SPONDYLITIS, ANKYLOSING
H1994|012|1745114|SPONDYLITIS, ANKYLOSING
H1994|012|1876406|ASTHMA
H1994|012|1876406|PEMPHIGOID, BULLOUS
H1994|012|1876406|PRURIGO NODULARIS
H1994|012|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|012|1876406|URTICARIA
H1994|012|2197890|CATAPLEXY
H1994|012|2197890|NARCOLEPSY
H1994|012|2197894|CATAPLEXY
H1994|012|2197894|NARCOLEPSY
H1994|012|2282320|MIGRAINE DISORDERS
H1994|012|2375329|ASTHMA
H1994|012|2375329|PEMPHIGOID, BULLOUS
H1994|012|2375329|PRURIGO NODULARIS
H1994|012|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|012|2375329|URTICARIA
H1994|015|1745108|SPONDYLITIS, ANKYLOSING
H1994|015|1745114|SPONDYLITIS, ANKYLOSING
H1994|015|1876406|ASTHMA
H1994|015|1876406|PEMPHIGOID, BULLOUS
H1994|015|1876406|PRURIGO NODULARIS
H1994|015|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|015|1876406|URTICARIA
H1994|015|2197890|CATAPLEXY
H1994|015|2197890|NARCOLEPSY
H1994|015|2197894|CATAPLEXY
H1994|015|2197894|NARCOLEPSY
H1994|015|2282320|MIGRAINE DISORDERS
H1994|015|2375329|ASTHMA
H1994|015|2375329|PEMPHIGOID, BULLOUS
H1994|015|2375329|PRURIGO NODULARIS
H1994|015|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|015|2375329|URTICARIA
H1994|017|1745108|SPONDYLITIS, ANKYLOSING
H1994|017|1745114|SPONDYLITIS, ANKYLOSING
H1994|017|1876406|ASTHMA
H1994|017|1876406|PEMPHIGOID, BULLOUS
H1994|017|1876406|PRURIGO NODULARIS
H1994|017|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|017|1876406|URTICARIA
H1994|017|2197890|CATAPLEXY
H1994|017|2197890|NARCOLEPSY
H1994|017|2197894|CATAPLEXY
H1994|017|2197894|NARCOLEPSY
H1994|017|2282320|MIGRAINE DISORDERS
H1994|017|2375329|ASTHMA
H1994|017|2375329|PEMPHIGOID, BULLOUS
H1994|017|2375329|PRURIGO NODULARIS
H1994|017|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|017|2375329|URTICARIA
H1994|021|1745108|SPONDYLITIS, ANKYLOSING
H1994|021|1745114|SPONDYLITIS, ANKYLOSING
H1994|021|1876406|ASTHMA
H1994|021|1876406|PEMPHIGOID, BULLOUS
H1994|021|1876406|PRURIGO NODULARIS
H1994|021|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|021|1876406|URTICARIA
H1994|021|2197890|CATAPLEXY
H1994|021|2197890|NARCOLEPSY
H1994|021|2197894|CATAPLEXY
H1994|021|2197894|NARCOLEPSY
H1994|021|2282320|MIGRAINE DISORDERS
H1994|021|2375329|ASTHMA
H1994|021|2375329|PEMPHIGOID, BULLOUS
H1994|021|2375329|PRURIGO NODULARIS
H1994|021|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|021|2375329|URTICARIA
H1994|022|1745108|SPONDYLITIS, ANKYLOSING
H1994|022|1745114|SPONDYLITIS, ANKYLOSING
H1994|022|1876406|ASTHMA
H1994|022|1876406|PEMPHIGOID, BULLOUS
H1994|022|1876406|PRURIGO NODULARIS
H1994|022|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|022|1876406|URTICARIA
H1994|022|2197890|CATAPLEXY
H1994|022|2197890|NARCOLEPSY
H1994|022|2197894|CATAPLEXY
H1994|022|2197894|NARCOLEPSY
H1994|022|2282320|MIGRAINE DISORDERS
H1994|022|2375329|ASTHMA
H1994|022|2375329|PEMPHIGOID, BULLOUS
H1994|022|2375329|PRURIGO NODULARIS
H1994|022|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|022|2375329|URTICARIA
H1994|027|1745108|SPONDYLITIS, ANKYLOSING
H1994|027|1745114|SPONDYLITIS, ANKYLOSING
H1994|027|1876406|ASTHMA
H1994|027|1876406|PEMPHIGOID, BULLOUS
H1994|027|1876406|PRURIGO NODULARIS
H1994|027|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|027|1876406|URTICARIA
H1994|027|2197890|CATAPLEXY
H1994|027|2197890|NARCOLEPSY
H1994|027|2197894|CATAPLEXY
H1994|027|2197894|NARCOLEPSY
H1994|027|2282320|MIGRAINE DISORDERS
H1994|027|2375329|ASTHMA
H1994|027|2375329|PEMPHIGOID, BULLOUS
H1994|027|2375329|PRURIGO NODULARIS
H1994|027|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|027|2375329|URTICARIA
H1994|029|1745108|SPONDYLITIS, ANKYLOSING
H1994|029|1745114|SPONDYLITIS, ANKYLOSING
H1994|029|1876406|ASTHMA
H1994|029|1876406|PEMPHIGOID, BULLOUS
H1994|029|1876406|PRURIGO NODULARIS
H1994|029|1876406|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|029|1876406|URTICARIA
H1994|029|2197890|CATAPLEXY
H1994|029|2197890|NARCOLEPSY
H1994|029|2197894|CATAPLEXY
H1994|029|2197894|NARCOLEPSY
H1994|029|2282320|MIGRAINE DISORDERS
H1994|029|2375329|ASTHMA
H1994|029|2375329|PEMPHIGOID, BULLOUS
H1994|029|2375329|PRURIGO NODULARIS
H1994|029|2375329|PULMONARY DISEASE, CHRONIC OBSTRUCTIVE
H1994|029|2375329|URTICARIA
H1994|030|1745108|SPONDYLITIS, ANKYLOSING
H1994|030|1745114|SPONDYLITIS, ANKYLOSING
H1994|030|1876406|ASTHMA
H1994|030|1876406|PEMPHIGOID, BULLOUS
H1994|030|1876406|PRURIGO NODULARIS
