FORMULARY_ID|FORMULARY_VERSION|CONTRACT_YEAR|RXCUI|NDC|TIER_LEVEL_VALUE|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTHORIZATION_YN|STEP_THERAPY_YN|SELECTED_DRUG_YN
00026000|16|2026|1551300|00002143380|3|Y|2|28|Y|N|N
00026000|16|2026|1551306|00002143480|3|Y|2|28|Y|N|N
00026000|16|2026|2058877|00002143611|3|Y|2|28|Y|N|N
00026000|16|2026|2601758|00002145780|3|Y|2|28|Y|N|N
00026000|16|2026|2601776|00002146080|3|Y|2|28|Y|N|N
00026000|16|2026|2601770|00002147180|3|Y|2|28|Y|N|N
00026000|16|2026|2601785|00002148480|3|Y|2|28|Y|N|N
00026000|16|2026|2601746|00002149580|3|Y|2|28|Y|N|N
00026000|16|2026|2601764|00002150680|3|Y|2|28|Y|N|N
00026000|16|2026|2725923|00002171756|5|Y|90|30|Y|N|N
00026000|16|2026|2395779|00002223680|3|Y|2|28|Y|N|N
00026000|16|2026|2058887|00002237711|3|Y|2|28|Y|N|N
00026000|16|2026|2170613|00002311509|4|Y|3|28|Y|N|N
00026000|16|2026|2395785|00002318280|3|Y|2|28|Y|N|N
00026000|16|2026|1946836|00002448354|5|Y|56|28|Y|N|N
00026000|16|2026|1946840|00002481554|5|Y|56|28|Y|N|N
00026000|16|2026|1946844|00002533754|5|Y|56|28|Y|N|N
00026000|16|2026|2679814|00002534060|5|Y|90|30|Y|N|N
00026000|16|2026|2679812|00002556260|5|Y|60|30|Y|N|N
00026000|16|2026|2679816|00002608260|5|Y|60|30|Y|N|N
00026000|16|2026|2679808|00002612060|5|Y|60|30|Y|N|N
00026000|16|2026|1946848|00002621654|5|Y|56|28|Y|N|N
00026000|16|2026|2629353|00002690230|5|Y|30|30|Y|N|N
00026000|16|2026|2629349|00002702660|5|Y|90|30|Y|N|N
00026000|16|2026|865098|00002751001|3|N| | |N|N|N
00026000|16|2026|752388|00002751101|3|N| | |N|N|N
00026000|16|2026|1652646|00002751659|3|N| | |N|N|N
00026000|16|2026|1652242|00002771227|3|N| | |N|N|N
00026000|16|2026|1926332|00002771459|3|N| | |N|N|N
00026000|16|2026|2380236|00002772801|3|N| | |N|N|N
00026000|16|2026|242120|00002773701|3|N| | |N|N|N
00026000|16|2026|1926331|00002775205|3|N| | |N|N|N
00026000|16|2026|2693907|00002777211|5|N| | |Y|N|N
00026000|16|2026|2693791|00002779711|5|N| | |Y|N|N
00026000|16|2026|2380260|00002820705|3|N| | |N|N|N
00026000|16|2026|311036|00002821501|3|N| | |N|N|N
00026000|16|2026|1652639|00002822259|3|N| | |N|N|N
00026000|16|2026|2380256|00002822827|3|N| | |N|N|N
00026000|16|2026|847252|00002823305|3|N| | |N|N|N
00026000|16|2026|311026|00002831501|3|N| | |N|N|N
00026000|16|2026|106892|00002871501|3|N| | |N|N|N
00026000|16|2026|847254|00002879759|3|N| | |N|N|N
00026000|16|2026|847213|00002879859|3|N| | |N|N|N
00026000|16|2026|1652640|00002879959|3|N| | |N|N|N
00026000|16|2026|847189|00002880359|3|N| | |N|N|N
00026000|16|2026|847199|00002880559|3|N| | |N|N|N
00026000|16|2026|1731317|00002882427|3|N| | |N|N|N
00026000|16|2026|2694850|00003005060|5|Y|60|30|Y|N|N
00026000|16|2026|2694855|00003012560|5|Y|60|30|Y|N|N
00026000|16|2026|1364441|00003089321|3|Y|60|30|N|N|Y
