CONTRACT_ID|PLAN_ID|RXCUI|TIER|QUANTITY_LIMIT_YN|QUANTITY_LIMIT_AMOUNT|QUANTITY_LIMIT_DAYS|PRIOR_AUTH_YN|STEP_THERAPY_YN|CAPPED_BENEFIT_YN
H0028|007|312950|1|1|6|30|N|N|N
H0028|007|1367410|1|0| | |N|N|N
H0028|007|310410|1|0| | |N|N|N
H0028|007|314228|1|1|6|30|N|N|N
H0028|007|309594|1|0| | |N|N|N
H0028|007|314229|1|1|6|30|N|N|N
H0028|014|312950|1|1|6|30|N|N|N
H0028|014|1367410|1|0| | |N|N|N
H0028|014|310410|1|0| | |N|N|N
H0028|014|314228|1|1|6|30|N|N|N
H0028|014|309594|1|0| | |N|N|N
H0028|014|314229|1|1|6|30|N|N|N
H0028|015|312950|1|1|6|30|N|N|N
H0028|015|1367410|1|0| | |N|N|N
H0028|015|310410|1|0| | |N|N|N
H0028|015|314228|1|1|6|30|N|N|N
H0028|015|309594|1|0| | |N|N|N
H0028|015|314229|1|1|6|30|N|N|N
H0028|016|312950|1|1|6|30|N|N|N
H0028|016|1367410|1|0| | |N|N|N
H0028|016|310410|1|0| | |N|N|N
H0028|016|314228|1|1|6|30|N|N|N
H0028|016|309594|1|0| | |N|N|N
H0028|016|314229|1|1|6|30|N|N|N
H0028|017|312950|1|1|6|30|N|N|N
H0028|017|1367410|1|0| | |N|N|N
H0028|017|310410|1|0| | |N|N|N
H0028|017|314228|1|1|6|30|N|N|N
H0028|017|309594|1|0| | |N|N|N
H0028|017|314229|1|1|6|30|N|N|N
H0028|019|312950|1|1|6|30|N|N|N
H0028|019|1367410|1|0| | |N|N|N
H0028|019|310410|1|0| | |N|N|N
H0028|019|314228|1|1|6|30|N|N|N
H0028|019|309594|1|0| | |N|N|N
H0028|019|314229|1|1|6|30|N|N|N
H0028|021|312950|1|1|6|30|N|N|N
H0028|021|1367410|1|0| | |N|N|N
H0028|021|310410|1|0| | |N|N|N
H0028|021|314228|1|1|6|30|N|N|N
H0028|021|309594|1|0| | |N|N|N
H0028|021|314229|1|1|6|30|N|N|N
H0028|024|312950|1|1|6|30|N|N|N
H0028|024|1367410|1|0| | |N|N|N
H0028|024|310410|1|0| | |N|N|N
H0028|024|314228|1|1|6|30|N|N|N
H0028|024|309594|1|0| | |N|N|N
H0028|024|314229|1|1|6|30|N|N|N
H0028|028|312950|1|1|6|30|N|N|N
H0028|028|1367410|1|0| | |N|N|N
H0028|028|310410|1|0| | |N|N|N
H0028|028|314228|1|1|6|30|N|N|N
H0028|028|309594|1|0| | |N|N|N
H0028|028|314229|1|1|6|30|N|N|N
H0028|051|312950|1|1|6|30|N|N|N
H0028|051|1367410|1|0| | |N|N|N
H0028|051|310410|1|0| | |N|N|N
H0028|051|314228|1|1|6|30|N|N|N
H0028|051|309594|1|0| | |N|N|N
H0028|051|314229|1|1|6|30|N|N|N
H0028|053|312950|1|1|6|30|N|N|N
H0028|053|1367410|1|0| | |N|N|N
H0028|053|310410|1|0| | |N|N|N
H0028|053|314228|1|1|6|30|N|N|N
H0028|053|309594|1|0| | |N|N|N
H0028|053|314229|1|1|6|30|N|N|N
H0028|054|312950|1|1|6|30|N|N|N
H0028|054|1367410|1|0| | |N|N|N
H0028|054|310410|1|0| | |N|N|N
H0028|054|314228|1|1|6|30|N|N|N
H0028|054|309594|1|0| | |N|N|N
H0028|054|314229|1|1|6|30|N|N|N
H0028|055|312950|1|1|6|30|N|N|N
H0028|055|1367410|1|0| | |N|N|N
H0028|055|310410|1|0| | |N|N|N
H0028|055|314228|1|1|6|30|N|N|N
H0028|055|309594|1|0| | |N|N|N
H0028|055|314229|1|1|6|30|N|N|N
H0028|056|312950|1|1|6|30|N|N|N
H0028|056|1367410|1|0| | |N|N|N
H0028|056|310410|1|0| | |N|N|N
H0028|056|314228|1|1|6|30|N|N|N
H0028|056|309594|1|0| | |N|N|N
H0028|056|314229|1|1|6|30|N|N|N
H0028|062|312950|1|1|6|30|N|N|N
H0028|062|1367410|1|0| | |N|N|N
H0028|062|310410|1|0| | |N|N|N
H0028|062|314228|1|1|6|30|N|N|N
H0028|062|309594|1|0| | |N|N|N
H0028|062|314229|1|1|6|30|N|N|N
H0028|063|312950|1|1|6|30|N|N|N
H0028|063|1367410|1|0| | |N|N|N
H0028|063|310410|1|0| | |N|N|N
H0028|063|314228|1|1|6|30|N|N|N
H0028|063|309594|1|0| | |N|N|N
H0028|063|314229|1|1|6|30|N|N|N
H0028|065|312950|1|1|6|30|N|N|N
H0028|065|1367410|1|0| | |N|N|N
H0028|065|310410|1|0| | |N|N|N
H0028|065|314228|1|1|6|30|N|N|N
H0028|065|309594|1|0| | |N|N|N
H0028|065|314229|1|1|6|30|N|N|N
H0028|066|312950|1|1|6|30|N|N|N
H0028|066|1367410|1|0| | |N|N|N
H0028|066|310410|1|0| | |N|N|N
H0028|066|314228|1|1|6|30|N|N|N
H0028|066|309594|1|0| | |N|N|N
H0028|066|314229|1|1|6|30|N|N|N
H0028|067|312950|1|1|6|30|N|N|N
H0028|067|1367410|1|0| | |N|N|N
H0028|067|310410|1|0| | |N|N|N
H0028|067|314228|1|1|6|30|N|N|N
H0028|067|309594|1|0| | |N|N|N
H0028|067|314229|1|1|6|30|N|N|N
H0028|074|312950|1|1|6|30|N|N|N
H0028|074|1367410|1|0| | |N|N|N
H0028|074|310410|1|0| | |N|N|N
H0028|074|314228|1|1|6|30|N|N|N
H0028|074|309594|1|0| | |N|N|N
H0028|074|314229|1|1|6|30|N|N|N
H0028|076|312950|1|1|6|30|N|N|N
H0028|076|1367410|1|0| | |N|N|N
H0028|076|310410|1|0| | |N|N|N
H0028|076|314228|1|1|6|30|N|N|N
H0028|076|309594|1|0| | |N|N|N
H0028|076|314229|1|1|6|30|N|N|N
H0028|077|312950|1|1|6|30|N|N|N
H0028|077|1367410|1|0| | |N|N|N
H0028|077|310410|1|0| | |N|N|N
H0028|077|314228|1|1|6|30|N|N|N
H0028|077|309594|1|0| | |N|N|N
