CONTRACT_ID|PLAN_ID|SEGMENT_ID|TIER|DAYS_SUPPLY|copay_amt_pref_insln|copay_amt_nonpref_insln|copay_amt_mail_pref_insln|copay_amt_mail_nonpref_insln|coin_amt_pref_insln|coin_amt_nonpref_insln|coin_amt_mail_pref_insln|coin_amt_mail_nonpref_insln
H0028|007|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|007|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|007|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|007|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|007|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|007|000|3|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|007|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|007|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|007|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|014|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|014|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|014|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|014|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|014|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|014|000|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|014|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|014|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|014|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|015|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|015|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|015|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|015|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|015|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|015|000|3|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|015|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|015|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|015|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|016|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|016|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|016|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|016|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|016|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|016|000|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|016|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|016|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|016|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|017|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|017|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|017|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|017|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|017|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|017|000|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|017|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|017|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|017|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|019|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|019|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|019|000|2|1| |8.00|8.00|20.00| |0.25|0.25|0.25
H0028|019|000|2|2| |24.00|0.00|60.00| |0.25|0.00|0.25
H0028|019|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|019|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|019|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|019|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|019|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|021|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|021|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|021|000|2|1| |8.00|8.00|20.00| |0.25|0.25|0.25
H0028|021|000|2|2| |24.00|0.00|60.00| |0.25|0.00|0.25
H0028|021|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|021|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|021|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|021|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|021|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|024|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|024|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|024|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|024|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|024|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|024|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|024|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|024|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|024|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|028|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|028|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|028|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|028|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|028|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|028|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|028|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|028|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|028|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|029|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|029|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|029|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|029|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|029|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|029|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|029|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|029|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|029|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|030|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|030|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|030|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|030|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|030|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|030|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|030|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|030|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|030|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|032|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|032|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|032|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|032|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|032|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|032|000|3|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|032|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|032|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|032|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|035|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|035|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|035|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|035|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|035|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|035|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|035|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|035|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|035|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|036|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|036|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|036|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|036|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|036|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|036|000|3|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|036|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|036|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|036|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|037|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|037|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|037|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|037|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|037|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|037|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|037|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|037|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|037|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|039|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|039|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|039|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|039|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|039|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|039|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|039|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|039|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|039|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|039|000|6|1| |0.00|0.00|0.00| |0.00|0.00|0.00
H0028|039|000|6|2| |0.00|0.00|0.00| |0.00|0.00|0.00
H0028|041|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|041|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|041|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|041|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|041|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|041|000|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|041|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|041|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|041|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|042|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|042|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|042|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|042|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|042|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|042|000|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|042|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|042|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|042|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|001|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|043|001|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|043|001|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|043|001|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|043|001|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|001|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|043|001|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|001|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|043|001|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|002|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|043|002|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|043|002|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|043|002|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|043|002|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|002|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|043|002|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|043|002|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|043|002|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|046|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|046|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|046|000|2|1| |0.00|0.00|20.00| |0.00|0.00|0.25
H0028|046|000|2|2| |0.00|0.00|60.00| |0.00|0.00|0.25
H0028|046|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|046|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|046|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|046|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|046|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|051|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|051|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|051|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|051|000|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|051|000|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|051|000|3|2| |105.00|70.00|105.00| |0.25|0.25|0.25
H0028|051|000|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|051|000|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|051|000|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|051|000|6|1| |0.00|0.00|0.00| |0.00|0.00|0.00
H0028|051|000|6|2| |0.00|0.00|0.00| |0.00|0.00|0.00
H0028|053|001|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|053|001|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|053|001|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|053|001|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|053|001|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|053|001|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|053|001|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|053|001|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|053|001|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|053|003|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|053|003|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|053|003|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|053|003|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|053|003|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|053|003|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|053|003|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|053|003|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|053|003|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|001|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|054|001|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|054|001|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|054|001|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|054|001|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|001|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|054|001|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|001|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|054|001|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|002|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|054|002|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|054|002|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
H0028|054|002|2|2| |15.00|0.00|60.00| |0.25|0.00|0.25
H0028|054|002|3|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|002|3|2| |105.00|95.00|105.00| |0.25|0.25|0.25
H0028|054|002|4|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|054|002|4|2| |105.00|105.00|105.00| |0.25|0.25|0.25
H0028|054|002|5|1| |35.00|35.00|35.00| |0.25|0.25|0.25
H0028|055|000|1|1| |0.00|0.00|10.00| |0.00|0.00|0.25
H0028|055|000|1|2| |0.00|0.00|30.00| |0.00|0.00|0.25
H0028|055|000|2|1| |5.00|5.00|20.00| |0.25|0.25|0.25
