rank,company,ticker,currency,revenue_reported,net_income_reported,fx_per_usd,revenue_usd,net_income_usd,form,filed,period_start,period_end,rev_tag,ni_tag,source_url,companyfacts_url
1,Johnson & Johnson,JNJ,USD,94193000000,26804000000,1.0,94193000000.0,26804000000.0,10-K,2026-02-11,2024-12-30,2025-12-28,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json
2,Eli Lilly,LLY,USD,65179000000,20640000000,1.0,65179000000.0,20640000000.0,10-K,2026-02-12,2025-01-01,2025-12-31,Revenues,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/lly-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000059478.json
3,Merck & Co.,MRK,USD,65011000000,18263000000,1.0,65011000000.0,18263000000.0,10-K,2026-02-24,2025-01-01,2025-12-31,Revenues,ProfitLoss,https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000310158.json
4,Pfizer,PFE,USD,62579000000,7771000000,1.0,62579000000.0,7771000000.0,10-K,2026-02-26,2025-01-01,2025-12-31,Revenues,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000078003.json
5,AbbVie,ABBV,USD,61160000000,4226000000,1.0,61160000000.0,4226000000.0,10-K,2026-02-20,2025-01-01,2025-12-31,Revenues,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json
6,AstraZeneca,AZN,USD,58739000000,10225000000,1.0,58739000000.0,10225000000.0,20-F,2026-02-24,2025-01-01,2025-12-31,Revenue,ProfitLossAttributableToOwnersOfParent,https://www.sec.gov/Archives/edgar/data/901832/000110465926019130/azn-20251231x20f.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000901832.json
7,Novartis,NVS,USD,54532000000,13984000000,1.0,54532000000.0,13984000000.0,20-F,2026-02-04,2025-01-01,2025-12-31,RevenueFromSaleOfGoods,ProfitLossAttributableToOwnersOfParent,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000004/nvs-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001114448.json
8,Sanofi,SNY,EUR,43626000000,7813000000,0.886,49239277652.3702,8818284424.379232,20-F,2026-02-17,2025-01-01,2025-12-31,RevenueFromSaleOfGoods,ProfitLossAttributableToOwnersOfParent,https://www.sec.gov/Archives/edgar/data/1121404/000162828026008403/sny-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0001121404.json
9,Bristol Myers Squibb,BMY,USD,48194000000,7054000000,1.0,48194000000.0,7054000000.0,10-K,2026-02-11,2025-01-01,2025-12-31,Revenues,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000014272.json
10,Novo Nordisk,NVO,DKK,309064000000,102434000000,6.617,46707571406.98202,15480429197.521536,20-F,2026-02-04,2025-01-01,2025-12-31,Revenue,ProfitLoss,https://www.sec.gov/Archives/edgar/data/353278/000035327826000012/nvo-20251231_d2.htm,https://data.sec.gov/api/xbrl/companyfacts/CIK0000353278.json
