group,state,url,source_role,depth,seed_url,status,http_status,content_type,raw_path,text_path,title,error_or_gap_reason,text_chars,therapy_hits,rationale_hits
group-b,Illinois,https://govappointments.illinois.gov/boardsandcommissions/details/?id=1516cb5e-2007-ee11-8f6d-001dd8068008,capped-crawl seed follow-up,0,https://govappointments.illinois.gov/boardsandcommissions/details/?id=1516cb5e-2007-ee11-8f6d-001dd8068008,collected,200,text/html; charset=utf-8,raw/illinois/illinois__details-d6ff81f9__4a95a1d1d1.html,text/illinois/illinois__details-d6ff81f9__4a95a1d1d1.txt,"Boards and Commissions Details 
- Appointments",,4392,oncology_rare_specialty; infectious_disease,public_manufacturer_input; final_implementation
group-b,Illinois,https://hfs.illinois.gov/medicalproviders/pharmacy/committeeondrugsandtherapeutics.html,capped-crawl seed follow-up,0,https://hfs.illinois.gov/medicalproviders/pharmacy/committeeondrugsandtherapeutics.html,collected,200,text/html;charset=utf-8,raw/illinois/illinois__committeeondrugsandtherapeutics.html__9fbd831e1c.html,text/illinois/illinois__committeeondrugsandtherapeutics.html__9fbd831e1c.txt,Drugs and Therapeutics Advisory Board Agenda Request | HFS,,5847,infectious_disease,clinical_efficacy_safety; public_manufacturer_input; final_implementation
group-b,Illinois,https://hfs.illinois.gov/medicalproviders/pharmacy/pdlbackground.html,capped-crawl seed follow-up,0,https://hfs.illinois.gov/medicalproviders/pharmacy/pdlbackground.html,collected,200,text/html;charset=utf-8,raw/illinois/illinois__pdlbackground.html__adad75b814.html,text/illinois/illinois__pdlbackground.html__adad75b814.txt,PDL Background | HFS,,3604,infectious_disease,clinical_efficacy_safety; comparative_class_review; utilization_controls; cost_rebate; final_implementation
group-b,Indiana,https://www.in.gov/fssa/ompp/advisory-committees/ompp-meetings-and-agendas/,capped-crawl seed follow-up,0,https://www.in.gov/fssa/ompp/advisory-committees/ompp-meetings-and-agendas/,collected,200,text/html; charset=UTF-8,raw/indiana/indiana__ompp-meetings-and-agendas__3c10aebdd6.html,text/indiana/indiana__ompp-meetings-and-agendas__3c10aebdd6.txt,FSSA: Medicaid Policy: OMPP Meetings and Agendas IN.gov,,11277,,public_manufacturer_input
group-b,Indiana,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/,capped-crawl seed follow-up,0,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/,collected,200,text/html; charset=UTF-8,raw/indiana/indiana__pharmacy-benefits__f884840604.html,text/indiana/indiana__pharmacy-benefits__f884840604.txt,Indiana Medicaid: Providers: Pharmacy Benefits IN.gov,,20391,diabetes_glp1_obesity; oud_pain,clinical_efficacy_safety; pa_step_criteria; utilization_controls; cost_rebate; public_manufacturer_input; final_implementation
group-b,Indiana,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,capped-crawl seed follow-up,0,https://www.in.gov/medicaid/providers/clinical-services/pharmacy-benefits/pharmacy-services/,collected,200,text/html; charset=UTF-8,raw/indiana/indiana__pharmacy-services__c59dce60b0.html,text/indiana/indiana__pharmacy-services__c59dce60b0.txt,Indiana Medicaid: Providers: Pharmacy Services IN.gov,,22103,diabetes_glp1_obesity; oud_pain,clinical_efficacy_safety; pa_step_criteria; utilization_controls; cost_rebate; public_manufacturer_input; final_implementation
group-b,Indiana,https://www.law.cornell.edu/regulations/indiana/405-IAC-14-2-61,capped-crawl seed follow-up,0,https://www.law.cornell.edu/regulations/indiana/405-IAC-14-2-61,collected,200,text/html; charset=utf-8,raw/indiana/indiana__405-iac-14-2-61__b88278e525.html,text/indiana/indiana__405-iac-14-2-61__b88278e525.txt,405 IAC 14-2-61 - Drug coverage | State Regulations | US Law | LII / Legal Information Institute,,4516,oncology_rare_specialty,clinical_efficacy_safety; pa_step_criteria; utilization_controls; cost_rebate; final_implementation
group-b,Iowa,https://hhs.iowa.gov/medicaid/provider-services/medicaid-pharmacy,capped-crawl seed follow-up,0,https://hhs.iowa.gov/medicaid/provider-services/medicaid-pharmacy,collected,200,text/html; charset=UTF-8,raw/iowa/iowa__medicaid-pharmacy__69f89c9cfa.html,text/iowa/iowa__medicaid-pharmacy__69f89c9cfa.txt,Medicaid Pharmacy | Health & Human Services,,6593,diabetes_glp1_obesity; oncology_rare_specialty; oud_pain; infectious_disease,clinical_efficacy_safety; pa_step_criteria; utilization_controls; cost_rebate; public_manufacturer_input; final_implementation
group-b,Iowa,https://www.iowamedicaidpdl.com/pt-committee-public-comments/pt-committee-info.html,capped-crawl seed follow-up,0,https://www.iowamedicaidpdl.com/pt-committee-public-comments/pt-committee-info.html,collected,200,text/html;charset=utf-8,raw/iowa/iowa__pt-committee-info.html__4bc424a83b.html,text/iowa/iowa__pt-committee-info.html__4bc424a83b.txt,P&T Committee Information,,3819,,pa_step_criteria; cost_rebate; final_implementation
group-b,Iowa,https://www.iowamedicaidpdl.com/pt-committee-public-comments/public-comments.html,capped-crawl seed follow-up,0,https://www.iowamedicaidpdl.com/pt-committee-public-comments/public-comments.html,collected,200,text/html;charset=utf-8,raw/iowa/iowa__public-comments.html__7ff7033eba.html,text/iowa/iowa__public-comments.html__7ff7033eba.txt,Public Comments,,5613,,clinical_efficacy_safety; pa_step_criteria; cost_rebate; public_manufacturer_input
group-b,Kansas,https://www.coronavirus.kdheks.gov/202/Drug-Utilization-Review-Board,capped-crawl seed follow-up,0,https://www.coronavirus.kdheks.gov/202/Drug-Utilization-Review-Board,collected,200,text/html; charset=utf-8,raw/kansas/kansas__drug-utilization-review-board__e3466b3321.html,text/kansas/kansas__drug-utilization-review-board__e3466b3321.txt,"Drug Utilization Review Board | KDHE, KS Arrow Left Arrow Right Slideshow Left Arrow Slideshow Right Arrow",,5139,,clinical_efficacy_safety; pa_step_criteria; utilization_controls; public_manufacturer_input; final_implementation
