state,url,source_role,status,content_type,error,raw_path,text_path,text_bytes
Alabama,https://www.medicaid.alabama.gov/content/2.0_Newsroom/2.2_Boards_Committees/2.2.3_BAC_MAC.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__2-2-3-bac-mac-aspx__35da3e8eb0.html,text/alabama/alabama__2-2-3-bac-mac-aspx__35da3e8eb0.txt,12103
Alabama,https://www.medicaid.alabama.gov/content/2.0_Newsroom/2.2_Boards_Committees.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__2-2-boards-committees-aspx__f1fb270b50.html,text/alabama/alabama__2-2-boards-committees-aspx__f1fb270b50.txt,12177
Alabama,https://www.medicaid.alabama.gov/documents/2.0_Newsroom/2.3_Publications/2.3.2_Annual_Report_Archive/2.3.2_FY23_Annual_Report.pdf,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,application/pdf,,raw/alabama/alabama__2-3-2-fy23-annual-report-pdf__8104449075.pdf,text/alabama/alabama__2-3-2-fy23-annual-report-pdf__8104449075.txt,27960
Alabama,https://www.medicaid.alabama.gov/content/2.0_Newsroom/2.5_Media_Library.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__2-5-media-library-aspx__297b087707.html,text/alabama/alabama__2-5-media-library-aspx__297b087707.txt,10325
Alabama,https://www.medicaid.alabama.gov/content/2.0_Newsroom/2.7_Special_Initiatives/2.7.3_Access.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__2-7-3-access-aspx__4aadb9d5c4.html,text/alabama/alabama__2-7-3-access-aspx__4aadb9d5c4.txt,10920
Alabama,https://www.medicaid.alabama.gov/content/2.0_Newsroom/2.9_CMS_Required_Reports/2.9.1_Prior_Authorization_Metrics.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__2-9-1-prior-authorization-metrics-aspx__8fe5d4d7b8.html,text/alabama/alabama__2-9-1-prior-authorization-metrics-aspx__8fe5d4d7b8.txt,13539
Alabama,https://www.medicaid.alabama.gov/documents/4.0_Programs/4.1_Covered_Services/4.1_Copayments_Handout_9-23-24.pdf,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,,,URLError: <urlopen error _ssl.c:989: The handshake operation timed out>,raw/alabama/alabama__4-1-copayments-handout-9-23-24-pdf__21e43a80bd.error.txt,text/alabama/alabama__4-1-copayments-handout-9-23-24-pdf__21e43a80bd.error.txt,372
Alabama,https://www.medicaid.alabama.gov/documents/4.0_Programs/4.1_Covered_Services/4.1_Medicaid_Non_Covered_Services_Updated_5-21-23.pdf,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,application/pdf,,raw/alabama/alabama__4-1-medicaid-non-covered-services-updated-5-21-23-pdf__e219e1f319.pdf,text/alabama/alabama__4-1-medicaid-non-covered-services-updated-5-21-23-pdf__e219e1f319.txt,1433
Alabama,https://www.medicaid.alabama.gov/documents/4.0_Programs/4.1_Covered_Services/4.1_Telemedicine_Policy_Updated_5-26-23.pdf,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,application/pdf,,raw/alabama/alabama__4-1-telemedicine-policy-updated-5-26-23-pdf__b46cf94876.pdf,text/alabama/alabama__4-1-telemedicine-policy-updated-5-26-23-pdf__b46cf94876.txt,22023
Alabama,https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.1_AAC.aspx,linked from https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,200,text/html; charset=utf-8,,raw/alabama/alabama__4-3-1-aac-aspx__edd13594c2.html,text/alabama/alabama__4-3-1-aac-aspx__edd13594c2.txt,11329
