state,url,source_role,crawl_depth,status,content_type,error,raw_path,text_path
Alabama,https://www.medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee.aspx,seed,0,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)>,raw/alabama/alabama__4-3-6-pandt-committee-aspx__f96e127e2d.error.txt,text/alabama/alabama__4-3-6-pandt-committee-aspx__f96e127e2d.error.txt
Alabama,https://medicaid.alabama.gov/content/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee/4.3.6.1_PnT_Meetings.aspx,seed,0,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)>,raw/alabama/alabama__4-3-6-1-pnt-meetings-aspx__79beff784d.error.txt,text/alabama/alabama__4-3-6-1-pnt-meetings-aspx__79beff784d.error.txt
Alabama,https://medicaid.alabama.gov/content/4.0_programs/4.3_Pharmacy-DME/4.3.7_Preferred_Drug_List.aspx,seed,0,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)>,raw/alabama/alabama__4-3-7-preferred-drug-list-aspx__50caac8b80.error.txt,text/alabama/alabama__4-3-7-preferred-drug-list-aspx__50caac8b80.error.txt
Alabama,https://medicaid.alabama.gov/documents/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee/4.3.6_2025_P%26T_Meeting_Dates_3-28-24.pdf,seed,0,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)>,raw/alabama/alabama__4-3-6-2025-p-t-meeting-dates-3-28-24-pdf__f62b25e7b0.error.txt,text/alabama/alabama__4-3-6-2025-p-t-meeting-dates-3-28-24-pdf__f62b25e7b0.error.txt
Alabama,https://medicaid.alabama.gov/documents/4.0_Programs/4.3_Pharmacy-DME/4.3.6_PandT_Committee/4.3.6_2026_P%26T_Meeting_Dates_Updated_8-29-25.pdf,seed,0,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)>,raw/alabama/alabama__4-3-6-2026-p-t-meeting-dates-updated-8-29-25-pdf__761fe2e42a.error.txt,text/alabama/alabama__4-3-6-2026-p-t-meeting-dates-updated-8-29-25-pdf__761fe2e42a.error.txt
Alaska,https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,seed,0,200,text/html; charset=utf-8,,raw/alaska/alaska__medicaid-pharmacy-and-therapeutics__3042c29163.html,text/alaska/alaska__medicaid-pharmacy-and-therapeutics__3042c29163.txt
Alaska,https://health.alaska.gov/en/education/pdl-preferred-drug-list/,seed,0,200,text/html; charset=utf-8,,raw/alaska/alaska__pdl-preferred-drug-list__08bf095aac.html,text/alaska/alaska__pdl-preferred-drug-list__08bf095aac.txt
Alaska,https://health.alaska.gov/media/dohlrzsl/pntcommittee_schedule_sfy2026_meetingtopicschedules.pdf,seed,0,200,application/pdf,,raw/alaska/alaska__pntcommittee-schedule-sfy2026-meetingtopicschedules-pdf__c2730d334c.pdf,text/alaska/alaska__pntcommittee-schedule-sfy2026-meetingtopicschedules-pdf__c2730d334c.txt
Alaska,https://health.alaska.gov/en/division-of-behavioral-health/alcoholism-and-drug-abuse-board/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__alcoholism-and-drug-abuse-board__e6b424abb9.html,text/alaska/alaska__alcoholism-and-drug-abuse-board__e6b424abb9.txt
Alaska,https://health.alaska.gov/en/office-of-the-commissioner/alaska-mental-health-board/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__alaska-mental-health-board__64842c5677.html,text/alaska/alaska__alaska-mental-health-board__64842c5677.txt
Alaska,https://health.alaska.gov/media/y0wdqqim/pnt-committee-schedule-sfy2025.pdf,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,application/pdf,,raw/alaska/alaska__pnt-committee-schedule-sfy2025-pdf__a686f49b1f.pdf,text/alaska/alaska__pnt-committee-schedule-sfy2025-pdf__a686f49b1f.txt
Alaska,https://health.alaska.gov/media/cgmjycg1/pnt-committee-schedule-sfy2024.pdf,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,application/pdf,,raw/alaska/alaska__pnt-committee-schedule-sfy2024-pdf__c9bbae951e.pdf,text/alaska/alaska__pnt-committee-schedule-sfy2024-pdf__c9bbae951e.txt
Alaska,https://health.alaska.gov/media/5qqi5amp/pnt-committee-schedule-sfy2023.pdf,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,application/pdf,,raw/alaska/alaska__pnt-committee-schedule-sfy2023-pdf__674d7a4a33.pdf,text/alaska/alaska__pnt-committee-schedule-sfy2023-pdf__674d7a4a33.txt
Alaska,https://health.alaska.gov/media/1wkfmvbb/ak_submission_request_form_for_pharmaceutical_manufacturers.pdf,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,application/pdf,,raw/alaska/alaska__ak-submission-request-form-for-pharmaceutical-manufacturers-pdf__0507d82efb.pdf,text/alaska/alaska__ak-submission-request-form-for-pharmaceutical-manufacturers-pdf__0507d82efb.txt
Alaska,https://health.alaska.gov/en/education/prior-authorization-medication/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__prior-authorization-medication__8afa7335e0.html,text/alaska/alaska__prior-authorization-medication__8afa7335e0.txt
Alaska,https://health.alaska.gov/en/resources/health-care-services-pharmacy-and-therapeutics-committee/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__health-care-services-pharmacy-and-therapeutics-committee__08777c6891.html,text/alaska/alaska__health-care-services-pharmacy-and-therapeutics-committee__08777c6891.txt
Alaska,https://health.alaska.gov/en/services/division-of-public-assistance-dpa-services/apply-for-medicaid/medicaid-prescription-drug-coverage/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__medicaid-prescription-drug-coverage__d103651d8b.html,text/alaska/alaska__medicaid-prescription-drug-coverage__d103651d8b.txt
Alaska,https://health.alaska.gov/en/division-of-health-care-services/medicaid-drug-utilization-review/,linked from https://health.alaska.gov/en/division-of-health-care-services/medicaid-pharmacy-and-therapeutics/,1,200,text/html; charset=utf-8,,raw/alaska/alaska__medicaid-drug-utilization-review__cea0600074.html,text/alaska/alaska__medicaid-drug-utilization-review__cea0600074.txt
Alaska,https://health.alaska.gov/media/dq0ohdan/pdl_effective-date_20260601.pdf,linked from https://health.alaska.gov/en/education/pdl-preferred-drug-list/,1,200,application/pdf,,raw/alaska/alaska__pdl-effective-date-20260601-pdf__24c7193388.pdf,text/alaska/alaska__pdl-effective-date-20260601-pdf__24c7193388.txt
Alaska,https://health.alaska.gov/media/5sskymcd/pdl-legend.pdf,linked from https://health.alaska.gov/en/education/pdl-preferred-drug-list/,1,200,application/pdf,,raw/alaska/alaska__pdl-legend-pdf__3b663da2a1.pdf,text/alaska/alaska__pdl-legend-pdf__3b663da2a1.txt
Alaska,https://health.alaska.gov/media/ncvo2cpp/copy-of-pdl_effective-date_20260301v12.pdf,linked from https://health.alaska.gov/en/education/pdl-preferred-drug-list/,1,200,application/pdf,,raw/alaska/alaska__copy-of-pdl-effective-date-20260301v12-pdf__2d9edf554d.pdf,text/alaska/alaska__copy-of-pdl-effective-date-20260301v12-pdf__2d9edf554d.txt
