state,url,source_role,status,file_path,text_path,title_or_label,reason
Hawaii,https://medquest.hawaii.gov/content/dam/formsanddocuments/med-quest/hawaii-state-plan/hawaii-medicaid-state-plan-attachments/Attachment%203%20%28Rev.%2005.2024%29je05.22.24%282%29.pdf,matrix: Hawaii Medicaid State Plan attachment,saved_current_state,documents\hawaii\001__matrix-hawaii-medicaid-state-plan-attachment-medquest-hawaii-gov-content-dam-formsanddocum.pdf,text\hawaii\001__matrix-hawaii-medicaid-state-plan-attachment-medquest-hawaii-gov-content-dam-formsanddocum.txt,matrix: Hawaii Medicaid State Plan attachment,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/dam/formsanddocuments/pharmacy/2026.2.11%20Public%20Meeting%20Notice%20and%20Agenda.pdf,meeting-date: 2026-02-11 Med-QUEST Drug Use Review (DUR) Board,saved_current_state,documents\hawaii\002__meeting-date-2026-02-11-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-content-da.pdf,text\hawaii\002__meeting-date-2026-02-11-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-content-da.txt,meeting-date: 2026-02-11 Med-QUEST Drug Use Review (DUR) Board,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/dam/formsanddocuments/pharmacy/DUR%20Board%20Meeting%20Notice_Agenda%2005-14-2025%20Rev.pdf,meeting-date: 2025-08-13 Med-QUEST Drug Use Review (DUR) Board,saved_current_state,documents\hawaii\003__meeting-date-2025-08-13-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-content-da.pdf,text\hawaii\003__meeting-date-2025-08-13-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-content-da.txt,meeting-date: 2025-08-13 Med-QUEST Drug Use Review (DUR) Board,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/pharmacy/communications/provider-memos.html,matrix: provider memos,saved_current_state,documents\hawaii\004__matrix-provider-memos-medquest-hawaii-gov-content-medquest-en-plans-providers-pharmacy-com.html,text\hawaii\004__matrix-provider-memos-medquest-hawaii-gov-content-medquest-en-plans-providers-pharmacy-com.txt,Provider Memos,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/pharmacy/drug-coverage.html,matrix: Med-QUEST Drug Coverage,saved_current_state,documents\hawaii\005__matrix-med-quest-drug-coverage-medquest-hawaii-gov-content-medquest-en-plans-providers-pha.html,text\hawaii\005__matrix-med-quest-drug-coverage-medquest-hawaii-gov-content-medquest-en-plans-providers-pha.txt,Drug Coverage,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/en/about/Med-QUESTDrugUseReviewProgram.html,meeting-date: 2026-05-13 Med-QUEST Drug Use Review (DUR) Board,saved_current_state,documents\hawaii\006__meeting-date-2026-05-13-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-en-about-m.html,text\hawaii\006__meeting-date-2026-05-13-med-quest-drug-use-review-dur-board-medquest-hawaii-gov-en-about-m.txt,Med-QUEST Drug Use Review,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/provider-memo.html,linked: Provider Memos,saved_current_state,documents\hawaii\007__linked-provider-memos-medquest-hawaii-gov-content-medquest-en-plans-providers-provider-mem.html,text\hawaii\007__linked-provider-memos-medquest-hawaii-gov-content-medquest-en-plans-providers-provider-mem.txt,Provider Memos,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/pharmacy/drug-coverage/hawaii-otc-formulary.html,linked: Hawaii OTC Formulary,saved_current_state,documents\hawaii\008__linked-hawaii-otc-formulary-medquest-hawaii-gov-content-medquest-en-plans-providers-pharma.html,text\hawaii\008__linked-hawaii-otc-formulary-medquest-hawaii-gov-content-medquest-en-plans-providers-pharma.txt,Hawaii OTC Formulary,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/pharmacy/drug-coverage/pa-criteria.html,linked: PA Criteria,saved_current_state,documents\hawaii\009__linked-pa-criteria-medquest-hawaii-gov-content-medquest-en-plans-providers-pharmacy-drug-c.html,text\hawaii\009__linked-pa-criteria-medquest-hawaii-gov-content-medquest-en-plans-providers-pharmacy-drug-c.txt,PA Criteria,File was present in group-b at finalization time; no additional download attempted.
Hawaii,https://medquest.hawaii.gov/content/medquest/en/plans-providers/pharmacy/drug-coverage/formulary-drug-search.html,linked: Hawaii Fee-For-Services Formulary Search,saved_current_state,documents\hawaii\010__linked-hawaii-fee-for-services-formulary-search-medquest-hawaii-gov-content-medquest-en-pl.html,text\hawaii\010__linked-hawaii-fee-for-services-formulary-search-medquest-hawaii-gov-content-medquest-en-pl.txt,Hawaii Fee-For-Services Formulary Search,File was present in group-b at finalization time; no additional download attempted.
