state,url,label,seed_type,depth,discovered_from,status,http_status,content_type,raw_path,text_path,title,error
Massachusetts,https://www.mass.gov/doc/dur-december-10-2025-meeting-agenda-0/download,2025-12-10 MassHealth Drug Utilization Review Board,meeting-dates-csv,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/doc/dur-march-11-2026-meeting-agenda-0/download,2026-03-11 MassHealth Drug Utilization Review Board,meeting-dates-csv,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/info-details/about-the-masshealth-drug-utilization-review-dur-program,about DUR,state-monitoring-matrix,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/lists/drug-utilization-review-dur-board-meeting-agendas,2025-06-11 MassHealth Drug Utilization Review Board,meeting-dates-csv,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/lists/drug-utilization-review-dur-board-meeting-minutes,DUR agendas/minutes,state-monitoring-matrix,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/masshealth-drug-utilization-review-dur,MassHealth DUR,state-monitoring-matrix,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Massachusetts,https://www.mass.gov/masshealth-pharmacy-program,MassHealth Pharmacy Program,state-monitoring-matrix,0,,blocked,403,,,,,HTTPError: HTTP Error 403: Forbidden
Michigan,https://michigan.fhsc.com/Committees/PandT.asp,Home page and meeting information,linked-from-seed,1,https://somgovweb.state.mi.us/BoardCrmWeb/boarddetail/09b0bef9-fab9-ed11-83fe-001dd804fc82,blocked,,,,,,URLError: <urlopen error [Errno 11001] getaddrinfo failed>
Michigan,https://mi.primetherapeutics.com/,MI Prime Medicaid portal,state-monitoring-matrix,0,,saved,200,text/html; charset=UTF-8,raw/michigan/michigan__002__mi.primetherapeutics.com.html,,,
Michigan,https://mi.primetherapeutics.com/,"Pharmacy Benefits Program/Prime Therapeutics Management, LLC",linked-from-seed,1,https://www.michigan.gov/mdhhs/doing-business/providers/providers/billingreimbursement/pharmacy,saved,200,text/html; charset=UTF-8,raw/michigan/michigan__009__mi.primetherapeutics.com.html,,,
Michigan,https://mi.primetherapeutics.com/,.,linked-from-seed,1,https://www.michigan.gov/mdhhs/doing-business/providers/providers/billingreimbursement/pharmacy,saved,200,text/html; charset=UTF-8,raw/michigan/michigan__020__mi.primetherapeutics.com.html,,,
Michigan,https://mi.primetherapeutics.com/provider/external/medicaid/mi/doc/en-us/MIRx_PTC_materials_20250603.pdf,2025-06-03 MDHHS Pharmacy and Therapeutics Committee,meeting-dates-csv,0,,saved,200,application/pdf,raw/michigan/michigan__004__mirx_ptc_materials_20250603.pdf,text/michigan/michigan__004__mirx_ptc_materials_20250603.txt,,
Michigan,https://mi.primetherapeutics.com/provider/external/medicaid/mi/doc/en-us/MIRx_PTC_materials_20260303.pdf,2025-09-02 MDHHS Pharmacy and Therapeutics Committee,meeting-dates-csv,0,,saved,200,application/pdf,raw/michigan/michigan__005__mirx_ptc_materials_20260303.pdf,text/michigan/michigan__005__mirx_ptc_materials_20260303.txt,,
Michigan,https://somgovweb.state.mi.us/BoardCrmWeb/boarddetail/09b0bef9-fab9-ed11-83fe-001dd804fc82,state board detail,state-monitoring-matrix,0,,saved,200,text/html; charset=utf-8,raw/michigan/michigan__003__09b0bef9-fab9-ed11-83fe-001dd804fc82.html,text/michigan/michigan__003__09b0bef9-fab9-ed11-83fe-001dd804fc82.txt,Board and Commissions,
