record_type,state,url,source_role,status,content_type,error,raw_path,text_path
collected_or_attempted,New Mexico,https://www.hca.nm.gov/providers/behavioral-health-policy-and-billing-manual/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__behavioral-health-policy-and-billing-manual__374bad572d.html,text/new-mexico/new-mexico__behavioral-health-policy-and-billing-manual__374bad572d.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/uploads/CHESS-flyer-v.4.pdf,linked from https://www.hca.nm.gov/preferred-drug-list/,200,application/pdf,,raw/new-mexico/new-mexico__chess-flyer-v-4-pdf__3c9f88d7a7.pdf,text/new-mexico/new-mexico__chess-flyer-v-4-pdf__3c9f88d7a7.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/uploads/Files/Confidentiality-Privacy-Statement-August-30-2016-English.pdf,linked from https://www.hca.nm.gov/preferred-drug-list/,403,text/html; charset=iso-8859-1,,raw/new-mexico/new-mexico__confidentiality-privacy-statement-august-30-2016-english-pdf__573c9a0912.pdf,text/new-mexico/new-mexico__confidentiality-privacy-statement-august-30-2016-english-pdf__573c9a0912.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/cookie-policy-us/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__cookie-policy-us__f6c7a9230e.html,text/new-mexico/new-mexico__cookie-policy-us__f6c7a9230e.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/plugins/divi-assistant/D4/include/php/public/css/dropdown-menu-keyboard-navigation.min.css?ver=2.4.0,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/css,,raw/new-mexico/new-mexico__dropdown-menu-keyboard-navigation-min-css__fd9fdba4f0.txt,text/new-mexico/new-mexico__dropdown-menu-keyboard-navigation-min-css__fd9fdba4f0.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/plugins/divi-assistant/D4/include/php/public/js/dropdown-menu-keyboard-navigation.min.js?ver=2.4.0,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/javascript,,raw/new-mexico/new-mexico__dropdown-menu-keyboard-navigation-min-js__457cac7788.txt,text/new-mexico/new-mexico__dropdown-menu-keyboard-navigation-min-js__457cac7788.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hca.nm.gov%2Fpreferred-drug-list%2F&format=xml,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/xml; charset=UTF-8,,raw/new-mexico/new-mexico__embed__52d164b149.html,text/new-mexico/new-mexico__embed__52d164b149.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hca.nm.gov%2Fpreferred-drug-list%2F,linked from https://www.hca.nm.gov/preferred-drug-list/,200,application/json; charset=UTF-8,,raw/new-mexico/new-mexico__embed__82625f5386.json,text/new-mexico/new-mexico__embed__82625f5386.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hca.nm.gov%2F2026%2F01%2F09%2Fpublic-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting%2F,linked from https://www.hca.nm.gov/2026/01/09/public-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting/,200,application/json; charset=UTF-8,,raw/new-mexico/new-mexico__embed__96e814a374.json,text/new-mexico/new-mexico__embed__96e814a374.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hca.nm.gov%2F2026%2F01%2F09%2Fpublic-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting%2F&format=xml,linked from https://www.hca.nm.gov/2026/01/09/public-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting/,200,text/xml; charset=UTF-8,,raw/new-mexico/new-mexico__embed__e7b313de49.html,text/new-mexico/new-mexico__embed__e7b313de49.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/providers/fee-schedules-disclaimer/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__fee-schedules-disclaimer__5635986443.html,text/new-mexico/new-mexico__fee-schedules-disclaimer__5635986443.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/providers/fee-schedules/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__fee-schedules__94162d69df.html,text/new-mexico/new-mexico__fee-schedules__94162d69df.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/plugins/divi-assistant/D4/include/php/public/css/keyboard-navigation-outline.min.css?ver=2.4.0,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/css,,raw/new-mexico/new-mexico__keyboard-navigation-outline-min-css__b663b2702c.txt,text/new-mexico/new-mexico__keyboard-navigation-outline-min-css__b663b2702c.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/plugins/divi-assistant/D4/include/php/public/js/keyboard-navigation-outline.min.js?ver=2.4.0,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/javascript,,raw/new-mexico/new-mexico__keyboard-navigation-outline-min-js__74f60271d7.txt,text/new-mexico/new-mexico__keyboard-navigation-outline-min-js__74f60271d7.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/uploads/MAD-635-Prior-Authorization-Form-Fax.Revised-3.1.26-1.pdf,linked from https://www.hca.nm.gov/preferred-drug-list/,200,application/pdf,,raw/new-mexico/new-mexico__mad-635-prior-authorization-form-fax-revised-3-1-26-1-pdf__191d013fc3.pdf,text/new-mexico/new-mexico__mad-635-prior-authorization-form-fax-revised-3-1-26-1-pdf__191d013fc3.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/providers/managed-care-policy-manual/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__managed-care-policy-manual__a44b67ca4f.html,text/new-mexico/new-mexico__managed-care-policy-manual__a44b67ca4f.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/medicaid-home-visiting-policy-and-billing-manual-2/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__medicaid-home-visiting-policy-and-billing-manual-2__a3b4fb05fc.html,text/new-mexico/new-mexico__medicaid-home-visiting-policy-and-billing-manual-2__a3b4fb05fc.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/pharmacy-benefit-contacts/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__pharmacy-benefit-contacts__bfacd0d92b.html,text/new-mexico/new-mexico__pharmacy-benefit-contacts__bfacd0d92b.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/providers/pharmacy/,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__pharmacy__f4d396f3f5.html,text/new-mexico/new-mexico__pharmacy__f4d396f3f5.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/preferred-drug-list/,seed,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__preferred-drug-list__29ee5ea1ac.html,text/new-mexico/new-mexico__preferred-drug-list__29ee5ea1ac.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/2026/01/09/public-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting/,seed,200,text/html; charset=UTF-8,,raw/new-mexico/new-mexico__public-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting__f3515e06fb.html,text/new-mexico/new-mexico__public-notice-pharmacy-therapeutics-and-drug-utilization-review-committee-quarterly-meeting__f3515e06fb.txt
collected_or_attempted,New Mexico,https://www.hca.nm.gov/wp-content/plugins/gravityforms/legacy/css/readyclass.min.css?ver=2.10.2,linked from https://www.hca.nm.gov/preferred-drug-list/,200,text/css,,raw/new-mexico/new-mexico__readyclass-min-css__d4861f44e2.txt,text/new-mexico/new-mexico__readyclass-min-css__d4861f44e2.txt
