state,url,manifest_status,http_status,content_type,source_role,error_or_gap_reason,raw_path,text_path
South Dakota,http://atg.sd.gov/legal/opengovernment/authorityboardcommission.aspx,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__authorityboardcommission-aspx__9f0029ba19.html,text/south-dakota/south-dakota__authorityboardcommission-aspx__9f0029ba19.txt
South Dakota,https://bfm.sd.gov/budget/boardcompensation.pdf,collected,200,application/pdf,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__boardcompensation-pdf__027707bde6.pdf,text/south-dakota/south-dakota__boardcompensation-pdf__027707bde6.txt
South Dakota,https://boardsandcommissions.sd.gov/,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__boardsandcommissions-sd-gov__0cc1a80fba.html,text/south-dakota/south-dakota__boardsandcommissions-sd-gov__0cc1a80fba.txt
South Dakota,https://boardsandcommissions.sd.gov/FinancialInformation.aspx?BoardID=204,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__financialinformation-aspx__f9d8f361df.html,text/south-dakota/south-dakota__financialinformation-aspx__f9d8f361df.txt
South Dakota,https://boardsandcommissions.sd.gov/Information.aspx?BoardID=204,collected,200,text/html; charset=utf-8,seed,,raw/south-dakota/south-dakota__information-aspx__31e084e539.html,text/south-dakota/south-dakota__information-aspx__31e084e539.txt
South Dakota,https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,collected,200,text/html; charset=utf-8,seed,,raw/south-dakota/south-dakota__meetings-aspx__6b9a63e8c7.html,text/south-dakota/south-dakota__meetings-aspx__6b9a63e8c7.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=A,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__7a2674916b.html,text/south-dakota/south-dakota__searchresults-aspx__7a2674916b.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=ALL,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__f5995990b4.html,text/south-dakota/south-dakota__searchresults-aspx__f5995990b4.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=B,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__aa60c50152.html,text/south-dakota/south-dakota__searchresults-aspx__aa60c50152.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=C,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__ac4ae3ca13.html,text/south-dakota/south-dakota__searchresults-aspx__ac4ae3ca13.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=D,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__d5f04f1e39.html,text/south-dakota/south-dakota__searchresults-aspx__d5f04f1e39.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=E,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__8ba9e5f54c.html,text/south-dakota/south-dakota__searchresults-aspx__8ba9e5f54c.txt
South Dakota,https://boardsandcommissions.sd.gov/SearchResults.aspx?Letter=F,collected,200,text/html; charset=utf-8,linked from https://boardsandcommissions.sd.gov/Meetings.aspx?BoardID=204,,raw/south-dakota/south-dakota__searchresults-aspx__e3701dfd0b.html,text/south-dakota/south-dakota__searchresults-aspx__e3701dfd0b.txt
