title,url,organization,state,investigator,status,funding_type,page
Pragmatic Trial Comparing the Effectiveness of a Systems-Level Patient Plus Clinician Intervention to Either Alone To Improve Advance Care Planning Implementation Among Older Adults in Primary Care,https://www.pcori.org/research-results/2026/patient-clinician-intervention-advance-care-planning-older-adults-primary-care,University of Washington,Washington,,,,0
Implementation of Telepsychiatry Collaborative Care for Complex Psychiatric Disorders: Atrium Health,https://www.pcori.org/research-results/2026/telepsychiatry-collaborative-care-complex-psychiatric-disorders-atrium-health,Wake Forest University Health Sciences,North Carolina,,,,0
A National Comparative Effectiveness Analysis of Two Dementia Care Interventions in Communities,https://www.pcori.org/research-results/2026/comparative-effectiveness-analysis-dementia-care-interventions-communities,University of Minnesota-Twin Cities,Minnesota,,,,0
Implementation of Telepsychiatry Collaborative Care for Complex Psychiatric Disorders: University Hospitals,https://www.pcori.org/research-results/2026/telepsychiatry-collaborative-care-complex-psychiatric-disorders-university-hospitals,University Hospitals Cleveland Medical Center,Ohio,,,,0
Randomized Controlled Trial of Trauma-Focused Cognitive Behavioral Therapy and Common Elements Treatment Approach to Treat Trauma and Comorbid Problems in Youth,https://www.pcori.org/research-results/2026/rct-trauma-focused-cbt-youth,Johns Hopkins University Bloomberg School of Public Health,Maryland,,,,0
Implementation of Electronic Patient-Reported Outcomes Monitoring During Cancer Treatment: Queen’s Medical Center,https://www.pcori.org/research-results/2026/ePROs-cancer-treatment-queens-medical-center,The Queen's Medical Center,Hawaii,,,,0
Implementation of Electronic Patient-Reported Outcomes Monitoring During Cancer Treatment: UCSF,https://www.pcori.org/research-results/2026/ePROs-cancer-treatment-ucsf,"The Regents of the University of California, San Francisco",California,,,,0
Comparing Two Multicomponent ICU Bundles To Promote Sleep and Reduce Delirium in Critically Ill Adults,https://www.pcori.org/research-results/2026/icu-bundles-promote-sleep-reduce-delirium-critically-ill-adults,UC San Diego Health,California,,,,0
Implementation of Effective Hypertension Management Approaches: San Francisco Health Network,https://www.pcori.org/research-results/2026/hypertension-management-san-francisco-health-network,San Francisco Health Network,California,,,,0
Alternative Approaches for Managing Blood Pressure in Children With Chronic Kidney Disease,https://www.pcori.org/research-results/2026/managing-blood-pressure-children-chronic-kidney-disease,The Children's Hospital of Philadelphia,Pennsylvania,,,,0
