Organization,Award Count,Total Listed Budget,State(s),Funding Type(s),Example URL(s)
ECRI,13,"$29,635,941",Pennsylvania,Other Evidence Products,https://www.pcori.org/research-results/2025/assistive-technologies-children-and-young-adults-intellectual-and-developmental-disabilities|https://www.pcori.org/research-results/2023/emerging-technologies-and-therapeutics-reports-interventions-post-covid-19-autonomic-dysfunction-and-post-covid-19-cardiovascular-manifestations|https://www.pcori.org/research-results/2023/evidence-mental-health-interventions-persons-intellectual-disabilities-scoping-review
RAND Corporation,12,"$22,015,029",California|Massachusetts|Pennsylvania,Engagement Award Project|Other Evidence Products|Research,https://www.pcori.org/research-results/2023/emerging-technologies-and-therapeutics-reports-update-gene-therapies|https://www.pcori.org/research-results/2023/comparing-two-ways-reduce-alcohol-and-cannabis-use-among-teens|https://www.pcori.org/research-results/2021/emerging-technologies-and-therapeutics-reports-artificial-intelligence-covid-19-response
RTI International,8,"$14,190,826",North Carolina,"Engagement Award Project, Dissemination|Other Evidence Products|Research|Research, Research Conducted Using PCORnet®",https://www.pcori.org/research-results/2023/impact-doula-support-during-pregnancy-childbirth-and-beyond-systematic-review|https://www.pcori.org/research-results/2022/audio-based-care-managing-mental-health-diabetes-and-other-chronic-conditions-systematic-reviews|https://www.pcori.org/research-results/2021/rapid-review-racial-health-equity-and-social-needs-interventions
"Augusta University Research Institute, Inc.",5,"$3,868,174",Georgia,Engagement Award Convening|Engagement Award Project|Research,https://www.pcori.org/research-results/2026/validating-adapted-stakeholder-centric-engagement|https://www.pcori.org/research-results/2024/testing-novel-approach-engagement-research-participant-researcher-collaborative-design|https://www.pcori.org/research-results/2021/individuals-idd-engaged-aligned-and-leading-iiddeal-outcomes-matter
"COPD Foundation, Inc.",5,"$6,265,815",Florida,"Engagement Award Project|PCORnet®: Patient Powered Research Networks (PPRN) Phase I|PCORnet®: Patient Powered Research Networks (PPRN) Phase II|PPRN Limited Competition Award|Research, Research Conducted Using PCORnet®",https://www.pcori.org/research-results/2019/bridging-gap-between-patientscaregivers-and-copd-research-copd-pprn-bridge-project|https://www.pcori.org/research-results/2017/considering-needs-end-users-copd-dissemination-and-research-connect|https://www.pcori.org/research-results/2016/comparing-two-methods-improve-cpap-use-among-patients-copd-and-obstructive-sleep-apnea-o2verlap-study
"University of Kansas Center for Research, Inc.",5,"$1,303,892",Kansas,"Engagement Award Project|Engagement in Research, Engagement Award Project",https://www.pcori.org/research-results/2022/kansas-health-and-research-participation-k-harp-network-building-capacity-self-determination|https://www.pcori.org/research-results/2021/health-food-and-family-rural-systems-and-covid-19-decision-making|https://www.pcori.org/research-results/2019/migratory-and-seasonal-agricultural-workers-and-health-research-developing-capacity-pcor
"Genetic Alliance, Inc.",4,"$8,010,622",District of Columbia,PCORnet® Coordinating Center Phase II|PCORnet®: Patient Powered Research Networks (PPRN) Phase I|PCORnet®: Patient Powered Research Networks (PPRN) Phase II|Research Infrastructure,https://www.pcori.org/research-results/2016/pcornet-coordinating-center-phase-ii-genetic-alliance|https://www.pcori.org/research-results/2015/pcornet-coordinating-center-phase-i-genetic-alliance|https://www.pcori.org/research-results/2015/community-engaged-network-all-cena
"Harvard Pilgrim Health Care ,Inc.",4,"$7,869,403",Massachusetts,"Research|Research, Research Conducted Using PCORnet®",https://www.pcori.org/research-results/2023/developing-machine-learning-methods-predict-disease-trajectories|https://www.pcori.org/research-results/2016/effect-high-deductible-health-plans-and-preventive-drug-lists-asthma-attacks-medicine-use-and-out-pocket-costs-afford-study|https://www.pcori.org/research-results/2015/effect-high-deductible-health-plans-healthcare-use-and-out-pocket-costs-people-bipolar-disorder
Massachusetts General Hospital (The General Hospital Corp.),4,"$16,185,537",Massachusetts,PCORnet®: Patient Powered Research Networks (PPRN) Phase I|PCORnet®: Patient Powered Research Networks (PPRN) Phase II|Research,https://www.pcori.org/research-results/2025/group-delivered-behavioral-interventions-dementia-caregiver-strain|https://www.pcori.org/research-results/2022/comparing-four-ways-delivering-school-based-brief-interventions-motivate-reduction-alcohol-use|https://www.pcori.org/research-results/2015/moodnetwork
"Medical Technology & Practice Patterns Institute, Inc.",4,"$1,320,280",Maryland,"Engagement Award Convening|Engagement Award Project, Dissemination|Research",https://www.pcori.org/research-results/2018/series-workshops-cer-methods-time-varying-treatments|https://www.pcori.org/research-results/2018/better-care-and-outcomes-dialysis-patients-implementation-pcori-findings-using-esrd-networks|https://www.pcori.org/research-results/2017/esrd-anemia-research-priorities-perspectives-dialysis-patients-and-stakeholders
