organization,award_count,states,funding_types,example_urls
University of Washington,44,Pennsylvania|Washington,,https://www.pcori.org/research-results/2026/patient-clinician-intervention-advance-care-planning-older-adults-primary-care|https://www.pcori.org/research-results/2025/peer-support-interventions-endometrial-cancer-treatment|https://www.pcori.org/research-results/2025/developing-methods-treatment-effects
Duke University,34,North Carolina,,https://www.pcori.org/research-results/2026/comparing-treatments-autistic-children-constipation|https://www.pcori.org/research-results/2025/comparing-strategies-improve-non-pharmacologic-pain-relief-adults-back-pain|https://www.pcori.org/research-results/2024/data-services-coordinating-center-pcornetr
Massachusetts General Hospital,33,Massachusetts,,https://www.pcori.org/research-results/2025/artificial-intelligence-methods-natural-language-electronic-medical-records|https://www.pcori.org/research-results/2023/comparing-effectiveness-two-programs-address-chronic-pain-and-cognitive-decline-among-older-adults|https://www.pcori.org/research-results/2023/comparing-effectiveness-telehealth-versus-person-delivery-healthy-weight-clinic-and-asthma-control-program-children
Johns Hopkins University,32,Maryland,,https://www.pcori.org/research-results/2024/comparing-effectiveness-telerehabilitation-and-clinic-physical-therapy-patients-chronic-low-back-pain|https://www.pcori.org/research-results/2022/comparing-effectiveness-two-suicide-prevention-interventions-among-youth|https://www.pcori.org/research-results/2021/building-capacity-reduce-covid-19-long-term-effects-survivors
University of Pennsylvania,24,Pennsylvania,,https://www.pcori.org/research-results/2025/developing-federated-methods-trial-emulation-across-clinical-research-networks|https://www.pcori.org/research-results/2023/shared-decision-making-anesthesia-care-patients-having-hip-fracture-surgery|https://www.pcori.org/research-results/2023/comparing-palliative-care-delivered-generalist-clinicians-versus-palliative-care-specialists-patients-hospitalized-advanced-illnesses
Vanderbilt University Medical Center,24,Tennessee,,https://www.pcori.org/research-results/2025/comparing-approaches-prevention-childhood-obesity|https://www.pcori.org/research-results/2025/hypertension-management-vanderbilt-university-medical-center|https://www.pcori.org/research-results/2024/adapting-and-testing-agile-methodology-novel-approach-engagement-research
University of Colorado Denver,23,Colorado,,https://www.pcori.org/research-results/2024/testing-different-methods-engagement-responsiveness-community-preference|https://www.pcori.org/research-results/2023/comparing-ways-engage-patients-and-doctors-better-use-medicines-heart-failure|https://www.pcori.org/research-results/2023/developing-and-validating-measure-co-creation-during-engagement-process-research
"University of California, San Francisco",22,California,,https://www.pcori.org/research-results/2025/lifestyle-treatment-weight-loss-primary-care-settings-ucsf-health|https://www.pcori.org/research-results/2025/comparing-social-needs-assistance-interventions-hospitalized-children|https://www.pcori.org/research-results/2024/comparing-two-school-based-sleep-health-interventions-promote-sleep-quality-youth
Kaiser Foundation Research Institute,21,California|Oregon|Washington,,https://www.pcori.org/research-results/2024/comparing-effectiveness-two-interventions-improve-health-adults-multiple-chronic-conditions|https://www.pcori.org/research-results/2021/comparing-two-prevention-programs-teens-risk-suicide|https://www.pcori.org/research-results/2021/comparing-programs-increase-covid-19-booster-vaccine-rates-among-long-term-care-center-workers-enspire-study
University of Pittsburgh,21,Pennsylvania,,https://www.pcori.org/research-results/2025/researcher-readiness-patient-community-partnership|https://www.pcori.org/research-results/2025/comparative-effectiveness-treatments-sinus-ear-infections-children|https://www.pcori.org/research-results/2025/novel-approaches-first-research-contact-hospitalized-patients-cer
Partners Healthcare Brigham and Women's Hospital,20,Massachusetts,,https://www.pcori.org/research-results/2023/supporting-use-treatment-approach-health-systems-improve-outcomes-adults-moderate-severe-asthma|https://www.pcori.org/research-results/2023/developing-new-methods-predicting-health-outcomes-using-electronic-health-record-data|https://www.pcori.org/research-results/2022/transportability-machine-learning-enabled-confounding-control-methods-across-ehr-databases
"The Regents of the University of California, San Francisco",20,California,,https://www.pcori.org/research-results/2026/ePROs-cancer-treatment-ucsf|https://www.pcori.org/research-results/2025/disseminating-pcori-funded-study-results-language-access-services-patients-clinicians-and-health-systems-across-united-states|https://www.pcori.org/research-results/2025/antibiotic-treatment-children-common-infections
Emory University,19,Georgia,,https://www.pcori.org/research-results/2025/building-capacity-engage-patient-centered-cer-oncofertility-community|https://www.pcori.org/research-results/2025/building-capacity-autism-engagement-patient-centered-cer-midwest-northeast-and-southeast|https://www.pcori.org/research-results/2024/comparing-two-post-traumatic-stress-disorder-screening-approaches-improve-health-outcomes-pregnancy
The University of North Carolina at Chapel Hill,19,North Carolina,,https://www.pcori.org/research-results/2025/increasing-patient-engagement-patient-centered-cer-ileal-pouch-anal-anastomosis|https://www.pcori.org/research-results/2023/effectiveness-community-based-maternity-care-intervention-reducing-incidence-hypertensive-disorder-pregnancy|https://www.pcori.org/research-results/2023/using-electronic-patient-reported-outcomes-monitor-symptoms-during-cancer-treatment
University of Arkansas for Medical Sciences,18,Arkansas,,https://www.pcori.org/research-results/2023/comparing-two-multi-level-nutritional-interventions-prevent-excessive-gestational-weight-gain-pregnancy|https://www.pcori.org/research-results/2023/comparing-effectiveness-telehealth-follow-care-approach-usual-care-after-giving-birth|https://www.pcori.org/research-results/2021/faith-network-pcor-training-researchers
Yale University,18,Connecticut,,https://www.pcori.org/research-results/2024/mining-patient-voice-improve-patient-centered-comparative-clinical-effectiveness-research-using-machine-learning|https://www.pcori.org/research-results/2023/causal-mediation-methods-cluster-randomized-pragmatic-and-implementation-trials|https://www.pcori.org/research-results/2023/comparing-effectiveness-racemic-ketamine-versus-esketamine-depression
University of Rochester,17,New York,,https://www.pcori.org/research-results/2024/comparative-effectiveness-different-techniques-repeat-ablation-after-failed-initial-ablation-persistent-atrial-fibrillation|https://www.pcori.org/research-results/2024/comparing-carvedilol-versus-metoprolol-succinate-adults-heart-failure-who-have-implantable-cardioverter-defibrillator|https://www.pcori.org/research-results/2024/comparative-clinical-effectiveness-implantable-cardioverter-defibrillator-versus-non-implantable-cardioverter-defibrillator-therapy-contemporary-heart-failure-patients-low-predicted-arrhythmic-risk
University of Utah,17,Utah,,https://www.pcori.org/research-results/2024/connect-community-network-navigate-and-enhance-care-transitions|https://www.pcori.org/research-results/2024/building-capacity-pcorcer-engaging-rural-trauma-survivors-and-their-recovery-communities|https://www.pcori.org/research-results/2024/machine-learning-approaches-personalized-lung-cancer-therapy-real-world-data
